symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
0050,Yuanta/P-shares Taiwan Top 50 ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,52.7,52.9,52.65,52.85,1.0516252390057443,,38976905.0,TWD
0051,Yuanta/P-shares Taiwan Mid-Cap 100 ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,84.1,84.45,84.0,84.25,0.5970149253731344,,59163.0,TWD
0052,Fubon Taiwan Technology ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,206.15,207.8,206.15,207.5,1.2195121951219512,,620139.0,TWD
0053,Yuanta/P-shares Taiwan Electronics Tech ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,115.5,115.55,115.2,115.55,1.0052447552447477,,9543.0,TWD
0055,Yuanta/P-shares MSCI Taiwan Financials ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,30.3,30.35,30.18,30.25,0.16556291390728714,,92539.0,TWD
0056,Yuanta/P-shares Taiwan Dividend Plus ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,35.05,35.12,35.0,35.11,0.5729017473503376,,24635754.0,TWD
0057,Fubon MSCI Taiwan ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,156.3,157.05,156.2,157.05,0.9643201542912248,,82154.0,TWD
0061,W.I.S.E. Polaris CSI 300 ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,20.82,20.99,20.76,20.99,0.8165225744476377,,375206.0,TWD
006201,Yuanta/P-shares Taiwan GreTai 50 ETF,TPEX,Miscellaneous,Investment Trusts/Mutual Funds,23.45,23.48,23.27,23.48,2.0425901781833935,,103211.0,TWD
006203,Yuanta/ P-shares MSCI Taiwan ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,96.65,97.2,96.65,97.2,0.6211180124223692,,4625.0,TWD
006204,Sinopac TAIEX ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,124.55,124.55,124.35,124.35,0.5661140315406297,,3621.0,TWD
006205,Fubon SSE180 ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,35.84,36.1,35.8,36.08,0.8384572386808193,,585715.0,TWD
006206,Yuanta/P-shares SSE50 ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,33.5,33.76,33.5,33.75,0.7462686567164178,,96276.0,TWD
006207,Fuh Hwa CSI 300 A Shares ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,27.58,27.71,27.41,27.69,0.6543075245365311,,47488.0,TWD
006208,Fubon FTSE TWSE Taiwan 50 ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,123.2,123.6,123.0,123.35,0.9410801963993384,,7345853.0,TWD
00625K,Fubon SSE180 ETF CNY,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,8.44,8.44,8.44,8.44,0.5959475566150051,,1000.0,CNY
00631L,Yuanta Daily Taiwan 50 Units,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,261.0,262.35,259.5,262.05,2.183661532462477,,4543271.0,TWD
00632R,Yuanta Daily Taiwan 50 Bear -1X ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,19.72,19.78,19.69,19.69,-1.055276381909534,,37521868.0,TWD
00633L,Fubon SSE180 Leveraged 2X Index ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,45.27,45.81,45.01,45.66,1.6247496105052235,,5471891.0,TWD
00634R,Fubon SSE180 Inversed Index ETF Units,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,3.39,3.4,3.37,3.37,-1.1730205278592385,,490000.0,TWD
00635U,Yuanta S&P GSCI Gold ER Futures ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,38.81,38.96,38.79,38.94,0.8285862247540142,,2993724.0,TWD
00636,Cathay FTSE China A50 ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,24.5,24.69,24.5,24.63,0.7774140752864064,,795846.0,TWD
00636K,Cathay FTSE China A50 ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,8.11,8.11,8.11,8.11,1.2484394506866372,,200.0,USD
00637L,Yuanta Daily CSI 300 Bull 2X ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,18.32,18.55,18.21,18.48,1.4827018121911013,,41959771.0,TWD
00638R,Yuanta Daily CSI 300 Bear -1X ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,7.17,7.17,7.13,7.13,-0.8344923504867942,,657230.0,TWD
00639,Fubon SZSE 100 ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,13.26,13.56,13.26,13.51,1.1985018726591772,,2341590.0,TWD
00640L,Fubon TOPIX Leveraged 2X Index ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,63.7,64.0,63.4,64.0,1.5873015873015872,,448332.0,TWD
00641R,Fubon TOPIX Inverse -1X Index ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,5.13,5.14,5.12,5.12,-0.5825242718446649,,238731.0,TWD
00642U,Yuanta S&P GSCI Crude Oil ER Futures ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,16.25,16.26,16.21,16.25,-0.18427518427519124,,1599186.0,TWD
00643,Capital SZSE SME Price Index Exchange Traded Fund,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,14.5,14.77,14.47,14.75,1.584022038567496,,3131840.0,TWD
00643K,Capital SZSE SME Price Index ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,3.46,3.51,3.4,3.51,7.668711656441718,,7000.0,CNY
00645,Fubon TOPIX ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,42.9,43.06,42.9,43.06,0.6780453588964207,,152281.0,TWD
00646,Yuanta S&P 500 ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,62.35,62.55,62.3,62.4,0.8077544426494345,,4098483.0,TWD
00647L,Yuanta Daily S&P 500 Bull 2X ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,106.3,106.5,106.15,106.25,1.5289058767319583,,73118.0,TWD
00648R,Yuanta Daily S&P 500 Bear 1X ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,4.56,4.56,4.54,4.54,-1.0893246187363796,,633416.0,TWD
00650L,Fuh Hwa Daily Hang Seng Leveraged 2X ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,16.75,16.97,16.75,16.97,1.1926058437686302,,5736627.0,TWD
00651R,Fuh Hwa Daily Hang Seng Inversed ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,5.5,5.52,5.48,5.48,-0.7246376811594049,,392079.0,TWD
00652,Fubon NIFTY ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,35.98,35.98,35.5,35.56,-1.1673151750972615,,663699.0,TWD
00653L,Fubon NIFTY 2X Leveraged Index ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,54.95,54.95,54.2,54.45,-1.2692656391659036,,240574.0,TWD
00654R,Fubon NIFTY -1 Inverse ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,6.43,6.44,6.42,6.44,0.311526479750786,,70000.0,TWD
00655L,Cathay FTSE China A50 Daily Leveraged 2X ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,31.54,31.91,31.35,31.8,1.5325670498084305,,1707069.0,TWD
00656R,Cathay FTSE China A50 Daily Inversed ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,6.39,6.39,6.31,6.32,-1.0954616588419313,,515550.0,TWD
00657,Cathay Nikkei 225 Currency-hedged ETF Fund,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,50.45,50.65,50.45,50.65,1.0978043912175592,,79262.0,TWD
00657K,Cathay Nikkei 225 Currency-hedged ETF Fund,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,16.62,16.62,16.62,16.62,1.5271838729383016,,200.0,USD
00660,Yuanta EURO STOXX 50 ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,38.9,38.99,38.9,38.91,0.3093580819798851,,105443.0,TWD
00661,Yuanta Nikkei 225 ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,55.15,55.25,55.0,55.2,1.0989010989011014,,260031.0,TWD
00662,Fubon NASDAQ-100 ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,93.1,93.35,93.0,93.2,0.9750812567714038,,1580663.0,TWD
00663L,Cathay TAIEX Daily Leveraged 2X ETF,TWSE,Miscellaneous,Investment Trusts/Mutual Funds,34.08,34.26,33.92,34.2,2.181057663579337,,5050163.0,TWD
