symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
AIR,Airobot Technologies AS,OMXTSE,Producer Manufacturing,Industrial Machinery,2.0,2.0,1.97,2.0,0.0,,59,EUR
ARC1T,Arco Vara AS,OMXTSE,Finance,Real Estate Development,1.725,1.75,1.725,1.745,1.1594202898550736,30307799.0,249,EUR
BERCM,Bercman Technologies AS,OMXTSE,Electronic Technology,Electronic Equipment/Instruments,1.2,1.21,1.12,1.21,0.0,,445,EUR
CPA1T,Coop Pank AS,OMXTSE,Finance,Regional Banks,1.922,1.942,1.922,1.942,1.1458333333333344,201302280.0,67072,EUR
EEG1T,Ekspress Grupp AS,OMXTSE,Consumer Services,Publishing: Books/Magazines,1.005,1.01,1.0,1.01,0.4975124378109568,30749823.0,2732,EUR
EFCUPFFT,EfTEN United Property Fund Units EUR,OMXTSE,,,8.7,8.73,8.7,8.73,0.3448275862069096,,869,EUR
EFT1T,EfTEN Real Estate Fund AS,OMXTSE,Miscellaneous,Investment Trusts/Mutual Funds,19.1,19.2,19.1,19.1,0.0,218509730.0,820,EUR
GRB2G,Grab2go AS,OMXTSE,Technology Services,Packaged Software,0.164,0.164,0.161,0.161,-0.6172839506172845,,315,EUR
HAE1T,Harju Elekter Group AS,OMXTSE,Producer Manufacturing,Electrical Products,4.61,4.65,4.61,4.64,0.21598272138228483,85959571.0,679,EUR
HPR1T,Hepsor AS,OMXTSE,Finance,Real Estate Development,6.56,6.56,6.42,6.48,-0.30769230769230116,25353142.56,336,EUR
INF1T,Infortar AS,OMXTSE,Finance,Financial Conglomerates,46.9,46.9,46.6,46.9,0.0,948376144.0,495,EUR
LHV1T,LHV Group AS,OMXTSE,Finance,Major Banks,3.52,3.54,3.52,3.53,0.284090909090903,1157332273.0,33348,EUR
LINDA,Linda Nektar AS,OMXTSE,Consumer Non-Durables,Beverages: Alcoholic,5.7,5.7,5.7,5.7,0.8849557522123862,9006815.0,5,EUR
MAGIC,TextMagic AS,OMXTSE,Technology Services,Packaged Software,2.26,2.26,2.1,2.22,0.9090909090909097,18870000.0,1276,EUR
MODE,Modera AS,OMXTSE,Technology Services,Packaged Software,4.77,4.88,4.77,4.86,3.404255319148939,,97,EUR
MOLNR,J. Molner AS,OMXTSE,Health Technology,Pharmaceuticals: Major,27.6,27.8,27.2,27.2,-1.4492753623188481,45859227.2,112,EUR
MRK1T,Merko Ehitus AS,OMXTSE,Industrial Services,Engineering & Construction,29.4,29.5,29.1,29.1,-1.0204081632652966,515070029.0,2247,EUR
NCN1T,Nordecon AS,OMXTSE,Industrial Services,Engineering & Construction,0.691,0.694,0.683,0.69,-0.14471780028943573,21380744.0,5626,EUR
NHCBHFFT,Baltic Horizon Fund,OMXTSE,Miscellaneous,Investment Trusts/Mutual Funds,0.2389,0.2389,0.2376,0.2377,-0.2517834662190588,,67226,EUR
PKG1T,Pro Kapital Grupp AS,OMXTSE,Finance,Real Estate Development,1.34,1.37,1.34,1.37,2.2388059701492558,77662497.0,606,EUR
PNKTD,Punktid Technologies AS,OMXTSE,Technology Services,Packaged Software,0.22,0.222,0.206,0.208,0.9708737864077679,,859,EUR
PRF1T,PRFoods AS,OMXTSE,Consumer Non-Durables,Food: Meat/Fish/Dairy,0.0574,0.058,0.056,0.0562,-2.4305555555555527,2117777.0,2620,EUR
PRIMO,Primostar Group AS,OMXTSE,Process Industries,Industrial Specialties,3.7,3.7,3.32,3.68,-0.540540540540541,,217,EUR
ROBUS,Robus Group AS,OMXTSE,Consumer Durables,Recreational Products,0.32,0.32,0.32,0.32,-5.8823529411764754,,25,EUR
SAUNA,Saunum Group AS,OMXTSE,Producer Manufacturing,Industrial Machinery,3.29,3.33,3.29,3.33,0.0,4788753.0,69,EUR
SFG1T,Silvano Fashion Group AS,OMXTSE,Consumer Non-Durables,Apparel/Footwear,1.275,1.31,1.275,1.275,0.3937007874015664,45899999.0,78280,EUR
SKN1T,Nordic Fibreboard AS,OMXTSE,Consumer Durables,Home Furnishings,0.825,0.86,0.825,0.85,4.938271604938262,3824202.0,231,EUR
TAL1T,Tallink Grupp AS,OMXTSE,Transportation,Marine Shipping,0.618,0.619,0.616,0.618,0.0,459525677.0,69750,EUR
TKM1T,TKM Grupp AS,OMXTSE,Retail Trade,Food Retail,9.24,9.28,9.23,9.25,0.21668472372697264,376745086.0,11093,EUR
TPD1T,Trigon Property Development AS,OMXTSE,Consumer Durables,Home Furnishings,0.67,0.67,0.67,0.67,0.0,3014371.0,3,EUR
TSM1T,Tallinna Sadam AS,OMXTSE,Transportation,Other Transportation,1.2,1.202,1.194,1.2,0.16694490818030067,315600013.0,12744,EUR
TVE1T,Tallinna Vesi AS Class A,OMXTSE,Utilities,Water Utilities,10.65,10.65,10.6,10.65,0.0,212999992.0,396,EUR
