symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
AALLON,Aallon Group Oyj,OMXHEX,Finance,Investment Managers,11.05,11.15,10.95,11.1,-0.8928571428571397,43464927.0,1659,EUR
ACG1V,Aspocomp Group Oyj,OMXHEX,Electronic Technology,Electronic Components,4.71,4.71,4.48,4.65,-1.898734177215187,31848968.0,1228,EUR
ADMCM,Admicom Oyj,OMXHEX,Technology Services,Packaged Software,43.8,45.85,43.65,45.5,3.881278538812792,228276047.0,2635,EUR
ADMIN,Administer PLC,OMXHEX,Commercial Services,Miscellaneous Commercial Services,2.64,2.64,2.64,2.64,0.7633587786259549,39479020.0,1873,EUR
AFAGR,Afarak Group SE Class A,OMXHEX,Non-Energy Minerals,Other Metals/Minerals,0.29,0.297,0.288,0.295,-1.0067114093959741,79935499.0,66068,EUR
AIFORIA,Aiforia Technologies Oy Class A,OMXHEX,Technology Services,Packaged Software,2.88,2.96,2.87,2.92,2.0979020979020997,92291285.0,23074,EUR
AKTIA,Aktia Bank Plc Class A,OMXHEX,Finance,Regional Banks,10.4,10.46,10.24,10.3,-0.7707129094412337,753917626.0,39838,EUR
ALBAV,Alandsbanken Abp Class A,OMXHEX,Finance,Major Banks,43.0,43.0,42.5,42.6,-0.4672897196261583,656859207.0,373,EUR
ALBBV,Alandsbanken Abp Class B,OMXHEX,Finance,Major Banks,42.5,42.8,42.3,42.8,1.182033096926714,656859207.0,4024,EUR
ALEX,Alexandria Group Oyj,OMXHEX,Finance,Financial Conglomerates,10.95,10.95,10.8,10.95,0.0,116293049.0,245,EUR
ALISA,Alisa Pankki Oyj,OMXHEX,Finance,Major Banks,0.17,0.17,0.1685,0.1685,-0.2958579881656807,25237859.0,2314,EUR
ALMA,Alma Media Oyj,OMXHEX,Consumer Services,Publishing: Newspapers,14.1,14.2,14.1,14.1,0.7142857142857117,1160709230.0,3516,EUR
ANORA,Anora Group Oyj,OMXHEX,Consumer Non-Durables,Beverages: Alcoholic,3.205,3.23,3.18,3.205,0.15624999999999667,216509369.0,27608,EUR
APETIT,Apetit Oyj,OMXHEX,Consumer Non-Durables,Food: Specialty/Candy,13.95,14.15,13.85,13.85,-0.35971223021583243,86373398.0,1178,EUR
ARVOSK,Arvo Sijoitusosuuskunta,OMXHEX,Finance,Financial Conglomerates,69.04,71.98,67.39,68.8,-0.33318846878169484,56037600.0,416,EUR
ASPO,Aspo Plc,OMXHEX,Distribution Services,Wholesale Distributors,5.8,5.8,5.74,5.8,1.04529616724738,181297166.0,4893,EUR
ASUNTO,Asuntosalkku Oy Class A,OMXHEX,Finance,Real Estate Investment Trusts,82.5,83.5,82.5,83.5,1.2121212121212122,82380432.0,66,EUR
ATRAV,Atria Oyj Class A,OMXHEX,Distribution Services,Food Distributors,13.2,13.2,12.9,12.95,-1.893939393939394,364873294.0,14369,EUR
BEER,Nokian Panimo Oyj,OMXHEX,Consumer Non-Durables,Beverages: Alcoholic,2.465,2.47,2.46,2.46,-0.20283975659228778,24800866.38,2912,EUR
BETOLAR,Betolar Oyj,OMXHEX,Commercial Services,Miscellaneous Commercial Services,1.265,1.27,1.245,1.245,-2.3529411764705728,23633443.0,536,EUR
BIOBV,Biohit Oyj Class B,OMXHEX,Health Technology,Medical Specialties,2.79,2.85,2.76,2.79,2.5735294117647,42367803.0,4525,EUR
BITTI,Bittium Corporation,OMXHEX,Technology Services,Information Technology Services,12.28,12.28,12.06,12.22,-0.16339869281045402,436281709.0,26553,EUR
BOREO,Boreo Oyj,OMXHEX,Electronic Technology,Semiconductors,16.05,16.65,16.05,16.65,0.0,44822865.0,69,EUR
BRETEC,Bioretec Ltd.,OMXHEX,Health Technology,Medical Specialties,1.37,1.37,1.33,1.355,-1.4545454545454557,41711091.0,12133,EUR
CANATU,CANATU PLC,OMXHEX,Producer Manufacturing,Electrical Products,8.54,8.62,8.3,8.3,-2.8103044496486937,288586299.0,14782,EUR
CAPMAN,CapMan Oyj Class B,OMXHEX,Finance,Financial Conglomerates,1.89,1.914,1.89,1.896,0.3174603174603178,335311233.0,67695,EUR
CONSTI,Consti Oyj,OMXHEX,Consumer Durables,Homebuilding,10.45,10.7,10.4,10.65,0.9478672985781956,84058615.0,3532,EUR
CTH1V,Componenta Oyj,OMXHEX,Producer Manufacturing,Metal Fabrication,4.34,4.37,4.3,4.37,1.6279069767441927,42502431.0,2784,EUR
CTY1S,Citycon Oyj,OMXHEX,Finance,Real Estate Development,3.56,3.628,3.558,3.618,1.4582164890633778,664152704.0,86376,EUR
DETEC,Detection Technology Oy,OMXHEX,Electronic Technology,Electronic Equipment/Instruments,9.86,9.9,9.8,9.84,0.2036659877800364,144211403.0,4062,EUR
DIGIA,Digia Oyj,OMXHEX,Technology Services,Packaged Software,6.78,6.8,6.72,6.8,0.5917159763313614,181207292.0,4094,EUR
DIGIGR,Digitalist Group Oyj,OMXHEX,Technology Services,Information Technology Services,6.92,6.92,6.1,6.14,-11.271676300578038,17030646.0,3763,EUR
DOV1V,Dovre Group Plc,OMXHEX,Commercial Services,Personnel Services,0.1625,0.164,0.161,0.161,0.3115264797507791,17020882.0,43104,EUR
DUELL,Duell Oyj,OMXHEX,Distribution Services,Wholesale Distributors,4.15,4.15,4.02,4.14,0.9756097560975618,21458930.0,3127,EUR
DWF,Digital Workforce Services Oyj,OMXHEX,Technology Services,Packaged Software,3.68,3.68,3.6,3.65,-0.8152173913043546,41420377.0,1743,EUR
EAGLE,Eagle Filters Group Plc Class A,OMXHEX,Finance,Investment Managers,0.0654,0.068,0.0654,0.068,1.492537313432837,15205539.0,16100,EUR
ECOUP,EcoUp Oyj,OMXHEX,Non-Energy Minerals,Other Metals/Minerals,1.61,1.61,1.6,1.6,-1.8404907975460003,14317627.200000001,218,EUR
