symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
AAAK,Wool Industry Tria Alfa SA,ATHEX,Process Industries,Textiles,8.0,8.5,8.0,8.5,-2.857142857142857,8593500.0,460,EUR
ACAG,AUSTRIACARD HOLDINGS AG,ATHEX,Finance,Finance/Rental/Leasing,5.21,5.27,5.19,5.24,0.5758157389635364,188595800.6,23911,EUR
ADMIE,Admie Holdings SA,ATHEX,Utilities,Electric Utilities,3.305,3.34,3.22,3.225,-2.1244309559939256,747828003.0,405653,EUR
AEGN,Aegean Airlines SA,ATHEX,Transportation,Airlines,13.74,13.82,13.48,13.56,-1.3100436681222687,1222665900.0,135247,EUR
AEM,Alter Ego Media S.A.,ATHEX,Consumer Services,Broadcasting,5.995,6.03,5.88,6.0,0.3344481605351099,,219108,EUR
AETF,ALPHA ETF FTSE Athex Large Cap EQUITY UCITS,ATHEX,Miscellaneous,Investment Trusts/Mutual Funds,51.24,51.38,50.68,50.8,-0.5676257584654654,,4332,EUR
AIA,Athens International Airport S.A,ATHEX,Transportation,Other Transportation,10.48,10.53,10.36,10.39,-0.8587786259541972,3216163283.0,53885,EUR
AKRIT,AKRITAS S.A.,ATHEX,Consumer Durables,Home Furnishings,1.05,1.095,1.05,1.085,0.0,14105000.0,528,EUR
AKTR,Aktor Societe Anonyme Holding Company Technical and Energy Projects,ATHEX,Communications,Specialty Telecommunications,7.82,7.82,7.66,7.8,0.2570694087403544,1590921893.0,153183,EUR
ALMY,Alumil Aluminium Industry S.A.,ATHEX,Non-Energy Minerals,Aluminum,5.18,5.2,5.1,5.12,-1.1583011583011509,165958043.0,16612,EUR
ALPHA,Alpha Bank S.A.,ATHEX,Finance,Major Banks,3.48,3.538,3.445,3.518,1.0338885697874665,7992581933.0,7268449,EUR
ANDRO,Alpha Trust Andromeda Investment Trust SA,ATHEX,Miscellaneous,Investment Trusts/Mutual Funds,7.2,7.2,7.1,7.18,0.0,,2396,EUR
ASCO,AS Company S.A.,ATHEX,Consumer Durables,Recreational Products,4.02,4.05,3.96,3.99,0.251256281407041,52372818.0,20045,EUR
ASTAK,ALPHA REAL ESTATE S.A.,ATHEX,Finance,Real Estate Development,7.44,7.46,7.44,7.46,0.26881720430106953,104440001.0,2711,EUR
ATEK,Attica Publications SA,ATHEX,Consumer Services,Publishing: Newspapers,1.13,1.24,1.12,1.23,8.849557522123902,18819001.0,4678,EUR
ATRUST,ALPHA TRUST HOLDINGS S.A.,ATHEX,Miscellaneous,Investment Trusts/Mutual Funds,8.8,8.82,8.7,8.8,0.0,26392082.0,885,EUR
ATTICA,Attica Holdings SA,ATHEX,Transportation,Marine Shipping,2.15,2.16,2.13,2.13,-0.9302325581395358,517939741.0,9966,EUR
AVAX,Avax S.A.,ATHEX,Industrial Services,Engineering & Construction,2.25,2.325,2.25,2.25,0.0,333723415.0,210605,EUR
AVE,AVE S.A.,ATHEX,Distribution Services,Electronics Distributors,0.528,0.53,0.522,0.528,0.3802281368821296,94067313.0,42363,EUR
BELA,Jumbo S.A.,ATHEX,Retail Trade,Specialty Stores,30.58,30.58,30.04,30.3,-0.39447731755424387,4071276671.0,485116,EUR
BIOKA,Biokarpet SA Industrial and Commercial Enterprises,ATHEX,Producer Manufacturing,Metal Fabrication,1.85,1.85,1.81,1.815,-1.3586956521739202,43535498.0,17005,EUR
BIOSK,Unibios Holdings S.A.,ATHEX,Producer Manufacturing,Building Products,2.82,2.85,2.73,2.77,-1.7730496453900648,47440593.0,24272,EUR
BLEKEDROS,Ble Kedros REIC SA,ATHEX,Finance,Real Estate Investment Trusts,4.06,4.1,4.06,4.08,0.0,164177492.0,1655,EUR
BOCHGR,Bank of Cyprus Holdings Plc,ATHEX,Finance,Regional Banks,7.52,7.56,7.34,7.38,-1.8617021276595702,3181460438.0,1057993,EUR
BRIQ,BriQ Properties Real Estate Investment Company,ATHEX,Finance,Real Estate Investment Trusts,2.81,2.82,2.78,2.8,0.0,128829916.0,41923,EUR
CAIROMEZ,Cairo Mezz Plc,ATHEX,Finance,Finance/Rental/Leasing,0.432,0.441,0.415,0.418,-4.566210045662104,129202474.94,1216401,EUR
CENER,Cenergy Holdings SA,ATHEX,Producer Manufacturing,Electrical Products,10.66,10.66,10.24,10.66,0.9469696969696936,2263207625.0,193728,EUR
CENTR,Centric Holdings SA,ATHEX,Technology Services,Information Technology Services,0.341,0.341,0.33,0.338,-0.2949852507374634,33428680.0,17050,EUR
CNLCAP,CNL Capital EKES-AIFM,ATHEX,Finance,Investment Managers,6.7,6.8,6.7,6.75,1.5037593984962352,4973805.0,615,EUR
CPI,CPI Computer Peripherals International S.A.,ATHEX,Distribution Services,Electronics Distributors,0.636,0.644,0.636,0.644,1.2578616352201268,6805599.0,10015,EUR
CREDIA,CrediaBank S.A.,ATHEX,Finance,Regional Banks,1.49,1.49,1.436,1.45,-2.027027027027029,2346117954.0,538418,EUR
DAIOS,Daios Plastics S.A.,ATHEX,Process Industries,Containers/Packaging,5.1,5.6,5.1,5.6,0.0,83999999.0,86,EUR
DIMAND,DIMAND SOCIETE ANONYME DEVELOPMENT & EXPLOITATION OF REAL ESTATE & CONSTRUCTIONS SERVICES & HOLDING,ATHEX,Finance,Real Estate Development,9.64,9.84,9.64,9.74,1.0373443983402453,180485119.0,25199,EUR
DOMIK,DOMIKI KRITIS S.A.,ATHEX,Industrial Services,Engineering & Construction,2.32,2.32,2.23,2.23,-3.87931034482758,35409608.0,23971,EUR
DOPPLER,DOPPLER S.A.,ATHEX,Producer Manufacturing,Building Products,0.635,0.655,0.62,0.65,1.5625000000000013,8112838.0,6075,EUR
DROME,DROMEAS S.A.,ATHEX,Producer Manufacturing,Office Equipment/Supplies,0.409,0.411,0.397,0.399,-2.4449877750611133,13853280.0,27883,EUR
EEE,Coca-Cola HBC AG,ATHEX,Consumer Non-Durables,Beverages: Non-Alcoholic,43.16,43.32,42.88,43.02,-0.3243744207599478,15845099501.912086,8702,EUR
EIS,European Innovation Solutions S.A.,ATHEX,Commercial Services,Miscellaneous Commercial Services,1.308,1.308,1.272,1.29,0.15527950310559022,19780190.0,132957,EUR
EKTER,EKTER S.A.,ATHEX,Industrial Services,Engineering & Construction,2.295,2.3,2.24,2.29,1.1037527593818945,51524999.0,66199,EUR
ELBE,ELVE S.A.,ATHEX,Consumer Non-Durables,Apparel/Footwear,5.35,5.6,5.35,5.5,4.761904761904762,18191249.0,624,EUR
ELHA,ELVALHALCOR Hellenic Copper and Aluminium Industry S.A.,ATHEX,Producer Manufacturing,Metal Fabrication,2.59,2.61,2.525,2.555,-0.3898635477582763,958742333.0,131553,EUR
ELIN,ELINOIL HELLENIC PETROLEUM COMPANY S.A.,ATHEX,Distribution Services,Wholesale Distributors,2.46,2.5,2.42,2.44,-2.400000000000002,57858612.0,1061,EUR
