symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
06N,Magna Polonia S.A.,GPW,Miscellaneous,Investment Trusts/Mutual Funds,2.44,2.55,2.42,2.52,2.8571428571428505,34629776.0,50328,PLN
08N,Octava SA,GPW,Miscellaneous,Investment Trusts/Mutual Funds,0.78,0.78,0.78,0.78,0.0,33373739.0,0,PLN
11B,11 Bit Studios SA,GPW,Technology Services,Packaged Software,186.0,186.0,184.0,184.0,-0.5405405405405406,444764597.0,5687,PLN
1AT,ATAL S.A.,GPW,Consumer Durables,Homebuilding,58.9,59.8,58.6,59.0,-0.3378378378378426,2552372536.0,13659,PLN
3RG,3R Games SA,GPW,Retail Trade,Internet Retail,0.886,0.89,0.854,0.874,-1.5765765765765778,69253912.0,235753,PLN
4MB,4Mobility S.A.,NEWCONNECT,Finance,Finance/Rental/Leasing,1.47,1.47,1.4,1.4,-4.761904761904766,6920424.0,1485,PLN
4MS,4Mass SA,GPW,Consumer Non-Durables,Household/Personal Care,4.7,4.82,4.7,4.8,1.587301587301591,115252803.0,12650,PLN
7FT,7FIT Spolka Akcyjna,NEWCONNECT,Retail Trade,Food Retail,9.55,9.55,9.15,9.2,-2.6455026455026456,16491000.0,20,PLN
7LV,7LEVELS SA,NEWCONNECT,Technology Services,Packaged Software,9.1,9.1,9.1,9.1,5.813953488372093,7031889.0,2,PLN
AAPL,Apple Inc.,GPW,Electronic Technology,Telecommunications Equipment,870.0,870.0,870.0,870.0,0.0,12997270648439.785,1,PLN
AAS,Arts Alliance GK SA,NEWCONNECT,Finance,Financial Conglomerates,18.5,18.5,18.5,18.5,-0.5376344086021582,304255818.0,1,PLN
AAT,Alta SA,GPW,Finance,Real Estate Development,1.915,1.94,1.9,1.94,-0.5128205128205132,30341300.0,10083,PLN
ABE,AB S.A.,GPW,Distribution Services,Electronics Distributors,105.4,105.8,102.6,104.6,-1.3207547169811376,1688578288.0,7037,PLN
ABK,Abak S.A.,NEWCONNECT,Commercial Services,Miscellaneous Commercial Services,5.6,5.6,4.52,5.6,0.0,15090656.0,570,PLN
ABS,Asseco Business Solutions SA,GPW,Technology Services,Packaged Software,85.4,85.4,84.0,85.0,-0.46838407494145856,2840546150.0,546,PLN
ACG,AC Spolka Akcyjna,GPW,Producer Manufacturing,Auto Parts: OEM,25.5,25.8,25.3,25.3,-0.39370078740156644,232726667.0,1520,PLN
ACP,Asseco Poland S.A.,GPW,Technology Services,Packaged Software,203.0,208.6,200.8,201.8,0.9504752376188123,16749461838.0,158515,PLN
ACT,Action S.A.,GPW,Distribution Services,Electronics Distributors,27.15,27.15,26.8,27.0,-0.5524861878452987,353610352.0,9974,PLN
ADS,adidas AG,GPW,Consumer Non-Durables,Apparel/Footwear,740.2,749.0,740.2,749.0,2.941176470588232,133517334212.54605,7,PLN
ADV,Adiuvo Investment S.A.,GPW,Health Technology,Biotechnology,0.77,0.788,0.75,0.78,1.0362694300518145,10275989.0,16473,PLN
ADX,Adatex Spoyka Akcyjna,NEWCONNECT,Commercial Services,Miscellaneous Commercial Services,0.298,0.298,0.298,0.298,0.0,,0,PLN
AER,VENDA SE,NEWCONNECT,Finance,Investment Managers,0.045,0.045,0.045,0.045,0.0,,0,PLN
AFC,AKCEPT Finance SA,NEWCONNECT,Finance,Finance/Rental/Leasing,0.21,0.21,0.21,0.21,0.0,1050000.0,100,PLN
AFH,Aforti Holding SA,NEWCONNECT,Finance,Investment Managers,2.5,2.5,2.5,2.5,0.0,,0,PLN
AGL,Agroliga Group Plc.,NEWCONNECT,Process Industries,Agricultural Commodities/Milling,24.2,24.2,24.2,24.2,0.0,,0,PLN
AGO,Agora SA,GPW,Consumer Services,Movies/Entertainment,8.66,8.8,8.6,8.78,0.9195402298850583,408979705.0,24062,PLN
AGP,AGROMEP Spolka Akcyjna,NEWCONNECT,Producer Manufacturing,Trucks/Construction/Farm Machinery,4.08,4.08,4.08,4.08,0.0,10332433.0,0,PLN
AGT,Agroton Public Ltd,GPW,Process Industries,Agricultural Commodities/Milling,5.74,5.74,5.52,5.74,0.0,124385795.0,250,PLN
AIN,ABS Investment Alternatywna Spolka Inwestycyjna Spolka Akcyjna,NEWCONNECT,Miscellaneous,Investment Trusts/Mutual Funds,0.69,0.69,0.69,0.69,5.3435114503816665,,2100,PLN
AIT,Aiton Caldwell SA,NEWCONNECT,Technology Services,Information Technology Services,0.343,0.346,0.34,0.34,-2.0172910662824064,4228920.0,245,PLN
ALE,Allegro.eu SA,GPW,Retail Trade,Apparel/Footwear Retail,35.12,35.925,34.76,34.89,0.22981901752369516,36826568976.0,3472965,PLN
ALG,All in! Games SA,GPW,Miscellaneous,Investment Trusts/Mutual Funds,1.105,1.13,1.04,1.085,-3.1250000000000124,82050653.0,16806,PLN
ALI,Altus SA,GPW,Finance,Investment Managers,1.915,1.98,1.85,1.98,-1.0000000000000009,81021597.0,6867,PLN
ALL,Ailleron SA,GPW,Technology Services,Packaged Software,18.32,18.48,17.42,18.3,-0.10917030567685357,226105714.0,15530,PLN
ALR,Alior Bank SA,GPW,Finance,Regional Banks,108.0,108.2,104.1,104.1,-2.573701450631727,13590669701.0,237513,PLN
ALV,Allianz SE,GPW,Finance,Multi-Line Insurance,1572.5,1572.5,1572.5,1572.5,0.0,574964049010.418,0,PLN
AMB,Ambra S.A.,GPW,Consumer Non-Durables,Beverages: Alcoholic,19.8,19.8,19.5,19.7,-0.5050505050505122,496570907.0,13862,PLN
