symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
AERO,Aerodrom Nikola Tesla AD,BELEX,Transportation,Other Transportation,2200,2200,2200,2200,0.0,77057487488.0,1235,RSD
AMSO,AMS Osiguranje a.d.,BELEX,Finance,Property/Casualty Insurance,5500,5500,5500,5500,0.0,,10,RSD
AMSOPB,AMS Osiguranje a.d. Pref,BELEX,Finance,Property/Casualty Insurance,3500,3500,3500,3500,0.0,,30,RSD
DINN,Philip Morris Operations AD,BELEX,Consumer Non-Durables,Tobacco,9000,9000,9000,9000,0.0,63308958615.0,130,RSD
DINNPB,Philip Morris Operations a.d. Pref.Shs,BELEX,Consumer Non-Durables,Tobacco,9350,9350,9350,9350,0.0,63308958615.0,5,RSD
DNOS,Dunav Osiguranje AD,BELEX,Finance,Multi-Line Insurance,1609,1650,1609,1650,3.125,24910291786.0,1216,RSD
DNREM,Dunav Re Ad,BELEX,Finance,Specialty Insurance,10250,10250,10250,10250,5.128205128205128,10046199250.0,4,RSD
ELKK,Elkok AD,BELEX,Producer Manufacturing,Industrial Machinery,1350,1350,1350,1350,3.8461538461538463,,984,RSD
ENHL,Energoprojekt Holding ad Beograd,BELEX,Industrial Services,Engineering & Construction,496,496,496,496,0.0,5373461365.0,187,RSD
GFOM,Gosa FOM a.d.,BELEX,Producer Manufacturing,Trucks/Construction/Farm Machinery,1610,1610,1610,1610,-5.294117647058823,2204094923.0,65,RSD
IMPL,Impol Seval AD,BELEX,Non-Energy Minerals,Aluminum,7999,7999,7999,7999,0.0,7537353713.0,6,RSD
INFM,Informatika AD,BELEX,Technology Services,Packaged Software,6000,6000,6000,6000,0.0,1080066025.0,3,RSD
JESV,Jedinstvo AD Sevojno,BELEX,Industrial Services,Engineering & Construction,8499,8499,8499,8499,0.10600706713780918,1822992906.0,15,RSD
LSTA,"SP Lasta a.d., Beograd",BELEX,Transportation,Other Transportation,665,665,665,665,0.0,,120,RSD
MTLC,Metalac AD,BELEX,Producer Manufacturing,Miscellaneous Manufacturing,2150,2150,2150,2150,2.380952380952381,4159970510.0,580,RSD
PPTA,PPT Armature a.d.,BELEX,Distribution Services,Wholesale Distributors,426,426,426,426,-14.799999999999999,,10,RSD
RTAR,Ratar AD,BELEX,Process Industries,Agricultural Commodities/Milling,950,950,950,950,0.0,,155,RSD
SJPR,Lucic Prigrevica AD,BELEX,Process Industries,Agricultural Commodities/Milling,550,550,550,550,0.0,,395,RSD
TGAS,Messer Tehnogas AD,BELEX,Process Industries,Industrial Specialties,35104,36400,35103,36400,3.700749266402666,36529752117.0,126,RSD
THHM,Tehnohemija AD,BELEX,Distribution Services,Wholesale Distributors,250,250,250,250,0.0,256136000.00000003,257,RSD
TRBG,Termika-Beograd a.d.,BELEX,Process Industries,Industrial Specialties,3450,3450,3450,3450,4.545454545454546,,15,RSD
UTSI,Utva Silosi AD,BELEX,Non-Energy Minerals,Steel,4400,4400,4400,4400,-6.522200977267898,656326000.0,3,RSD
WKSL,Woksal AD,BELEX,Process Industries,Chemicals: Specialty,450,450,450,450,0.0,,246,RSD
