symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
A1CAP,A1 Capital Yatitim Menkul Degerler A.S.,BIST,Finance,Investment Managers,9.62,9.69,9.3,9.33,-2.5078369905956133,6297750000.0,12168544,TRY
A1YEN,A1 Yenilenebilir Enerji Uretim AS,BIST,Utilities,Alternative Power Generation,31.9,32.2,30.86,30.92,-2.767295597484274,1700600000.0,1899107,TRY
ACSEL,Aciselsan Acipayam Seluloz Sanayi ve Ticaret AS,BIST,Process Industries,Chemicals: Specialty,135.1,137.0,127.5,128.8,-3.520599250936321,1378321042.0,239709,TRY
ADEL,Adel Kalemcilik Ticaret ve Sanayi A.S.,BIST,Consumer Durables,Recreational Products,36.5,36.86,35.38,35.4,-2.7472527472527473,9199575397.0,2047073,TRY
ADESE,Adese Gayrimenkul Yatirim AS,BIST,Finance,Real Estate Development,19.18,21.06,19.05,21.06,9.91649269311064,21228479462.0,79479213,TRY
ADGYO,Adra Gayrimenkul Yatirim Ortakligi A.S.,BIST,Finance,Financial Conglomerates,49.72,52.05,49.38,51.4,3.3789219629927594,15096180000.0,2128395,TRY
AEFES,Anadolu Efes Biracilik ve Malt Sanayii A.S.,BIST,Consumer Non-Durables,Beverages: Non-Alcoholic,15.46,15.48,14.9,14.9,-3.1209362808842678,88223683483.0,93711569,TRY
AFYON,Afyon Cimento Sanayii T.A.S.,BIST,Non-Energy Minerals,Construction Materials,13.81,13.87,13.51,13.55,-1.8826937002172324,5420000076.0,2431298,TRY
AGESA,AgeSA Hayat ve Emeklilik A.S.,BIST,Finance,Life/Health Insurance,159.3,159.9,157.3,157.3,-1.0069225928256729,28314000549.0,162755,TRY
AGHOL,AG Anadolu Grubu Holding Anonim Sirketi,BIST,Consumer Non-Durables,Beverages: Non-Alcoholic,27.68,28.12,27.22,27.58,0.21802325581394885,67166820840.0,8337208,TRY
AGROT,Agrotech Yuksek Teknoloji ve Yatirim AS,BIST,Technology Services,Packaged Software,8.43,8.5,8.1,8.1,-3.4564958283671143,9720000000.0,21333032,TRY
AGYO,Atakule Gayrimenkul Yatirim Ortakligi A.S.,BIST,Finance,Real Estate Investment Trusts,7.8,7.88,7.76,7.78,-0.7653061224489747,2048785101.0,345205,TRY
AHGAZ,Ahlatci Dogal Gaz Dagitim Enerji ve Yatirim AS,BIST,Utilities,Gas Distributors,36.3,36.48,35.96,36.4,0.8310249307479145,94640003967.0,5260473,TRY
AHSGY,Ahes Gayrimenkul Yatirim Ortakligi AS,BIST,Finance,Real Estate Development,38.58,39.78,37.82,39.1,1.929092805005219,7624500000.0,1670479,TRY
AKBNK,Akbank T.A.S.,BIST,Finance,Regional Banks,62.15,64.65,61.05,62.45,1.3798701298701321,324740003967.0,222024322,TRY
AKCNS,Akcansa Cimento Sanayi ve Ticaret A.S.,BIST,Non-Energy Minerals,Construction Materials,138.7,139.4,135.2,137.6,-1.0071942446043207,26343119723.0,829021,TRY
AKENR,Akenerji Elektrik Uretim A.S.,BIST,Utilities,Electric Utilities,10.87,10.89,10.66,10.68,-1.3850415512465406,7787472410.0,5275530,TRY
AKFGY,Akfen Gayrimenkul Yatirim Ortakligi A.S.,BIST,Finance,Real Estate Investment Trusts,2.79,2.83,2.71,2.71,-2.1660649819494604,10569000149.0,75838614,TRY
AKFIS,Akfen insaat Turizm ve Ticaret AS,BIST,Industrial Services,Engineering & Construction,23.42,23.5,22.86,22.9,-1.9691780821917846,14577775890.0,3074989,TRY
AKFYE,AKFEN YENILENEBILIR ENERJI A.S.,BIST,Utilities,Alternative Power Generation,18.05,18.21,17.67,17.72,-1.6102165463631464,21210175111.0,4110783,TRY
AKGRT,Aksigorta AS,BIST,Finance,Multi-Line Insurance,6.44,6.49,6.34,6.34,-1.0920436817472743,10220080246.0,7270287,TRY
