symbol,name,price,currency,change_percent,change_points,day_high,day_low,tech_rating
SPX,S&P 500,6481.51,USD,-0.32,-20.58,6532.65,6443.98,Buy
IXIC,US Composite Index,21700.39,USD,-0.03,-7.31,21878.81,21534.73,Buy
DJI,Dow Jones Industrial Average Index,45400.87,USD,-0.48,-220.43,45770.2,45211.78,Buy
VIX,CBOE Volatility Index,15.18,,-0.78,-0.12,16.92,14.74,Sell
TSX,S&P/TSX Composite index,29050.63,CAD,0.47,134.74,29115.42,28867.95,Buy
UKX,UK 100 INDEX,9208.22,GBP,-0.09,-8.66,9253.53,9197.56,Buy
DAX,DAX Index,23596.98,EUR,-0.73,-173.35,23854.68,23546.7,Sell
PX1,CAC 40 Index,7674.78,EUR,-0.31,-24.14,7732.04,7649.4,Strong sell
FTMIB,MILANO ITALIA BORSA INDEX,41607.8,EUR,-0.91,-381.9,42202.8,41468.18,Neutral
NI225,Japan 225 Index,43018.7,JPY,1.03,438.48,43220.94,42783.54,Buy
KOSPI,KOREA COMPOSITE STOCK PRICE INDEX (KOSPI),3205.13,KRW,0.13,4.29,3214.64,3196.19,Buy
000001,SSE Composite Index,3812.5143,CNY,1.24,46.6384,3817.1589,3745.3091,Buy
399001,Shenzhen Component Index,12590.5616,CNY,3.89,471.8598,12597.8887,12085.5359,Strong buy
HSI,Hang Seng Index,25417.98,HKD,1.43,359.47,25471.8,25090.65,Strong buy
STI,STRAITS TIMES INDEX,4307.09,SGD,0.24,10.25,4320.37,4300.85,Buy
XJO,S&P/ASX 200 Index,8871.2,AUD,0.51,44.7,8880.7,8826.5,Buy
NZ50G,S&P/NZX 50 Gross Index,13223.53,NZD,0.69,90.33,13223.53,13133.5,Strong buy
FBMKLCI,FTSE Bursa Malaysia KLCI Index,1578.15,MYR,-0.02,-0.37,1581.89,1575.99,Buy
COMPOSITE,IDX Composite Index,7867.348,IDR,-0.23,-18.515,7899.796,7855.742,Buy
SX5E,STOXX 50,5318.16,EUR,-0.53,-28.56,5372.26,5301.18,Sell
IBC,IBEX 35 Index,14850.9,EUR,-0.45,-67.4,14985.8,14805.1,Neutral
