symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
A,"Agilent Technologies, Inc.",NYSE,Health Technology,Medical Specialties,128.72,131.0,128.39,128.75,0.2101494396015024,36500680008.00001,1633203.0,USD
AA,Alcoa Corporation,NYSE,Non-Energy Minerals,Aluminum,31.7299,32.07,30.99,31.83,1.7257909875359512,8241255959.999999,5686270.0,USD
AABB,"Asia Broadband, Inc.",OTC,Finance,Investment Banks/Brokers,0.0221,0.0249,0.0221,0.0247,6.465517241379317,97441124.0,6554940.0,USD
AABVF,Aberdeen International Inc.,OTC,Finance,Investment Managers,0.0216,0.02274,0.0216,0.02274,0.5305039787798346,3631288.4440000006,30000.0,USD
AACAF,AAC Technologies Holdings Inc,OTC,Electronic Technology,Electronic Production Equipment,5.79,5.79,5.79,5.79,-2.6890756302521033,6865191678.341834,101.0,USD
AACAY,AAC Technologies Holdings Inc,OTC,Electronic Technology,Electronic Production Equipment,5.3725,5.639,5.3725,5.45,5.009633911368011,6493716749.4757805,28319.0,USD
AACB,Artius II Acquisition Inc.,NASDAQ,Finance,Financial Conglomerates,10.13,10.13,10.13,10.13,0.0,295289500.0,3505.0,USD
AACBU,Artius II Acquisition Inc. Units Consist of 1 Sh A + 1 Rt,NASDAQ,Finance,Financial Conglomerates,10.27,10.3,10.27,10.3,-1.904761904761898,300245000.0,572.0,USD
AACG,ATA Creativity Global Sponsored ADR,NASDAQ,Commercial Services,Miscellaneous Commercial Services,2.19,2.28,2.03,2.035,-5.3488372093023155,64939671.00000001,119607.0,USD
AACI,Armada Acquisition Corp. II,NASDAQ,Finance,Financial Conglomerates,10.25,10.25,10.24,10.25,0.0,323797490.99999994,24133.0,USD
AACT,Ares Acquisition Corporation II,NYSE,Finance,Financial Conglomerates,11.41,11.43,11.41,11.42,0.08764241893076062,706437901.0,372194.0,USD
AACT.U,Ares Acquisition Corporation II Units Const of 1 Shs A + 1/2 Wt,NYSE,Finance,Financial Conglomerates,12.03,12.03,12.03,12.03,-0.5785123966942173,706437901.0,101.0,USD
AACTF,Aurora Solar Technologies Inc.,OTC,Electronic Technology,Electronic Equipment/Instruments,0.0075,0.0075,0.0075,0.0075,0.0,1505440.5,100800.0,USD
AADR,AdvisorShares Dorsey Wright ADR ETF,NASDAQ,Miscellaneous,Investment Trusts/Mutual Funds,83.4085,83.48,82.43,83.125,0.8614936601346765,,2523.0,USD
AAFRF,Airtel Africa Plc,OTC,Communications,Wireless Telecommunications,3.013,3.028,3.0092,3.016,0.0,10998242559.218805,2237.0,USD
AAGAF,Silver47 Exploration Corp.,OTC,Non-Energy Minerals,Other Metals/Minerals,0.561,0.6447,0.561,0.6299,13.05143759646793,,846242.0,USD
AAGC,All American Gold Corp.,OTC,Non-Energy Minerals,Precious Metals,0.0004,0.0005,0.0003,0.0004,14.285714285714294,38653.99999999999,4886991.0,USD
AAGFF,Aftermath Silver Ltd.,OTC,Non-Energy Minerals,Precious Metals,0.651,0.651,0.5908,0.59383,-2.5549721037085793,182392177.20756626,829135.0,USD
AAGH,America Great Health,OTC,Health Technology,Pharmaceuticals: Other,0.0006,0.0007,0.0006,0.0007,16.66666666666668,14806898.000000002,7305000.0,USD
AAGIY,"AIA Group, Ltd.",OTC,Finance,Multi-Line Insurance,37.21,37.21,36.88,37.13,0.02693965517242758,96162359570.37444,279936.0,USD
AAGR,African Agriculture Holdings Inc.,OTC,Process Industries,Agricultural Commodities/Milling,0.005,0.005,0.005,0.005,0.0,289334.0,100.0,USD
AAGRY,Astra Agro Lestari TBK,OTC,Process Industries,Agricultural Commodities/Milling,1.68,1.68,1.66,1.66,-24.545454545454557,862934023.736598,649.0,USD
AAIGF,"AIA Group, Ltd.",OTC,Finance,Multi-Line Insurance,9.69,9.7,8.87,9.29,-2.518363064008397,97301584113.15196,18209.0,USD
AAIRF,American Aires Inc.,OTC,Commercial Services,Miscellaneous Commercial Services,0.072675,0.079,0.07,0.07501,-1.8450667364564362,7846571.069999999,161207.0,USD
AAL,"American Airlines Group, Inc.",NASDAQ,Transportation,Airlines,12.92,13.28,12.81,13.08,1.7107309486780766,8630560605.999998,90367765.0,USD
AALBF,A. Alberts Industries ,OTC,Producer Manufacturing,Industrial Machinery,33.16,33.16,33.16,33.16,-8.25840365195741,3666836111.4761252,100.0,USD
AALG,Leverage Shares 2X Long AAL Daily ETF,NASDAQ,Miscellaneous,Investment Trusts/Mutual Funds,13.95,14.6,13.95,14.3381,3.1184149016505462,,8997.0,USD
AAM,AA Mission Acquisition Corp.,NYSE,Finance,Financial Conglomerates,10.49,10.49,10.49,10.49,0.0,461287239.99999994,201045.0,USD
AAM.U,AA Mission Acquisition Corp. Units Cons of 1 Shs -A- + 1/2 Red Wt,NYSE,Finance,Financial Conglomerates,10.79,10.79,10.79,10.79,2.2748815165876626,461287240.0,173.0,USD
AAMCF,Altisource Asset Management Corp,OTC,Finance,Finance/Rental/Leasing,0.35,0.35,0.35,0.35,0.0,894078.5,186.0,USD
