symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
ABC.A,Banco del Caribe CA Banco Universal Class A,BVCV,Finance,Major Banks,379.9,380.0,312.1,312.1,-17.86842105263157,52691224670.0,193,VES
ALZ.B,Alalza Inversiones CA Class B,BVCV,Finance,Financial Conglomerates,30.0,30.0,30.0,30.0,-31.818181818181817,,25,VES
ARC.B,Arca Inmuebles Y Valores CA Class B,BVCV,Finance,Financial Conglomerates,230.0,230.0,230.0,230.0,0.0,,5,VES
BNC,"Banco Nacional de Credito, C.A.",BVCV,Finance,Major Banks,290.0,300.0,274.0,300.0,3.4482758620689653,74796600342.0,13758,VES
BPV,"Banco Provincial, S.A.",BVCV,Finance,Regional Banks,32.0,32.0,30.15,31.5,-1.5625,224000000000.0,658977,VES
BVCC,Caracas Stock Exchange,BVCV,Finance,Investment Banks/Brokers,85.0,85.0,80.0,85.0,0.0,,18699,VES
BVL,"BANCO DE VENEZUELA, S.A. BANCO UNIVERSAL",BVCV,,,258.0,270.0,230.0,265.0,2.717159579828672,,748,VES
CCR,"Ceramica Carabobo, S.A.C.A",BVCV,Producer Manufacturing,Building Products,2532.01,3750.0,2532.01,3750.0,18.48341232227488,8969866912.0,21,VES
CGQ,Corporacion Grupo Quimico S.A.C.A.,BVCV,Process Industries,Industrial Specialties,440.0,450.0,354.0,380.0,-3.5532994923857872,35931533279.0,98,VES
CRM.A,Corimon CA Class A,BVCV,Process Industries,Industrial Specialties,74.8,74.8,74.8,74.8,0.13386880856759614,13739630303.0,298,VES
DOM,Dominguez & Cia SA,BVCV,Process Industries,Containers/Packaging,87.0,90.0,82.0,90.0,3.4482758620689653,4186875000.0,429,VES
EFE,"Productos EFE, S.A.",BVCV,Consumer Non-Durables,Food: Specialty/Candy,31.0,31.0,27.5,30.0,-5.660377358490568,21000000000.0,1317,VES
ENV,"Envases Venezolanos, C.A.",BVCV,Process Industries,Containers/Packaging,155.0,159.8,155.0,159.8,3.0967741935483946,19673220558.0,920,VES
FNC,Fabrica Nacional de Cementos CA FNC,BVCV,Non-Energy Minerals,Construction Materials,25.0,25.0,22.0,22.0,0.0,1842971122.0,157,VES
GMC.B,Grupo Mantra Corp CA Registered Shs Series -B-,BVCV,,,1700.0,1700.0,1700.0,1700.0,3.0303030303030303,,34,VES
GZL,"Grupo Zuliano, C.A.",BVCV,Process Industries,Chemicals: Specialty,59.9,59.9,58.0,59.9,15.192307692307688,1452642330.0,1905,VES
ICP.B,Inversiones Crece Pymes CA Class B,BVCV,Finance,Investment Managers,7.88,7.88,6.9,7.49,8.550724637681157,27894031.0,779,VES
IVC.A,"INVACA Inmuebles, Valores y Capitales S.A.C.A Class A",BVCV,Finance,Real Estate Development,400.0,400.0,400.0,400.0,15.606936416184972,5552376928.0,15,VES
IVC.B,"INVACA Inmuebles, Valores y Capitales S.A.C.A Registered Shs Series -B-",BVCV,Finance,Real Estate Development,165.0,165.0,163.5,163.5,2.1875,5552376928.0,106,VES
MPA,Manufacturas de Papel CA,BVCV,Process Industries,Pulp & Paper,14.0,14.0,13.0,13.5,-1.459854014598535,3097035049.0,2472,VES
MTC.B,Montesco Fondo Agroindustrial CA Class B,BVCV,Finance,Financial Conglomerates,125.76,125.76,96.0,96.0,1.0526315789473684,,306,VES
MVZ.A,Mercantil Servicios Financieros C.A. Class A,BVCV,Finance,Major Banks,1399.0,1399.0,1396.99,1396.99,-0.21499999999999936,142233460285.0,64,VES
MVZ.B,Mercantil Servicios Financieros C.A. Class B,BVCV,Finance,Major Banks,1292.0,1292.0,1288.99,1288.99,-0.7705927636643565,142233460285.0,127,VES
PCP.B,"FONDO PETROLIA, C.A. CLASE 'B'",BVCV,,,109.0,109.0,92.5,93.0,-0.53475935828877,,5389,VES
PGR,"PROAGRO, C.A.",BVCV,,,41.99,44.0,41.99,43.99,-9.74558883873615,,4007,VES
PIV.B,Pivca Promotora de Inversiones y Valores CA Class B,BVCV,Finance,Financial Conglomerates,8200.0,8200.0,8200.0,8200.0,1.8633540372670807,,7,VES
PTN,Protinal CA,BVCV,Consumer Non-Durables,Food: Meat/Fish/Dairy,189.0,189.0,152.1,180.0,9.75609756097561,2524283981.0,2536,VES
RST.B,C.A. Ron Santa Teresa Class B,BVCV,Consumer Non-Durables,Beverages: Alcoholic,40.15,40.15,38.0,39.99,-0.39850560398504753,32848885956.0,50535,VES
SVS,Siderurgica Venezolana SA,BVCV,Producer Manufacturing,Metal Fabrication,86.85,86.85,70.0,82.0,-5.616942909760585,456331764.0,183,VES
TDV.D,C.A. Nacional Telefonos de Venezuela Class D,BVCV,Communications,Major Telecommunications,85.0,85.0,79.01,80.0,-2.4390243902439024,214197108.0,1984,VES
TPG,"TELARES DE PALO GRANDE, C.A.",BVCV,,,3.21,3.21,3.1,3.14,-1.8750000000000018,,7806,VES
