symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
AALR,General Co. for Land Reclamation Development & Reconstruction,EGX,Finance,Real Estate Development,166.98,168.0,163.12,163.71,-1.9583183614804058,1080660038.0,35597,EGP
ABUK,Abou Kir Fertilizers & Chemical Industries Co.,EGX,Process Industries,Chemicals: Agricultural,53.86,54.29,53.7,54.0,0.259933160044561,67422020768.0,609948,EGP
ACAMD,Arab Co. for Asset Management & Development,EGX,Finance,Investment Managers,0.95,0.954,0.931,0.933,-1.7894736842105166,1248606848.0,3935619,EGP
ACAP,A Capital Holding,EGX,Finance,Financial Conglomerates,4.98,5.8,4.98,5.32,6.827309236947787,3619735861.5,5034438,EGP
ACGC,Arab Cotton Ginning Co.,EGX,Process Industries,Agricultural Commodities/Milling,7.75,7.8,7.72,7.74,-0.12903225806451338,2031137877.0,218088,EGP
ACRO,Acrow Misr,EGX,Producer Manufacturing,Metal Fabrication,99.5,103.28,98.6,100.79,1.2964824120603078,5503817177.0,14405,EGP
ACTF,Act Financial,EGX,Finance,Investment Banks/Brokers,2.87,3.12,2.85,3.09,7.665505226480827,3230718820.0,74662904,EGP
ADCI,Arab Pharmaceuticals,EGX,Health Technology,Pharmaceuticals: Major,170.0,172.0,169.41,170.01,0.005882352941171121,2041560059.0,11519,EGP
ADIB,Abu Dhabi Islamic Bank-Egypt,EGX,Finance,Regional Banks,22.9,22.94,22.51,22.71,-0.8296943231440949,26400000000.0,690054,EGP
ADPC,Arab Dairy Products Co. Arab Dairy - Panda,EGX,Consumer Non-Durables,Food: Meat/Fish/Dairy,2.92,2.95,2.9,2.92,0.0,1404999971.0,1426092,EGP
ADRI,Arab Development & Real Estate Investment,EGX,Finance,Real Estate Development,3.97,4.0,3.95,3.99,0.5037783375314866,,88496,EGP
AFDI,Alahly For Development & Investment,EGX,Finance,Investment Banks/Brokers,35.86,36.39,35.86,35.96,0.2788622420524301,638100014.0,182997,EGP
AFMC,Alexandria Flour Mills Co.,EGX,Retail Trade,Food Retail,57.77,58.79,56.32,56.37,-2.423403150424105,1840294950.0,131089,EGP
AIDC,Arabia for Investment and Development,EGX,Finance,Regional Banks,0.251,0.253,0.249,0.251,0.0,,17143098,EGP
AIFI,Atlas for Investment & Food Industries SAE,EGX,Process Industries,Agricultural Commodities/Milling,1.8,1.83,1.79,1.79,-0.555555555555556,1178826537.0,2416298,EGP
AIH,Arabia Investments Holding SAE,EGX,Industrial Services,Engineering & Construction,0.281,0.283,0.28,0.281,0.0,434717953.0,4593758,EGP
AJWA,Ajwa for Food Industries Co. Egypt,EGX,Consumer Non-Durables,Food: Specialty/Candy,147.46,149.95,145.6,146.23,-0.8341245083412574,2958832182.0,71065,EGP
ALCN,Alexandria Containers & Goods,EGX,Transportation,Other Transportation,21.6,21.97,21.5,21.81,0.9722222222222096,63135751445.0,775749,EGP
