symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
A.H,Armor Minerals Inc.,TSXV,Non-Energy Minerals,Precious Metals,0.65,0.65,0.64,0.65,-7.142857142857134,49806000.0,24506,CAD
AA,Avventura Resources Ltd.,CSE,Non-Energy Minerals,Other Metals/Minerals,0.08,0.08,0.08,0.08,0.0,,25556,CAD
AAA.P,First Tidal Acquisition Corp. Class A,TSXV,Finance,Financial Conglomerates,0.06,0.06,0.04,0.04,-38.46153846153847,,3000,CAD
AAB,Aberdeen International Inc.,TSX,Finance,Investment Managers,0.03,0.03,0.03,0.03,0.0,4805618.0,16000,CAD
AAB,Aberdeen International Inc.,NEO,Finance,Investment Managers,0.03,0.03,0.03,0.03,0.0,4805618.0,90000,CAD
AAG,Aftermath Silver Ltd.,NEO,Non-Energy Minerals,Precious Metals,0.92,0.92,0.9,0.9,1.1235955056179785,275492586.0,59024,CAD
AAG,Aftermath Silver Ltd.,TSXV,Non-Energy Minerals,Precious Metals,0.93,0.93,0.89,0.91,2.247191011235957,275492586.0,1315549,CAD
AAN,Aton Resources Inc.,NEO,Non-Energy Minerals,Precious Metals,0.27,0.27,0.27,0.27,14.89361702127661,40785412.0,500,CAD
AAN,Aton Resources Inc.,TSXV,Non-Energy Minerals,Precious Metals,0.32,0.33,0.32,0.325,1.5625000000000013,40785412.0,21500,CAD
AAPL,Apple Inc. Shs Canadian Depositary Receipt Repr Shs Reg S,TSX,Electronic Technology,Telecommunications Equipment,37.1,37.14,36.67,36.89,-0.48556784461828895,5344943012350.643,65844,CAD
AAPU,Savvylong 2X AAPL ETF,NEO,Miscellaneous,Investment Trusts/Mutual Funds,31.52,31.54,31.52,31.54,5.133333333333331,,300,CAD
AAPU,Savvylong 2X AAPL ETF,TSX,Miscellaneous,Investment Trusts/Mutual Funds,32.14,32.14,31.52,31.7,-0.8445417578980281,,1272,CAD
AAUC,Allied Gold Corporation,TSX,Non-Energy Minerals,Precious Metals,25.15,25.82,25.0,25.1,-1.2199921290830331,2932314021.0,269159,CAD
