symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
ANDR,ANDRITZ AG,PSECZ,Producer Manufacturing,Industrial Machinery,1442.0,1442.0,1442.0,1442.0,-3.51288056206089,147506726015.8067,1,CZK
ATOMT,AtomTrace as,PSECZ,Commercial Services,Miscellaneous Commercial Services,41.0,41.0,41.0,41.0,-0.4854368932038904,,20,CZK
ATS,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,PSECZ,Electronic Technology,Electronic Components,663.5,663.5,663.5,663.5,2.8682170542635657,25679410927.857998,10,CZK
BEZVA,Bezvavlasy a.s.,PSECZ,Electronic Technology,Aerospace & Defense,600.0,600.0,600.0,600.0,0.0,600000000.0,9,CZK
CEZ,CEZ as,PSECZ,Utilities,Electric Utilities,1285.0,1290.0,1285.0,1290.0,0.0,690760828857.0,170608,CZK
CPI,CPI Europe AG,PSECZ,Finance,Real Estate Development,436.8,436.8,436.8,436.8,-1.086956521739133,59498313896.496864,50,CZK
CTPNV,CTP N.V.,PSECZ,Finance,Real Estate Development,460.4,468.8,460.0,467.0,1.8760907504363051,222345598704.7185,1044,CZK
CZG,COLT CZ GROUP SE,PSECZ,Electronic Technology,Aerospace & Defense,765.0,773.0,765.0,771.0,0.26007802340702213,26753026676.0,13913,CZK
DBK,Deutsche Bank Aktiengesellschaft,PSECZ,Finance,Investment Banks/Brokers,740.4,747.8,740.4,743.7,0.01344809037117035,1444513254410.565,59,CZK
DSPW,Doosan Skoda Power AS,PSECZ,Producer Manufacturing,Electrical Products,466.0,466.0,455.0,458.0,-1.079913606911447,,16191,CZK
DTE,Deutsche Telekom AG,PSECZ,Communications,Major Telecommunications,729.0,729.0,725.0,725.9,0.5401662049861464,3539236386648.3325,21,CZK
EFORU,E4U as,PSECZ,Utilities,Electric Utilities,316.0,316.0,310.0,314.0,1.2903225806451613,741408384.0,430,CZK
EMAN,eMan a.s.,PSECZ,Technology Services,Packaged Software,60.0,60.0,60.0,60.0,5.263157894736842,111720002.0,10,CZK
EOAN,E.ON SE,PSECZ,Utilities,Electric Utilities,392.45,397.75,392.45,397.75,1.479780584258199,1030911482120.5226,195,CZK
ERBAG,Erste Group Bank AG,PSECZ,Finance,Major Banks,2060.0,2076.0,2040.0,2050.0,-0.48543689320388345,825464381707.3441,44152,CZK
FACC,FACC AG,PSECZ,Electronic Technology,Aerospace & Defense,228.0,228.0,226.0,226.0,-0.8771929824561403,10409055039.55578,231,CZK
FILL,FILLAMENTUM as,PSECZ,Producer Manufacturing,Industrial Machinery,90.0,90.0,90.0,90.0,0.0,,80,CZK
FIXED,Fixed.zone a.s.,PSECZ,Electronic Technology,Telecommunications Equipment,95.0,95.0,95.0,95.0,0.0,,100,CZK
FTSHP,Footshop a.s.,PSECZ,Retail Trade,Apparel/Footwear Retail,107.0,107.0,107.0,107.0,-0.9259259259259258,,295,CZK
GEN,Gen Digital Inc.,PSECZ,Technology Services,Packaged Software,585.0,592.0,578.0,592.0,1.1965811965811968,351264572676.07416,83,CZK
GEV,"GEVORKYAN, a.s.",PSECZ,Consumer Durables,Tools & Hardware,232.0,232.0,230.0,232.0,0.0,3864487183.0,1152,CZK
HWIO,HARDWARIO A.S.,PSECZ,Electronic Technology,Computer Peripherals,10.7,10.7,10.0,10.0,0.0,,12600,CZK
KARIN,Karo Leather AS,PSECZ,Process Industries,Textiles,159.0,159.5,159.0,159.5,0.3144654088050315,795000000.0,170,CZK
KGH,KGHM Polska Miedz S.A.,PSECZ,Non-Energy Minerals,Other Metals/Minerals,1130.5,1130.5,1130.5,1130.5,2.959927140255009,217283751303.24832,20,CZK
KLIKY,"M&T 1997,a.s.",PSECZ,Producer Manufacturing,Metal Fabrication,24800.0,24800.0,24800.0,24800.0,0.8130081300813009,317440000.0,1,CZK
KOFOL,Kofola CeskoSlovensko as,PSECZ,Consumer Non-Durables,Beverages: Non-Alcoholic,500.0,505.0,499.0,504.0,1.002004008016032,10583869492.0,4946,CZK
KOMB,"Komercni banka, a.s.",PSECZ,Finance,Major Banks,1035.0,1039.0,1034.0,1035.0,0.09671179883945842,195277012238.0,46872,CZK
M2C,Mark2 Corporation Investment SE,PSECZ,Commercial Services,Miscellaneous Commercial Services,280.0,280.0,280.0,280.0,0.7194244604316548,,12,CZK
MMCTE,Mmcite a.s.,PSECZ,Consumer Durables,Home Furnishings,176.0,176.0,176.0,176.0,0.0,528000000.0,350,CZK
MOL,MOL Hungarian Oil & Gas Plc Class A,PSECZ,Energy Minerals,Oil Refining/Marketing,174.7,174.7,174.7,174.7,-0.9075439591605348,108161645353.71257,2,CZK
MONET,MONETA Money Bank AS,PSECZ,Finance,Regional Banks,175.4,180.8,175.2,178.0,2.652825836216836,88607396881.0,975344,CZK
NOKIA,Nokia Oyj,PSECZ,Electronic Technology,Telecommunications Equipment,107.0,108.9,107.0,108.1,1.0658189977561712,597424251413.8463,3890,CZK
OMV,OMV AG,PSECZ,Energy Minerals,Integrated Oil,1101.0,1103.5,1090.0,1090.0,-0.4111466423024212,359081607071.23663,162,CZK
OTP,OTP Bank Nyrt,PSECZ,Finance,Major Banks,1789.0,1789.0,1789.0,1789.0,0.33651149747616377,495023811699.9334,3,CZK
PEN,Photon Energy NV,PSECZ,Utilities,Electric Utilities,15.0,15.1,14.64,15.1,0.0,870312747.0,24206,CZK
PINK,Pilulka Lekarny a.s.,PSECZ,Retail Trade,Drugstore Chains,185.0,185.0,183.0,183.0,-1.0810810810810811,494061385.0,585,CZK
PKN,ORLEN Spolka Akcyjna,PSECZ,Energy Minerals,Oil Refining/Marketing,510.0,510.0,506.0,506.0,-0.2562586240883129,590630135070.1003,143,CZK
PKO,PKO Bank Polski SA,PSECZ,Finance,Major Banks,418.6,419.4,418.6,419.4,-0.1428571428571483,523604607846.442,20,CZK
PRAB,Prabos plus a.s.,PSECZ,Consumer Non-Durables,Apparel/Footwear,256.0,256.0,256.0,256.0,4.918032786885246,,2,CZK
PRIUA,Primoco UAV SE,PSECZ,Electronic Technology,Aerospace & Defense,905.0,905.0,900.0,905.0,0.0,3931962550.0,4777,CZK
PVT,"RMS Mezzanine, a.s.",PSECZ,Technology Services,Information Technology Services,1.4,1.4,1.4,1.4,0.0,1491099608.0,183,CZK
RBI,Raiffeisen Bank International AG,PSECZ,Finance,Major Banks,723.2,723.8,723.2,723.8,-0.6315211422295474,237389070509.2092,31,CZK
RWE,RWE AG,PSECZ,Utilities,Electric Utilities,993.7,993.7,993.7,993.7,0.8320649416539874,734965918998.1252,1,CZK
SABFG,SAB Finance as,PSECZ,Finance,Investment Banks/Brokers,1060.0,1060.0,1060.0,1060.0,0.0,2731959305.0,60,CZK
SHELL,Shell Plc,PSECZ,Energy Minerals,Integrated Oil,763.0,779.7,760.0,760.0,-2.564102564102564,4500837642473.587,64,CZK
SKAB,Skanska AB Class B,PSECZ,Industrial Services,Engineering & Construction,583.2,583.2,583.2,583.2,9.418386491557232,241297156561.1698,173,CZK
TABAK,Philip Morris CR as,PSECZ,Consumer Non-Durables,Tobacco,17980.0,18000.0,17940.0,17940.0,-0.11135857461024498,34370015326.0,405,CZK
TMR,Tatry mountain resorts as,PSECZ,Consumer Services,Movies/Entertainment,515.0,515.0,500.0,500.0,-2.912621359223301,5717522873.897361,892,CZK
TOMA,"TOMA, a.s.",PSECZ,Utilities,Electric Utilities,1360.0,1370.0,1360.0,1370.0,0.0,1825204383.0,201,CZK
ULVR,Unilever PLC,PSECZ,Consumer Non-Durables,Household/Personal Care,1150.0,1150.0,1150.0,1150.0,-14.814814814814813,3041651437012.993,50,CZK
UQA,UNIQA Insurance Group AG,PSECZ,Finance,Multi-Line Insurance,322.0,322.0,322.0,322.0,2.8753993610223643,99428759478.11765,4,CZK
VIG,Vienna Insurance Group AG,PSECZ,Finance,Multi-Line Insurance,1170.0,1172.0,1154.0,1154.0,-1.5358361774744027,149856629753.8442,441,CZK
VOE,voestalpine AG,PSECZ,Non-Energy Minerals,Steel,818.6,818.6,818.6,818.6,3.88324873096447,146128570081.2622,30,CZK
VOLVB,Volvo AB Class B,PSECZ,Producer Manufacturing,Trucks/Construction/Farm Machinery,700.0,700.0,700.0,700.0,-2.7777777777777777,1201616566024.394,14,CZK
VOW,Volkswagen AG Pref,PSECZ,Consumer Durables,Motor Vehicles,2263.5,2263.5,2250.0,2250.0,-1.3157894736842104,1124168915556.4258,113,CZK
WIE,Wienerberger AG,PSECZ,Non-Energy Minerals,Construction Materials,666.0,666.0,665.2,665.2,-1.4810426540284358,73454313749.36572,30,CZK
WPS,W.A.G. Payment Solutions Plc,PSECZ,Commercial Services,Miscellaneous Commercial Services,26.6,26.6,26.6,26.6,2.307692307692313,17676332811.11603,687,CZK
