symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
2INVE,Amundi IBEX 35 Doble Inverso Diario (-2x) UCITS ETF -Acc-,BME,Miscellaneous,Investment Trusts/Mutual Funds,0.4767,0.4788,0.4691,0.4775,-0.08369951872776972,,2603140,EUR
480S,Soluciones Cuatroochenta SA,BME,Technology Services,Data Processing Services,16.8,16.8,16.6,16.6,0.0,45265660.0,261,EUR
A3M,Atresmedia Corporacion de Medios de Comunicacion SA,BME,Consumer Services,Broadcasting,5.35,5.43,5.35,5.36,0.1869158878504799,1204704531.0,185961,EUR
ACS,"ACS, Actividades de Construccion y Servicios SA",BME,Industrial Services,Engineering & Construction,72.6,72.65,70.25,70.25,-2.5658807212205192,18789706707.0,320121,EUR
ACX,Acerinox SA,BME,Non-Energy Minerals,Steel,11.86,11.86,11.67,11.67,-0.6808510638297879,2802239098.0,604026,EUR
ADX,Audax Renovables SA,BME,Utilities,Electric Utilities,1.314,1.322,1.256,1.302,-0.9132420091324209,595808058.0,1124394,EUR
ADZ,"Adolfo Dominguez, S.A.",BME,Consumer Non-Durables,Apparel/Footwear,5.1,5.1,4.98,5.05,-0.9803921568627416,47014515.0,4988,EUR
AEDAS,AEDAS Homes SA,BME,Finance,Real Estate Development,21.25,21.35,21.2,21.25,-0.23474178403756202,876738842.0,21324,EUR
AENA,Aena SME SA,BME,Transportation,Other Transportation,23.01,23.14,22.89,23.08,0.5226480836236822,34439998627.0,1286646,EUR
AGIL,Agile Content SA,BME,Technology Services,Internet Software/Services,2.0,2.0,1.87,1.87,-6.499999999999995,46106796.0,6500,EUR
AI,Airtificial Intelligence Structures SA,BME,Producer Manufacturing,Industrial Machinery,0.1002,0.1012,0.1,0.1006,0.0,156517606.0,874900,EUR
AIR,Airbus SE,BME,Electronic Technology,Aerospace & Defense,204.45,206.7,201.8,203.65,0.8917513004706522,160912523204.0,2049,EUR
ALC,Altia Consultores S.A.,BME,Technology Services,Information Technology Services,6.4,6.4,6.4,6.4,0.0,440138581.0,72,EUR
ALM,Almirall SA,BME,Health Technology,Pharmaceuticals: Major,12.1,12.1,11.84,12.02,-0.4966887417218584,2593518068.0,156654,EUR
ALNT,Alantra Partners SA,BME,Finance,Investment Banks/Brokers,8.36,8.44,8.3,8.4,0.23866348448686842,321759507.0,23893,EUR
ALQ,Alquiber Quality SA,BME,Finance,Finance/Rental/Leasing,12.5,12.5,12.5,12.5,0.0,66804534.00000001,84,EUR
AMEN,Aeternal Mentis SA,BME,Finance,Finance/Rental/Leasing,8.15,8.55,8.15,8.55,0.0,112523933.7,5,EUR
AMIBX,Amundi IBEX 35 UCITS ETF,BME,Miscellaneous,Investment Trusts/Mutual Funds,393.35,393.35,391.35,391.35,0.15355086372361426,,20,EUR
AMP,"Amper, S.A.",BME,Industrial Services,Engineering & Construction,0.131,0.132,0.13,0.1314,0.6125574272588018,296088737.0,3177358,EUR
AMS,Amadeus IT Group SA Class A,BME,Technology Services,Packaged Software,68.28,68.36,67.74,67.96,0.6218537163162384,29423883433.0,587533,EUR
ANA,Acciona SA,BME,Industrial Services,Engineering & Construction,182.7,185.9,182.0,185.9,2.142857142857146,9945744164.0,57523,EUR
ANE,Corporacion Acciona Energias Renovables SA,BME,Utilities,Alternative Power Generation,24.32,24.42,23.82,24.3,1.0815307820299567,7807274951.0,405636,EUR
APAM,Aperam S.A.,BME,Non-Energy Minerals,Steel,32.04,32.36,31.76,31.76,0.0,2263147468.0,375,EUR
APG,Axon Partners Group SA,BME,Finance,Investment Managers,13.8,14.0,13.8,14.0,0.0,72155036.0,128,EUR
