symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
AAB,Aalborg Boldspilklub A/S,OMXCOP,Consumer Services,Movies/Entertainment,30.4,30.6,30.4,30.6,0.0,82417185.0,103,DKK
AGAT,Agat Ejendomme A/S,OMXCOP,Finance,Real Estate Development,1.18,1.21,1.17,1.19,-0.8333333333333341,141340005.0,48137,DKK
AGF_B,AGF A/S Class B,OMXCOP,Consumer Durables,Recreational Products,0.894,0.894,0.888,0.89,0.22522522522522545,479520025.0,19242,DKK
AGILC,Agillic A/S,OMXCOP,Technology Services,Packaged Software,6.95,6.95,6.95,6.95,-1.4184397163120517,76880933.0,1051,DKK
ALEFRM,Alefarm Brewing A/S,OMXCOP,Consumer Non-Durables,Beverages: Alcoholic,1.66,1.66,1.53,1.53,-4.3750000000000036,22640000.0,5106,DKK
ALK_B,ALK-abello A/S Class B,OMXCOP,Health Technology,Biotechnology,215.0,215.6,211.0,212.6,-1.1162790697674445,47861374533.0,79428,DKK
ALMB,Alm. Brand A/S,OMXCOP,Finance,Multi-Line Insurance,18.17,18.28,18.07,18.19,-0.10982976386600535,26451826442.0,1407587,DKK
AMBU_B,Ambu A/S Class B,OMXCOP,Health Technology,Medical Specialties,105.7,106.2,104.3,105.8,0.4748338081671415,27937978292.0,303083,DKK
AOJ_B,Brdr A & O Johansen A/S Class B,OMXCOP,Distribution Services,Wholesale Distributors,104.8,105.0,102.8,103.8,-0.9541984732824428,2925765495.0,23438,DKK
AQP,Aquaporin A/S,OMXCOP,Producer Manufacturing,Industrial Machinery,6.22,6.22,5.46,5.8,-6.451612903225811,144218395.0,5351,DKK
ARAOPT,Investeringsselskabet Artha Optimum A/S Bearer and/or registered,OMXCOP,Finance,Financial Conglomerates,6381.0,6381.0,6381.0,6381.0,1.4628716807123547,,11,DKK
ASTK,Asetek A/S,OMXCOP,Industrial Services,Engineering & Construction,1.156,1.156,1.1,1.1,-4.347826086956506,364530620.0,524088,DKK
ATLA_DKK,Atlantic Petroleum P/F,OMXCOP,Energy Minerals,Integrated Oil,2.4,2.4,2.4,2.4,-2.040816326530623,9059757.0,100,DKK
BACTIQ,BactiQuant A/S,OMXCOP,Electronic Technology,Aerospace & Defense,2.235,2.385,2.235,2.34,4.932735426008963,65499236.99999999,120597,DKK
BAIKDKOAKA,BankInvest - Korte Danske Obligationer Akkumulerende KL Accum A DKK,OMXCOP,Miscellaneous,Investment Trusts/Mutual Funds,131.15,131.15,131.15,131.15,0.03813882532418869,,13610,DKK
BAVA,Bavarian Nordic A/S,OMXCOP,Health Technology,Pharmaceuticals: Major,238.1,243.7,238.1,242.1,1.2970711297071107,18911850533.0,1041266,DKK
BETCO_DKK,Better Collective A/S,OMXCOP,Commercial Services,Miscellaneous Commercial Services,84.7,85.55,83.4,84.35,-0.4132231404958778,5243453651.124759,5866,DKK
BIF,Brondbyernes IF Fodbold A/S Class B,OMXCOP,Consumer Services,Movies/Entertainment,0.315,0.329,0.312,0.322,2.875399361022367,357028303.0,1555541,DKK
BIOPOR,BioPorto A/S,OMXCOP,Health Technology,Medical Specialties,1.28,1.292,1.278,1.29,0.7812500000000007,581961549.0,225627,DKK
BO,Bang & Olufsen A/S,OMXCOP,Consumer Durables,Electronics/Appliances,13.0,13.54,12.9,13.08,-0.9090909090909032,1901816116.0,268167,DKK
BOOZT_DKK,Boozt AB,OMXCOP,Retail Trade,Catalog/Specialty Distribution,69.9,70.45,69.05,70.45,1.586157173756321,4352655755.382637,82346,DKK
BRAINP,Brain+ A/S,OMXCOP,Technology Services,Packaged Software,0.013,0.013,0.0124,0.013,1.5624999999999905,14501618.0,1301656,DKK
CARL_A,Carlsberg AS Class A,OMXCOP,Consumer Non-Durables,Beverages: Alcoholic,952.0,958.0,946.0,950.0,-0.21008403361344538,108824477699.0,160,DKK
CARL_B,Carlsberg AS Class B,OMXCOP,Consumer Non-Durables,Beverages: Alcoholic,792.4,797.0,786.0,796.4,0.6063668519454213,108824477699.0,133586,DKK
CBRAIN,cBrain A/S,OMXCOP,Technology Services,Packaged Software,197.0,197.0,192.0,195.8,-0.10204081632652481,3833533348.0,5895,DKK
CEMAT,Cemat A/S,OMXCOP,Finance,Real Estate Development,0.964,0.97,0.946,0.968,-0.41152263374485637,242854488.0,163781,DKK
CHEMM,ChemoMetec A/S,OMXCOP,Health Technology,Medical Specialties,690.0,694.0,671.5,692.0,0.5083514887436456,11981608223.0,24307,DKK
COLO_B,Coloplast A/S Class B,OMXCOP,Health Technology,Medical Specialties,593.6,595.6,588.6,595.6,0.5741303613644001,133245391306.0,129942,DKK
COLUM,Columbus A/S,OMXCOP,Commercial Services,Miscellaneous Commercial Services,9.94,10.0,9.94,9.98,0.4024144869215385,1285005974.0,14534,DKK
CPHCAP_PREF32,Copenhagen Capital A/S Pref Bearer and/or registered Shs A,OMXCOP,Finance,Real Estate Development,8.35,8.4,8.35,8.4,1.2048192771084292,321080438.0,520,DKK
CPHCAP_ST,Copenhagen Capital A/S,OMXCOP,Finance,Real Estate Development,6.55,6.55,6.55,6.55,0.0,321080438.0,13,DKK
CWIGAEKLUDL,C WorldWide - Globale Aktier Etik KL Udl ETF,OMXCOP,Miscellaneous,Investment Trusts/Mutual Funds,102.7,102.7,102.7,102.7,1.0826771653543392,,346,DKK
DAB,Danske Andelskassers Bank A/S,OMXCOP,Finance,Regional Banks,14.95,15.05,14.75,14.95,-0.3333333333333381,3324331284.0,5719,DKK
DAC,Danish Aerospace Company AS,OMXCOP,Electronic Technology,Aerospace & Defense,10.3,10.6,10.1,10.1,-0.9803921568627416,112025292.0,76263,DKK
DANSKE,Danske Bank A/S,OMXCOP,Finance,Major Banks,273.4,275.0,272.3,273.9,0.4768892149669679,221814827952.0,645204,DKK
DANT,Dantax A/S,OMXCOP,Distribution Services,Wholesale Distributors,468.0,486.0,468.0,480.0,3.004291845493562,137852119.0,382,DKK
DATA,Dataproces Group A/S,OMXCOP,Technology Services,Information Technology Services,6.66,6.82,6.6,6.7,-1.1799410029498536,232689123.0,76297,DKK
DEMANT,Demant A/S,OMXCOP,Health Technology,Medical Specialties,240.0,241.2,238.4,240.8,0.4170141784820684,49642215781.0,216696,DKK
DFDS,DFDS A/S,OMXCOP,Transportation,Marine Shipping,93.95,93.95,91.05,91.25,-2.770378263185929,5157963609.0,85358,DKK
DJUR,Djurslands Bank A/S,OMXCOP,Finance,Regional Banks,788.0,792.0,784.0,784.0,0.2557544757033248,2103580045.0000002,254,DKK
DKIDK,Danske Invest - Danmark klasse DKK d,OMXCOP,Miscellaneous,Investment Trusts/Mutual Funds,135.9,135.9,135.05,135.5,-0.4042631385520113,,4013,DKK
DKIEAUHU,Danske Invest - Europa Hojt Udbytte klasse DKK d,OMXCOP,Miscellaneous,Investment Trusts/Mutual Funds,156.75,156.9,156.05,156.1,0.12828736369466878,,26065,DKK
DKIEIGO,Danske Invest - Euro Investment Grade-Obligationer klasse DKK d h ETF,OMXCOP,Miscellaneous,Investment Trusts/Mutual Funds,102.5,102.75,102.45,102.45,-0.19483682415976897,,4301,DKK
