symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
ABIO,ARTGEN,RUS,Health Services,Medical/Nursing Services,64.02,65.08,63.58,64.3,0.21820448877805576,5944132136.16,53160,RUB
ABRD,Abrau-Durso,RUS,Consumer Non-Durables,Beverages: Alcoholic,151.6,153.2,150.0,151.6,0.7978723404255244,16376923196.800001,11770,RUB
AFKS,AFK Sistema,RUS,Communications,Wireless Telecommunications,12.3,12.638,12.193,12.329,0.04868944250588515,118916950000.0,78939800,RUB
AFLT,Aeroflot,RUS,Transportation,Airlines,50.12,51.34,49.64,50.6,0.998003992015968,199186137871.5,17557860,RUB
AFMC,Agrofirma Mtsenskaya,RUS,Process Industries,Agricultural Commodities/Milling,3958.0,3966.0,3938.0,3966.0,-0.8500000000000001,7310697273.233166,3,RUB
AKAI,AKAI ETF Anti-inflationary,RUS,,,99.73,101.18,98.46,101.18,1.4844533600802445,,657,RUB
AKBC,AKBC ETF blue chip Index,RUS,,,89.0,90.8,88.0,90.4,1.5730337078651748,,14829,RUB
AKCN,AKCN ETF consumer sector index,RUS,,,85.9,88.2,85.8,87.2,0.5767012687427913,,368,RUB
AKFB,AKFB ETF floating rate bonds,RUS,,,123.04,123.21,122.94,123.14,0.08127438231468978,,4930436,RUB
AKFN,AKFN ETF finance index,RUS,,,88.6,90.1,87.8,89.5,1.473922902494328,,341,RUB
AKGD,AKGD ETF Gold,RUS,Miscellaneous,Investment Trusts/Mutual Funds,230.69,230.69,226.03,229.1,-1.0495400164125628,,4817540,RUB
AKGP,AKGP ETF Currency bonds,RUS,,,1.065,1.1,1.058,1.088,2.8355387523629516,,920266,RUB
AKHT,AKHT ETF Alfa IT Leaders,RUS,,,91.0,92.6,90.8,91.88,0.1307759372275396,,41357,RUB
AKIE,ETF Alfa Managed Income Shares,RUS,,,922.0,935.2,916.0,929.42,0.5637246946040319,,793,RUB
AKMB,ETF AKMB Alfa Managed Bonds,RUS,Miscellaneous,Investment Trusts/Mutual Funds,1.7838,1.7892,1.7822,1.7878,0.23547880690737727,,197179707,RUB
AKME,ETF AKME Alfa Managed Equties,RUS,Miscellaneous,Investment Trusts/Mutual Funds,176.94,180.06,175.6,177.8,0.8508224617129893,,219806,RUB
AKMM,AKMM ETF Money market,RUS,,,156.47,156.49,156.45,156.49,0.05754475703325026,,35375081,RUB
AKMP,AKMP ETF Money market Plus,RUS,,,1.1252,1.1252,1.125,1.1252,0.017777777777775818,,49371075,RUB
AKPP,AKPP ETF Platinum-Palladium,RUS,,,130.8,135.89,128.51,135.34,3.3919022154316254,,80604,RUB
AKQU,AKQU ETF Alfa Capital Quant,RUS,,,68.37,69.14,67.57,68.75,0.9248385202583609,,11318,RUB
AKRN,Acron,RUS,Process Industries,Chemicals: Agricultural,17650.0,17826.0,17208.0,17720.0,0.9571558796718322,645161602112.0,388,RUB
AKUP,AKUP ETF Smart portfolio,RUS,,,12.05,12.19,11.99,12.08,0.33222591362127013,,65274,RUB
ALRS,ALROSA,RUS,Non-Energy Minerals,Other Metals/Minerals,38.65,39.59,38.35,38.81,0.3620377553659182,284803220912.10004,9771580,RUB
AMFL,ATON Floaters,RUS,,,121.7,121.8,121.6,121.8,0.08216926869350395,,35878,RUB
AMGB,ATON Long OFZ,RUS,,,119.9,121.3,119.9,120.7,0.9197324414715791,,1184,RUB
AMGL,AMGL ETF Cumulative in Gold,RUS,,,122.0,125.3,120.0,125.3,1.375404530744339,,619391,RUB
AMNR,AMNR ETF Cumulative in rubles,RUS,,,137.852,137.858,137.795,137.857,0.04789862908317851,,785255,RUB
AMNY,AMNY ETF Cumulative in yuan,RUS,,,1174.41,1180.0,1167.41,1170.26,0.13005458870236167,,67863,RUB
AMRE,ATON Russian Equities + ETF,RUS,Miscellaneous,Investment Trusts/Mutual Funds,103.4,105.9,103.1,105.4,1.4436958614051971,,14860,RUB
AMRH,AMRH ETF ATON Hyield Rus Bonds,RUS,Miscellaneous,Investment Trusts/Mutual Funds,146.8,146.8,145.8,146.7,0.47945205479451275,,155,RUB
APRI,APRI,RUS,,,12.312,12.312,12.208,12.274,-0.24382314694409243,13724364125.968,85830,RUB
APTK,"Apteki 36,6",RUS,Retail Trade,Drugstore Chains,8.128,8.216,8.03,8.132,0.12312238364934483,61974383534.771996,307990,RUB
AQUA,INARCTIKA,RUS,Process Industries,Agricultural Commodities/Milling,502.5,510.0,493.0,504.5,1.5090543259557343,43674694553.0,135679,RUB
ARSA,UK Arsagera,RUS,Finance,Investment Managers,9.34,9.34,9.12,9.16,-0.5428881650380099,1140356089.65,22300,RUB
ASSB,Astrakhan Energo Sbyt,RUS,Utilities,Electric Utilities,3.045,3.12,2.955,2.99,-0.6644518272425108,2329439234.7799997,447000,RUB
ASTR,Astra Group,RUS,,,280.0,287.9,275.7,282.4,0.677361853832434,58905000000.0,1109140,RUB
AVAN,"AKB ""AVANGARD""",RUS,Finance,Regional Banks,656.0,668.0,656.0,666.0,1.524390243902439,52939200000.0,625,RUB
BANE,Bashneft ANK,RUS,Energy Minerals,Integrated Oil,1412.0,1450.0,1400.0,1433.5,2.101139601139601,233581405032.0,25234,RUB
BANEP,Bashneft ANK,RUS,Energy Minerals,Integrated Oil,870.0,890.0,867.0,884.0,1.2600229095074456,233581405032.0,51287,RUB
BCSB,BCSB ETF High Yield Bonds,RUS,Miscellaneous,Investment Trusts/Mutual Funds,15.03,15.082,14.938,15.0,-0.33222591362126713,,249118,RUB
BCSD,BCSD ETF Money Market,RUS,,,12.649,12.652,12.647,12.648,0.007907013520988737,,43317066,RUB
BCSE,BCSE ETF Currency Bonds,RUS,,,928.0,939.0,922.0,939.0,2.9605263157894735,,1644,RUB
BCSG,BCSG ETF Gold,RUS,,,11.95,12.15,11.9,12.04,-1.8744906275468658,,302018,RUB
BCSR,BCSR ETF MX,RUS,,,10.3,10.52,10.29,10.45,1.5549076773566584,,269548,RUB
BCSW,BCSW ETF All Weather Portfolio,RUS,,,10.24,10.34,10.24,10.33,0.9775171065493612,,31946,RUB
BELU,NovaBev Group,RUS,Consumer Non-Durables,Beverages: Alcoholic,371.0,373.2,367.6,371.6,0.10775862068966437,46919680000.0,279316,RUB
BESK,BPGC,RUS,,,9.4,9.42,9.4,9.4,0.0,,551,RUB
BESKP,BPGC pref,RUS,Utilities,Electric Utilities,21.9,23.25,21.9,23.25,1.1309264897781712,,1197,RUB
BGES,"AO ""Boguchanskaya GES"" ORD",RUS,Utilities,Electric Utilities,6.658,6.66,6.62,6.66,-0.7747318235995173,5898865728.595278,190,RUB
BGESP,"AO ""Boguchanskaya GES"" PFR",RUS,Utilities,Electric Utilities,5.598,5.598,5.0,5.0,-13.763366678164884,5898865728.595278,17891,RUB
BISVP,BashInformSvyaz,RUS,Communications,Major Telecommunications,9.15,9.17,9.05,9.14,1.2181616832779758,326572388.09999996,10100,RUB
BLNG,Belon,RUS,Energy Minerals,Coal,10.79,10.88,10.65,10.73,0.0,12339500000.0,80600,RUB
BMKK,BELORETSK METAL PLANT ORD,RUS,Non-Energy Minerals,Steel,324.5,326.0,320.5,320.5,-5.735294117647059,,304,RUB
BMSM,"JSC ""Bamstroymechanizatsia""",RUS,Industrial Services,Engineering & Construction,6110.0,6110.0,6100.0,6100.0,-1.6129032258064515,216661101.83639398,3,RUB
BNDA,DOHOD Bonds Dec 2025/2028/2031,RUS,,,1102.8,1103.0,1102.8,1103.0,0.5102970657918634,,43,RUB
BNDB,DOHOD Bonds Dec 2026/2029/2032,RUS,,,1150.0,1150.0,1150.0,1150.0,-0.06083253671678504,,16,RUB
BNDC,DOHOD Bonds Dec 2027/2030/2033,RUS,,,1142.4,1142.4,1136.1,1141.5,0.1579362990260555,,16,RUB
BOGN,"AO ""BOGDANOVICH OGNEUPOR"" ORD",RUS,Non-Energy Minerals,Construction Materials,28.0,28.0,28.0,28.0,0.053600142933716524,,1,RUB
BOND,BOND ETF DOHOD Cbonds corp. RU,RUS,,,1489.6,1492.8,1484.0,1485.0,-0.29542097488922325,,1443,RUB
BRSZP,BSZ,RUS,Non-Energy Minerals,Other Metals/Minerals,1170.0,1170.0,1170.0,1170.0,0.4291845493562232,,15,RUB
BRZL,Buryatzoloto,RUS,Non-Energy Minerals,Precious Metals,1480.0,1490.0,1444.0,1456.0,-0.9523809523809524,10330086900.0,892,RUB
BSPB,BSP,RUS,Finance,Regional Banks,328.26,338.15,325.12,335.91,2.333587204874341,147235407018.25,404310,RUB
BSPBP,BSP,RUS,Finance,Regional Banks,52.4,53.75,51.8,52.25,0.6743737957610818,147235407018.25,73700,RUB
CARM,STG,RUS,,,1.822,1.859,1.7725,1.845,1.3179571663920935,4012264478.121,3148700,RUB
CASH,CASH ETF Daily rate,RUS,,,12.0557,12.0569,12.0557,12.0569,0.04231733019134526,,10557744,RUB
CBOM,MKB,RUS,Finance,Regional Banks,6.52,6.668,6.486,6.6,1.211470633338441,217995138036.186,3247500,RUB
CENH,"AO ""Centerenergyholding"" ORD",RUS,Utilities,Electric Utilities,0.43,0.43,0.4016,0.4198,-0.023815194093829244,33821730264.726925,10804,RUB
CENHP,"PAO ""Centerenergyholding"" PFR",RUS,Utilities,Electric Utilities,0.5812,0.5812,0.5259,0.5259,-12.335389231538581,33821730264.726925,2450,RUB
CHGZ,RN-Western Siberia,RUS,Energy Minerals,Oil & Gas Production,75.6,75.8,74.4,75.8,0.7978723404255244,2013210784.0,1730,RUB
CHKZ,CKPZ,RUS,Producer Manufacturing,Auto Parts: OEM,16650.0,16700.0,16000.0,16050.0,-2.43161094224924,9873553200.0,23,RUB
CHMF,Severstal,RUS,Non-Energy Minerals,Steel,850.8,872.6,845.6,855.4,0.5406676069581597,712731035928.0,677286,RUB
CHMK,CMK,RUS,Non-Energy Minerals,Steel,4115.0,4195.0,4115.0,4160.0,0.24096385542168677,13122154750.0,43,RUB
CNRU,IPJSC Cian,RUS,,,606.8,643.8,588.0,610.6,0.6262359920896619,,1672100,RUB
CNTL,Centrlnyi Telegraf,RUS,Communications,Specialty Telecommunications,9.48,9.5,9.32,9.48,0.42372881355933184,1899842700.0,68100,RUB
CNTLP,Centrlnyi Telegraf,RUS,Communications,Specialty Telecommunications,5.94,6.0,5.88,5.96,-0.33444816053512477,1899842700.0,102600,RUB
DATA,Arenadata Group,RUS,,,89.26,89.84,88.54,89.44,0.22411474675033938,,186406,RUB
DELI,Carsharing Russia,RUS,,,114.8,117.0,112.15,114.6,-0.13071895424837096,20178679290.75,178675,RUB
DGBZ,Dorogobuzh,RUS,Process Industries,Chemicals: Agricultural,69.61,72.87,69.6,72.87,0.941958720044337,,631,RUB
DGIT,"AO ""Dorogi i Mosty"" ORD",RUS,,,97.5,98.5,97.05,97.05,-0.43090181594336896,,895,RUB
DGTL,"AO ""TSIFROVYE PRIVYCHKI""",RUS,,,29.895,29.895,27.0,27.94,-2.085158577185908,,10066,RUB
DIAS,Diasoft,RUS,,,1995.0,2010.0,1945.0,1984.0,0.4556962025316456,20737500000.0,7580,RUB
DIOD,Zavod DIOD,RUS,Health Technology,Pharmaceuticals: Other,8.98,9.39,8.91,9.05,-2.1621621621621547,846375000.0,90800,RUB
DIVD,ETF DIVD DOHOD DIV,RUS,Miscellaneous,Investment Trusts/Mutual Funds,1045.0,1062.0,1045.0,1054.4,0.8995215311004872,,2189,RUB
DVEC,DEC,RUS,Utilities,Electric Utilities,1.606,1.628,1.605,1.623,1.1214953271028048,27643088025.42,129000,RUB
DZRD,DZRD,RUS,Consumer Durables,Home Furnishings,4935.0,4935.0,4865.0,4900.0,0.9268795056642637,1990043565.0,31,RUB
DZRDP,DZRD pref.,RUS,Consumer Durables,Home Furnishings,2850.0,2850.0,2850.0,2850.0,1.0638297872340425,1990043565.0,2,RUB
EELT,European Eltech,RUS,Electronic Technology,Electronic Components,8.4,8.48,8.3,8.42,0.238095238095233,4635229200.0,51830,RUB
ELFV,El5-Ener,RUS,Utilities,Electric Utilities,0.4428,0.4558,0.4358,0.4526,2.8636363636363638,15563635282.8,35551000,RUB
ELMT,ELEMENT,RUS,,,0.1078,0.10875,0.10635,0.10735,-1.46856356126664,51176597478.408005,60766000,RUB
EMGLP,"AO ""Elektromagistral"" PFR",RUS,,,95.05,95.05,95.05,95.05,-17.347826086956523,,11,RUB
ENPG,EN+ GROUP IPJSC ORD SHS,RUS,Non-Energy Minerals,Aluminum,369.0,381.7,365.75,375.9,1.8975332068311197,235671357734.4,391446,RUB
EQMX,EQMX ETF MOEX Fund,RUS,Miscellaneous,Investment Trusts/Mutual Funds,127.2,128.8,126.8,127.75,1.5097338100913833,,1232714,RUB
ESGE,ESGE ETF Russian Equity ESG,RUS,,,76.88,77.88,76.7,77.09,1.340870251084541,,3118,RUB
ESGR,ESGR ETF RSHB-MOEX-RSPP VecTR,RUS,Miscellaneous,Investment Trusts/Mutual Funds,1089.5,1089.5,1082.5,1088.5,0.8804448563484708,,7,RUB
ETLN,Etalon Group,RUS,,,38.22,38.94,37.84,38.32,0.8421052631578954,,415452,RUB
EUTR,EvroTrans,RUS,,,121.45,123.25,120.6,122.3,0.6584362139917672,19336562797.5,976456,RUB
FEES,FGC ROSSETI,RUS,Utilities,Electric Utilities,0.06098,0.062,0.06062,0.0611,0.1639344262295129,128921066190.097,1285750000,RUB
FESH,DVMP,RUS,Transportation,Marine Shipping,46.4,48.0,45.54,47.41,2.1767241379310303,136938000000.0,1160370,RUB
FINC,FINSTAR Money market +,RUS,,,1250.9,1250.9,1250.9,1250.9,0.28058361391694725,,4,RUB
FIXR,Fix Price PJSC,RUS,,,0.6052,0.6052,0.5851,0.6001,1.009930988049151,,60977000,RUB
FLOT,Sovcomflot,RUS,Transportation,Marine Shipping,71.7,74.1,71.2,73.27,2.104236343366765,170429562335.76,2196050,RUB
FMBR,FMBR ETF bonds with payment,RUS,,,10.038,10.059,9.989,10.052,0.08961465697501088,,84581,RUB
FMMM,FMMM ETF Money market,RUS,,,12.192,12.193,12.188,12.19,0.04103405826835457,,10971018,RUB
FXBC,FinEx BLOCKCHAIN UCITS ETF,RUS,Miscellaneous,Investment Trusts/Mutual Funds,33.0,39.0,33.0,39.0,25.806451612903224,,31,RUB
FXCN,FINEX CHINA UCITS ETF,RUS,Miscellaneous,Investment Trusts/Mutual Funds,526.0,542.0,512.0,514.0,-2.0952380952380953,,84,RUB
FXDE,FINEX GERMANY UCITS ETF,RUS,Miscellaneous,Investment Trusts/Mutual Funds,5.996,5.997,4.925,5.009,1.9955202606393965,,9212,RUB
FXDM,FinEx Ex-USA ETF USD,RUS,Miscellaneous,Investment Trusts/Mutual Funds,15.0,15.0,15.0,15.0,0.0,,4144,RUB
FXEM,FINEX EM EX-CHINDIA UCITS ETF,RUS,Miscellaneous,Investment Trusts/Mutual Funds,13.0,13.0,13.0,13.0,-31.57894736842105,,57,RUB
FXES,FinEx ESports UCITS ETF,RUS,Miscellaneous,Investment Trusts/Mutual Funds,17.0,17.0,17.0,17.0,0.0,,560,RUB
FXFA,FinEx Fallen Angels UCITS ETF,RUS,Miscellaneous,Investment Trusts/Mutual Funds,10.0,10.0,10.0,10.0,0.0,,21,RUB
FXGD,FinEx Gold ETF USD,RUS,Miscellaneous,Investment Trusts/Mutual Funds,28.0,29.0,28.0,29.0,3.571428571428571,,13775,RUB
FXIP,FinEx RUB US TIPS UCITS ETF,RUS,Miscellaneous,Investment Trusts/Mutual Funds,7.0,7.0,7.0,7.0,0.0,,1,RUB
FXIT,FinEx USA IT UCITS ETF,RUS,Miscellaneous,Investment Trusts/Mutual Funds,3601.0,3601.0,3501.0,3501.0,-4.344262295081967,,145,RUB
FXKZ,FinEx FFIN KZT UCITS ETF,RUS,Miscellaneous,Investment Trusts/Mutual Funds,89.0,89.0,89.0,89.0,0.0,,33,RUB
FXMM,FinEx Cash Equiv UCITS ETF RUB,RUS,Miscellaneous,Investment Trusts/Mutual Funds,297.0,298.0,270.0,275.0,-3.508771929824561,,20,RUB
FXRD,FinEx Fallen Ang RUB UCITS ETF,RUS,Miscellaneous,Investment Trusts/Mutual Funds,8.0,8.0,7.0,7.0,0.0,,135,RUB
FXRE,FinEx US REIT UCITS ETF USD,RUS,Miscellaneous,Investment Trusts/Mutual Funds,11.0,12.0,11.0,11.0,0.0,,563,RUB
FXRW,FinEx RUB GLOBAL EQUITY UC ETF,RUS,Miscellaneous,Investment Trusts/Mutual Funds,0.1049,0.1054,0.1048,0.1053,3.2352941176470704,,30094,RUB
FXTB,FinEx USD CASH EQUIVALENTS ETF,RUS,Miscellaneous,Investment Trusts/Mutual Funds,12.0,12.0,12.0,12.0,0.0,,744,RUB
FXTP,FinEx US TIPS UCITS ETF,RUS,Miscellaneous,Investment Trusts/Mutual Funds,11.0,11.0,11.0,11.0,10.0,,245,RUB
FXUS,FinEx USA UCITS ETF,RUS,Miscellaneous,Investment Trusts/Mutual Funds,15.66,16.894,15.642,15.7,0.25542784163473276,,5448,RUB
FXWO,FinEx USD GLOBAL EQUITY UC ETF,RUS,Miscellaneous,Investment Trusts/Mutual Funds,0.384,0.389,0.3805,0.3805,-0.911458333333334,,293128,RUB
GAZA,Gaz,RUS,Producer Manufacturing,Trucks/Construction/Farm Machinery,566.0,599.0,558.0,579.0,2.6595744680851063,11013018390.0,3730,RUB
GAZAP,Gaz (pref),RUS,Producer Manufacturing,Trucks/Construction/Farm Machinery,397.0,398.5,388.5,396.5,1.5364916773367476,11013018390.0,510,RUB
GAZP,Gazprom,RUS,Energy Minerals,Integrated Oil,115.31,117.46,114.35,116.0,0.729419937478294,2726241745564.0,42513820,RUB
GCHE,Cherkizovo Group,RUS,Process Industries,Agricultural Commodities/Milling,2989.0,3045.0,2971.0,3026.0,1.2040133779264213,126243905580.0,2151,RUB
GECO,GENETICO,RUS,,,23.51,23.97,22.76,23.56,0.5548442168160436,1944690000.0,299210,RUB
GEMA,IMCB PJSC,RUS,Health Technology,Biotechnology,106.4,107.6,106.1,107.0,0.18726591760299893,1594515456.0,2950,RUB
GEMC,IPJSC UMG,RUS,Health Services,Medical/Nursing Services,765.9,787.6,762.4,779.1,0.9327633113097611,69471000000.0,17938,RUB
GMKN,NorNickel GMK,RUS,Non-Energy Minerals,Other Metals/Minerals,118.5,123.3,117.9,121.6,2.6160337552742567,1811431254450.0,23386790,RUB
GOLD,GOLD ETF Gold Fund,RUS,Miscellaneous,Investment Trusts/Mutual Funds,2.516,2.5245,2.49,2.523,-0.7474429583005384,,55314309,RUB
GOOD,GOOD ETF DOHOD MM Strategies,RUS,,,1219.4,1219.4,1215.5,1219.3,0.06565449322937665,,325,RUB
GRNT,CityInnovativeTechnologies,RUS,Commercial Services,Miscellaneous Commercial Services,0.0995,0.1025,0.0961,0.1008,2.2312373225152204,219936492.0,2165837,RUB
GROD,ETF GROD DOHOD GROWTH IND,RUS,Miscellaneous,Investment Trusts/Mutual Funds,746.5,749.5,743.0,744.5,0.8124576844955992,,462,RUB
GSRB,GAZORASPREDELENIYE UFA ORD,RUS,Utilities,Gas Distributors,7500.0,7500.0,7500.0,7500.0,-6.25,,1,RUB
GTRK,GTM,RUS,Transportation,Trucking,154.9,159.9,153.6,157.7,2.005174644243205,9038243752.0,211990,RUB
GZAVP,"""Gazprom avtomatizatsiya"" PRF",RUS,Electronic Technology,Electronic Equipment/Instruments,2000.0,2000.0,2000.0,2000.0,2.564102564102564,3359620160.585102,1,RUB
GZES,GAZENERGOSERVIS,RUS,Industrial Services,Oilfield Services/Equipment,2890.0,2890.0,2890.0,2890.0,-0.5505849965588437,1379473805.5489306,17,RUB
HEAD,IPJSC Headhunter,RUS,,,2812.0,2843.0,2727.0,2802.0,-0.42643923240938164,132778359252.0,237283,RUB
HIMCP,Himprom,RUS,Process Industries,Chemicals: Specialty,17.32,18.0,17.26,17.74,1.3714285714285626,4018549535.0,13600,RUB
HNFG,HENDERSON,RUS,,,510.2,525.6,502.6,519.0,1.7248137985103904,20634755839.0,57153,RUB
HYDR,RusGidro,RUS,Utilities,Electric Utilities,0.383,0.3887,0.3774,0.3794,-1.0948905109489002,170622739431.7768,216869000,RUB
HYPR,"AO ""New Energy"" ORD",RUS,,,102.06,108.995,100.0,108.995,6.1967165197057525,,343,RUB
IGST,Izhstal 2ao,RUS,Non-Energy Minerals,Steel,4100.0,4100.0,4100.0,4100.0,-0.48543689320388345,4174468280.0,4,RUB
IGSTP,Izhstal,RUS,Non-Energy Minerals,Steel,3270.0,3270.0,3180.0,3230.0,-1.524390243902439,4174468280.0,88,RUB
INFL,INFL ETF Ingosstrakh Inflation,RUS,Miscellaneous,Investment Trusts/Mutual Funds,125.34,125.5,125.04,125.04,-0.7461501825686598,,327,RUB
INGO,INGO ETF Ingosstrakh Corpbonds,RUS,,,146.05,146.4,145.9,146.05,0.1028101439342054,,14548,RUB
IRAO,Inter RAO,RUS,Utilities,Electric Utilities,2.696,2.785,2.664,2.7515,2.305261200966733,280783800000.0,114816600,RUB
IRKT,Yakovlev-3,RUS,Electronic Technology,Aerospace & Defense,22.92,23.48,22.62,23.24,1.9298245614034988,274769175427.20004,3074100,RUB
IVAT,PJSC IVA,RUS,,,158.4,160.6,157.65,159.3,-0.12539184952977345,15950000000.0,519987,RUB
