symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
AAISA,Administradora Americana de Inversiones SA,BCS,Finance,Financial Conglomerates,308.0,315.1,308.0,313.75,2.572904406956978,305880004883.0,225116,CLP
AAPL,Apple Inc.,BCS,Electronic Technology,Telecommunications Equipment,266.97,266.97,266.97,266.97,-0.9093608492316786,3747009869076245.0,300,USD
AAPLCL,Apple Inc.,BCS,Electronic Technology,Telecommunications Equipment,255190.0,257040.0,255190.0,255881.0,0.1883320281910728,3747009868293119.5,32,CLP
ABC,Abc SA,BCS,Retail Trade,Department Stores,8.8,8.866,8.8,8.866,0.0,36641970906.0,571174,CLP
ABTCL,Abbott Laboratories,BCS,Health Technology,Medical Specialties,119500.0,119500.0,117350.0,117350.0,8.456561922365989,202961258908576.8,29,CLP
ADBE,Adobe Inc.,BCS,Technology Services,Packaged Software,358.01,394.63,358.01,394.63,0.0,133143208860060.67,6,USD
AGUAS_A,Aguas Andinas SA Class A,BCS,Utilities,Water Utilities,361.49,361.49,355.0,357.0,-0.14265335235377777,2097146807775.0,10171765,CLP
ALMENDRAL,Almendral S.A.,BCS,Communications,Major Telecommunications,29.5,29.5,29.0,29.0,0.0,522509822266.0,262342,CLP
AMD,"Advanced Micro Devices, Inc.",BCS,Electronic Technology,Semiconductors,262.3,262.3,262.3,262.3,13.368198124216626,397145494693748.0,2000,USD
AMDCL,"Advanced Micro Devices, Inc.",BCS,Electronic Technology,Semiconductors,241230.0,241230.0,218800.0,218800.0,0.0,397145494610744.56,2,CLP
AMGNCL,Amgen Inc.,BCS,Health Technology,Biotechnology,274700.0,274700.0,274700.0,274700.0,-6.386314067611777,150345539786993.4,8,CLP
AMZN,"Amazon.com, Inc.",BCS,Retail Trade,Internet Retail,250.28,250.28,250.28,250.28,-2.249648492423066,2559203410863808.5,400,USD
AMZNCL,"Amazon.com, Inc.",BCS,Retail Trade,Internet Retail,239000.0,240500.0,235000.0,239449.0,-0.45107968104301266,2559203410328935.0,104,CLP
ANDINA_A,Embotelladora Andina SA Pfd A,BCS,Consumer Non-Durables,Beverages: Non-Alcoholic,3401.0,3401.9,3401.0,3401.9,0.026462805057338754,3640033756226.0,8733,CLP
ANDINA_B,Embotelladora Andina SA Pfd B,BCS,Consumer Non-Durables,Beverages: Non-Alcoholic,4267.3,4279.3,4188.6,4200.0,-2.097902097902098,3640033756226.0,535541,CLP
ANTARCHILE,AntarChile S.A.,BCS,Finance,Financial Conglomerates,7795.4,7795.4,7683.4,7704.3,-0.9220679012345656,3548783390625.0,5942,CLP
AVGO,Broadcom Inc.,BCS,Electronic Technology,Semiconductors,374.5,374.5,374.5,374.5,26.67004904447828,1613660187026227.8,1,USD
AXP,American Express Company,BCS,Finance,Finance/Rental/Leasing,362.3,362.3,362.3,362.3,2.8093076049943346,234780886702226.6,1,USD
AXPCL,American Express Company,BCS,Finance,Finance/Rental/Leasing,338890.0,338890.0,338890.0,338890.0,2.7468695994906467,234780886653157.38,10,CLP
AZUL_AZUL,Azul Azul S.A.,BCS,Consumer Services,Movies/Entertainment,560.0,560.0,560.0,560.0,0.0,25406569214.0,92,CLP
BA,Boeing Company,BCS,Electronic Technology,Aerospace & Defense,200.2,200.2,200.2,200.2,-2.2747242018939886,146538669639486.16,500,USD
BACCL,Bank of America Corp,BCS,Finance,Major Banks,49091.0,49091.0,49091.0,49091.0,9.676050044682752,368634943126295.94,2,CLP
BACL,Boeing Company,BCS,Electronic Technology,Aerospace & Defense,193000.0,193000.0,193000.0,193000.0,23.717948717948715,146538669608859.56,6,CLP
BANVIDA,Banvida S.A.,BCS,Finance,Investment Managers,610.0,610.0,610.0,610.0,-0.0016393173882380463,976056151782.0,1957,CLP
BCI,Banco de Credito e Inversiones,BCS,Finance,Major Banks,49500.0,49613.0,48550.0,48700.0,-2.130225080385852,10877748142090.0,122341,CLP
BESALCO,Besalco SA Registered Shs,BCS,Industrial Services,Engineering & Construction,1188.0,1188.0,1180.0,1181.3,2.516705718996789,663923793996.0,73458,CLP
BICECORP,Bicecorp S.A.,BCS,Finance,Life/Health Insurance,335.0,335.8,331.05,333.39,-1.0271634258572173,3055610156391.0,598183,CLP
BLUMAR,Blumar SA Registered Shs,BCS,Process Industries,Agricultural Commodities/Milling,226.0,226.0,226.0,226.0,2.7226035180219124,355972572316.0,30,CLP
BLX,"Banco Latinoamericano de Comercio Exterior, S.A. Class E",BCS,Finance,Major Banks,45.0,45.0,42.96,45.0,,1427617335830.8884,2000,USD
BSANTANDER,Banco Santander-Chile,BCS,Finance,Regional Banks,67.2,67.9,66.8,67.02,-1.2960235640648152,12795492175046.0,95330572,CLP
BTUCL,Peabody Energy Corporation,BCS,Energy Minerals,Coal,28633.0,28633.0,25795.0,25795.0,0.0,3431389273327.05,1,CLP
CALICHERAA,Sociedad de Inversiones Pampa Calichera S.A. Class A,BCS,Finance,Financial Conglomerates,590.0,590.0,590.0,590.0,-0.8403361344537815,1613752560425.0,170,CLP
CALICHERAB,Sociedad de Inversiones Pampa Calichera S.A. Class B,BCS,Finance,Financial Conglomerates,616.02,616.02,616.02,616.02,0.0032467532467502936,1613752560425.0,20,CLP
CAMANCHACA,Compania Pesquera Camanchaca S.A.,BCS,Process Industries,Agricultural Commodities/Milling,62.0,62.0,62.0,62.0,0.0,257341656250.0,32402253,CLP
CAMPOS,Sociedad de Inversiones Campos Chilenos S.A.,BCS,Process Industries,Agricultural Commodities/Milling,51.94,56.0,51.94,56.0,0.0,52348580566.0,47782,CLP
CAP,CAP S.A.,BCS,Non-Energy Minerals,Steel,6300.0,6322.5,6213.3,6225.0,-1.9530634745629234,948846017746.0,457028,CLP
CAROZZI,Carozzi S.A.,BCS,Consumer Non-Durables,Food: Major Diversified,3908.0,3908.0,3908.0,3908.0,-1.0632911392405064,881097718811.0,323,CLP
