symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
0JN9/N,DSV A/S,BMV,Transportation,Air Freight/Couriers,3956.87,3956.87,3956.87,3956.87,0.0,927179100676.1869,525.0,MXN
0R87/N,ASSA ABLOY AB Class B,BMV,Consumer Durables,Tools & Hardware,683.5,683.5,683.5,683.5,2.9134984566739477,757677653190.3845,1105.0,MXN
1211/N,BYD Company Limited Class H,BIVA,Producer Manufacturing,Electrical Products,226.93,236.0,222.22,229.0,1.108216698308972,2124932828011.3706,2164.0,MXN
1211/N,BYD Company Limited Class H,BMV,Producer Manufacturing,Electrical Products,226.41,236.99,225.0,234.0,3.5398230088495577,2124932828011.3706,1758.0,MXN
1299/N,AIA Group Limited,BMV,Finance,Multi-Line Insurance,170.82,170.82,170.82,170.82,0.0,1963919630877.9614,3895.0,MXN
1810/N,Xiaomi Corporation Class B,BMV,Electronic Technology,Telecommunications Equipment,96.81,100.0,96.81,99.0,2.2727272727272756,2485178058543.0215,496.0,MXN
1810/N,Xiaomi Corporation Class B,BIVA,Electronic Technology,Telecommunications Equipment,95.61,100.0,95.61,99.95,3.844155844155847,2485178058543.0215,262.0,MXN
1913/N,Prada S.p.A.,BMV,Consumer Non-Durables,Consumer Sundries,119.98,119.98,119.98,119.98,0.0,278495545217.33966,10000.0,MXN
2897/N,"Nissin Foods Holdings Co., Ltd.",BIVA,Consumer Non-Durables,Food: Specialty/Candy,325.96,325.96,322.31,322.31,,95827437108.318,480.0,MXN
3750/N,"Contemporary Amperex Technology Co., Limited Class H",BMV,Producer Manufacturing,Electrical Products,1277.94,1277.94,1277.94,1277.94,-1.0690923166247297,4420093409194.213,148.0,MXN
4519/N,"Chugai Pharmaceutical Co., Ltd.",BMV,Health Technology,Pharmaceuticals: Major,785.78,785.78,785.78,785.78,0.0,1619841023094.8367,1520.0,MXN
4568/N,"Daiichi Sankyo Company, Limited",BMV,Health Technology,Pharmaceuticals: Major,493.73,493.73,493.73,493.73,0.0,841939015502.2999,500.0,MXN
4578/N,"Otsuka Holdings Co., Ltd.",BMV,Health Technology,Pharmaceuticals: Major,1025.98,1025.98,1025.98,1025.98,0.0,538498348608.9902,140.0,MXN
4BRZ/N,iShares MSCI Brazil UCITS ETF (DE),BMV,Miscellaneous,Investment Trusts/Mutual Funds,819.92,819.92,819.92,819.92,3.905715371942711,,1071.0,MXN
4BRZ/N,iShares MSCI Brazil UCITS ETF (DE),BIVA,Miscellaneous,Investment Trusts/Mutual Funds,805.09,805.09,789.1,789.1,2.9914641468062433,,10.0,MXN
