symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
14D,1414 Degrees Ltd.,ASX,Producer Manufacturing,Building Products,0.021,0.022,0.021,0.022,-4.347826086956526,8557426.0,806804.0,AUD
1AD,AdAlta Ltd.,ASX,Health Technology,Biotechnology,0.003,0.003,0.003,0.003,0.0,6622686.0,149997.0,AUD
1AE,Aurora Energy Metals Limited,ASX,Non-Energy Minerals,Other Metals/Minerals,0.096,0.096,0.09,0.095,-1.0416666666666676,17190119.0,6606.0,AUD
1AI,Algorae Pharmaceuticals Limited,ASX,Health Technology,Pharmaceuticals: Other,0.015,0.015,0.014,0.014,-6.666666666666661,25331385.0,4109296.0,AUD
1CG,One Click Group Limited,ASX,Technology Services,Packaged Software,0.01,0.01,0.01,0.01,-9.090909090909085,14380147.0,2250000.0,AUD
1GOV,Vaneck 1-5 Year Australian Government Bond ETF Exchange Traded Fund Units,ASX,Miscellaneous,Investment Trusts/Mutual Funds,51.55,51.55,51.51,51.55,-0.1356063541263082,,811.0,AUD
1MC,Morella Corporation Limited,ASX,Non-Energy Minerals,Other Metals/Minerals,0.036,0.037,0.035,0.037,2.7777777777777803,13263443.0,82767.0,AUD
1TT,Thrive Tribe Technologies Limited,ASX,Technology Services,Packaged Software,0.002,0.002,0.002,0.002,0.0,843923.0,9692036.0,AUD
28BB,Betashares 2028 Corporate Bond Active ETF Exchange Traded Fund Units,ASX,,,24.91,24.94,24.91,24.94,-0.2798880447820883,,2.0,AUD
29BB,Betashares 2029 Corporate Bond Active ETF Exchange Traded Fund Units,ASX,,,25.04,25.04,25.0,25.0,-0.11985617259289308,,279.0,AUD
29M,29Metals Limited,ASX,Non-Energy Minerals,Other Metals/Minerals,0.405,0.41,0.39,0.39,0.0,535211186.0,2541442.0,AUD
30BB,Betashares 2030 Corporate Bond Active ETF Exchnage Traded Fund Units,ASX,,,24.9,24.9,24.88,24.88,-0.5595523581135114,,79.0,AUD
360,"Life360, Inc. Shs Chess Depository Interests Repr 3 Sh",ASX,Technology Services,Packaged Software,39.73,40.05,39.1,39.35,-2.671283700222603,9530263492.693651,665276.0,AUD
3DA,Amaero Ltd,ASX,Process Industries,Chemicals: Major Diversified,0.255,0.255,0.235,0.245,0.0,229985425.0,500003.0,AUD
3DP,Pointerra Ltd.,ASX,Technology Services,Information Technology Services,0.041,0.042,0.04,0.041,-2.3809523809523827,33813224.0,454846.0,AUD
3PL,3P Learning Ltd.,ASX,Technology Services,Packaged Software,0.615,0.62,0.6,0.62,-3.1250000000000027,169202047.0,21627.0,AUD
4DS,4DS Memory Ltd.,ASX,Electronic Technology,Semiconductors,0.012,0.013,0.011,0.013,8.333333333333325,24730784.0,2385991.0,AUD
4DX,4DMedical Ltd,ASX,Technology Services,Information Technology Services,1.73,1.795,1.67,1.745,2.0467836257310026,882448317.0,2721194.0,AUD
5EA,"5E Advanced Materials, Inc. Shs Chess Depository Interests Repr 0.1 Sh",ASX,Process Industries,Chemicals: Specialty,0.64,0.64,0.6,0.625,-3.1007751937984525,136742308.10340354,19639.0,AUD
5GG,Pentanet Ltd,ASX,Technology Services,Internet Software/Services,0.022,0.022,0.021,0.022,-4.347826086956526,9962948.0,605241.0,AUD
5GN,5G Networks Limited,ASX,Technology Services,Data Processing Services,0.14,0.14,0.14,0.14,0.0,38954590.0,44581.0,AUD
5GOV,Vaneck 5-10 Year Australian Government Bond ETF,ASX,Miscellaneous,Investment Trusts/Mutual Funds,52.31,52.31,52.26,52.3,-0.19083969465649128,,5654.0,AUD
88E,88 Energy Limited,ASX,Energy Minerals,Integrated Oil,0.021,0.021,0.02,0.02,0.0,23725683.0,140354.0,AUD
8CO,8Common Ltd,ASX,Technology Services,Information Technology Services,0.028,0.028,0.025,0.025,-3.8461538461538365,5602373.0,632600.0,AUD
8IH,8I Holdings Ltd. Chess Depository Interests repr 1 shs,ASX,Miscellaneous,Miscellaneous,0.015,0.015,0.015,0.015,0.0,5372082.0,3261.0,AUD
A11,Atlantic Lithium Limited.,ASX,Non-Energy Minerals,Steel,0.24,0.24,0.225,0.225,-4.255319148936162,160637965.06817728,245164.0,AUD
A1G,African Gold Ltd,ASX,Non-Energy Minerals,Precious Metals,0.325,0.325,0.315,0.315,-1.5625000000000013,167966827.0,269854.0,AUD
A1M,AIC Mines Limited,ASX,Non-Energy Minerals,Other Metals/Minerals,0.47,0.47,0.46,0.465,-1.0638297872340319,374881311.0,1949739.0,AUD
A1N,ARN Media Limited,ASX,Consumer Services,Broadcasting,0.47,0.47,0.465,0.465,0.0,145073402.0,4441.0,AUD
A200,BetaShares Australia 200 ETF,ASX,Miscellaneous,Investment Trusts/Mutual Funds,144.09,144.25,143.18,143.28,-0.5690492713393429,,141987.0,AUD
A2M,a2 Milk Company Limited,ASX,Consumer Non-Durables,Food: Meat/Fish/Dairy,9.5,9.57,9.32,9.32,-2.8154327424400374,6977020881.32125,2044930.0,AUD
A300,Global X Australia 300 ETF Exchnage Traded Fund Units,ASX,Miscellaneous,Investment Trusts/Mutual Funds,50.25,50.25,50.0,50.0,-0.4578936890304537,,2540.0,AUD
A3D,Aurora Labs Ltd.,ASX,Producer Manufacturing,Industrial Machinery,0.04,0.041,0.04,0.041,2.500000000000002,19715334.0,19893.0,AUD
A4N,Alpha HPA Limited,ASX,Non-Energy Minerals,Other Metals/Minerals,0.755,0.77,0.75,0.765,1.3245033112582794,858920325.0,534917.0,AUD
A8G,Australasian Metals Limited,ASX,Non-Energy Minerals,Precious Metals,0.092,0.092,0.09,0.09,2.2727272727272747,5094296.0,35222.0,AUD
AA2,Ariana Resources PLC Shs CHESS DEPOSITARY INTERESTS 1:10,ASX,Non-Energy Minerals,Precious Metals,0.275,0.28,0.27,0.275,1.8518518518518534,64942642.91093432,205207.0,AUD
AAA,BetaShares Australian High Interest Cash ETF Units,ASX,Miscellaneous,Investment Trusts/Mutual Funds,50.07,50.08,50.07,50.08,-0.27877339705296805,,602391.0,AUD
AAC,Australian Agricultural Company Limited,ASX,Consumer Non-Durables,Food: Meat/Fish/Dairy,1.435,1.44,1.405,1.425,-1.0416666666666599,867614009.0,160746.0,AUD
AAI,Alcoa Corporation shs Chess Depository Interests Repr 1 Sh,ASX,Non-Energy Minerals,Aluminum,63.11,63.83,63.08,63.3,0.4124365482233471,16504800079.400223,137792.0,AUD
AAJ,Aruma Resources Limited,ASX,Non-Energy Minerals,Precious Metals,0.019,0.019,0.018,0.018,-5.263157894736847,7843680.0,684070.0,AUD
AAL,Alfabs Australia Ltd.,ASX,Producer Manufacturing,Trucks/Construction/Farm Machinery,0.42,0.425,0.39,0.39,-8.235294117647053,121799909.0,177384.0,AUD
AAM,AuMega Metals Ltd,ASX,Non-Energy Minerals,Precious Metals,0.036,0.036,0.034,0.036,2.85714285714284,27620264.0,1635523.0,AUD
AAP,Australian Agricultural Projects Ltd.,ASX,Consumer Non-Durables,Food: Specialty/Candy,0.049,0.049,0.049,0.049,0.0,18061582.0,5517.0,AUD
AAR,Astral Resources NL,ASX,Non-Energy Minerals,Precious Metals,0.225,0.235,0.215,0.235,9.302325581395344,317134821.0,6416871.0,AUD
AASF,Airlie Australian Share Fund - Active ETF,ASX,Miscellaneous,Investment Trusts/Mutual Funds,3.81,3.81,3.78,3.78,-0.7874015748031562,,110128.0,AUD
AAU,Antilles Gold Ltd,ASX,Non-Energy Minerals,Precious Metals,0.009,0.01,0.009,0.01,25.0,22500546.0,1280153.0,AUD
ABB,Aussie Broadband Ltd.,ASX,Communications,Specialty Telecommunications,5.3,5.31,5.16,5.19,-2.4436090225563887,1556504473.0,456622.0,AUD
ABE,Australian Bond Exchange Holdings Ltd.,ASX,Finance,Investment Banks/Brokers,0.027,0.027,0.027,0.027,0.0,3562328.0,2500.0,AUD
ABG,Abacus Group,ASX,Finance,Real Estate Investment Trusts,1.2,1.22,1.2,1.215,1.2500000000000104,1072389226.9999999,542472.0,AUD
ABV,Advanced Braking Technology Limited,ASX,Producer Manufacturing,Auto Parts: OEM,0.105,0.115,0.105,0.115,9.523809523809533,45753425.0,83851.0,AUD
ABX,ABx Group Limited,ASX,Non-Energy Minerals,Other Metals/Minerals,0.088,0.088,0.08,0.081,-15.625,28758914.0,9184787.0,AUD
ABY,Adore Beauty Group Ltd.,ASX,Retail Trade,Specialty Stores,1.29,1.295,1.24,1.27,-0.3921568627450897,119796360.0,65630.0,AUD
ACDC,Global X Battery tech & Lithium ETF,ASX,Miscellaneous,Investment Trusts/Mutual Funds,136.57,137.51,135.4,135.4,-0.36058576790049357,,11775.0,AUD
ACE,Acusensus Ltd,ASX,Technology Services,Information Technology Services,1.79,1.8,1.725,1.73,-3.0812324929971955,252780264.0,64918.0,AUD
ACF,Acrow Limited,ASX,Finance,Finance/Rental/Leasing,1.07,1.07,1.05,1.05,-2.3255813953488293,334736407.0,150828.0,AUD
ACL,Australian Clinical Labs Ltd,ASX,Health Services,Medical/Nursing Services,2.93,2.97,2.85,2.89,-1.027397260273966,569521964.0,842403.0,AUD
ACM,Australian Critical Minerals Ltd.,ASX,Non-Energy Minerals,Other Metals/Minerals,0.08,0.08,0.08,0.08,0.0,,176989.0,AUD
ACP,Audalia Resources Limited,ASX,Non-Energy Minerals,Other Metals/Minerals,0.024,0.027,0.024,0.027,3.84615384615385,21927677.0,200000.0,AUD
ACQ,Acorn Capital Investment Fund Ltd Registered,ASX,Miscellaneous,Investment Trusts/Mutual Funds,0.91,0.915,0.905,0.91,1.111111111111112,80639100.0,87710.0,AUD
ACR,Acrux Limited,ASX,Health Technology,Pharmaceuticals: Major,0.015,0.015,0.014,0.014,-6.666666666666661,6159128.0,15366.0,AUD
ACU,Acumentis Group Limited,ASX,Finance,Real Estate Development,0.077,0.077,0.077,0.077,0.0,17167539.0,76426.0,AUD
ACW,Actinogen Medical Limited,ASX,Health Technology,Pharmaceuticals: Other,0.06,0.061,0.058,0.059,-1.6666666666666683,190874849.0,2075988.0,AUD
AD8,Audinate Group Ltd.,ASX,Electronic Technology,Electronic Production Equipment,4.42,4.53,4.36,4.39,0.22831050228310015,369359068.0,305373.0,AUD
ADC,ACDC Metals Ltd,ASX,Non-Energy Minerals,Construction Materials,0.067,0.067,0.066,0.066,-2.9411764705882377,5095292.0,30000.0,AUD
ADD,Adavale Resources Limited,ASX,Non-Energy Minerals,Other Metals/Minerals,0.045,0.048,0.045,0.048,4.347826086956526,12381414.0,400355.0,AUD
ADEF,Apostle Dundas Global Equity Fund Units Class D,ASX,Miscellaneous,Investment Trusts/Mutual Funds,6.49,6.49,6.37,6.37,0.0,,10.0,AUD
ADG,Adelong Gold Ltd,ASX,Non-Energy Minerals,Precious Metals,0.011,0.011,0.01,0.01,0.0,25668361.0,3250609.0,AUD
ADH,Adairs Ltd.,ASX,Retail Trade,Specialty Stores,1.88,1.91,1.825,1.825,-2.406417112299473,331620315.0,450736.0,AUD
