symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
1JANATAMF,First Janata Bank Mutual Fund Units,DSEBD,,,2.7,2.7,2.5,2.6,0.0,,35563,BDT
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,DSEBD,,,18.5,18.7,18.1,18.2,-2.6737967914438503,,410224,BDT
AAMRANET,aamra networks ltd,DSEBD,Communications,Specialty Telecommunications,18.2,18.2,17.6,17.7,-1.117318435754186,1645744510.0,49258,BDT
AAMRATECH,Aamra Technologies Limited,DSEBD,Technology Services,Information Technology Services,11.0,11.0,10.4,10.6,-2.752293577981658,685898923.0,24157,BDT
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,DSEBD,Miscellaneous,Investment Trusts/Mutual Funds,2.7,2.8,2.6,2.6,-3.703703703703707,,700889,BDT
ABBANK,AB Bank PLC,DSEBD,Finance,Regional Banks,4.3,4.4,4.1,4.2,-2.3255813953488293,3761917835.0,1206299,BDT
ACFL,Aman Cotton Fibrous PLC,DSEBD,Process Industries,Textiles,18.4,18.5,17.5,17.9,-3.243243243243251,1804916674.0,137258,BDT
ACI,Advanced Chemical Industries PLC,DSEBD,Health Technology,Pharmaceuticals: Major,181.0,182.0,180.3,181.2,-0.384826827927442,15879727549.0,14694,BDT
ACIFORMULA,ACI Formulations PLC,DSEBD,Process Industries,Chemicals: Agricultural,130.0,130.0,125.8,126.2,-1.6367887763055404,5962949856.0,4132,BDT
ACMELAB,ACME Laboratories Ltd.,DSEBD,Health Technology,Pharmaceuticals: Major,71.3,71.5,69.4,69.8,-2.3776223776223815,14769799294.0,279615,BDT
ACMEPL,ACME Pesticides Ltd,DSEBD,Process Industries,Chemicals: Agricultural,17.4,17.6,16.8,17.0,-2.2988505747126355,2295000000.0,3594232,BDT
ACTIVEFINE,Active Fine Chemicals Ltd.,DSEBD,Health Technology,Pharmaceuticals: Major,6.0,6.1,5.9,6.0,-1.6393442622950762,1439619507.0,60777,BDT
ADNTEL,ADN Telecom Ltd.,DSEBD,Communications,Specialty Telecommunications,59.0,59.1,57.3,57.7,-2.2033898305084696,3730401104.0,101310,BDT
ADVENT,Advent Pharma Ltd.,DSEBD,Health Technology,Pharmaceuticals: Major,13.5,13.8,13.5,13.6,-1.4492753623188481,1266605248.0,43976,BDT
