symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
AADI,Pt Adaro Andalan Indonesia Tbk,IDX,Energy Minerals,Coal,7550,7550,7400,7450,-0.9966777408637874,58596362976074.0,5145000,IDR
AALI,PT Astra Agro Lestari Tbk,IDX,Process Industries,Agricultural Commodities/Milling,7875,7975,7850,7975,1.2698412698412698,15156920791626.0,3581800,IDR
ABBA,PT Mahaka Media Tbk,IDX,Consumer Services,Publishing: Newspapers,54,55,54,55,1.8518518518518516,212538212402.0,1596200,IDR
ABDA,PT Asuransi Bina Dana Arta Tbk Class A,IDX,Finance,Property/Casualty Insurance,2690,2690,2690,2690,0.0,1669969863281.0,100,IDR
ABMM,PT ABM Investama Tbk,IDX,Energy Minerals,Coal,2880,2910,2880,2900,0.6944444444444444,7929115312500.0,508500,IDR
ACES,PT Aspirasi Hidup Indonesia Tbk,IDX,Retail Trade,Home Improvement Chains,420,420,418,420,0.0,7178127304688.0,16975600,IDR
ACRO,PT Samcro Hyosung Adilestari Tbk Class A,IDX,Process Industries,Textiles,87,88,86,88,1.1494252873563218,301820693115.0,6235600,IDR
ACST,PT Acset Indonusa Tbk,IDX,Industrial Services,Engineering & Construction,136,138,135,136,0.0,2403821781250.0,2848900,IDR
ADCP,PT Adhi Commuter Properti Tbk,IDX,Finance,Real Estate Development,54,62,54,57,7.547169811320755,1177777800781.0,275519900,IDR
ADES,PT Akasha Wira International Tbk,IDX,Consumer Non-Durables,Beverages: Non-Alcoholic,15725,15725,15450,15450,-1.7488076311605723,9276127015686.0,13100,IDR
ADHI,PT Adhi Karya (Persero) Tbk,IDX,Industrial Services,Engineering & Construction,248,256,244,248,0.8130081300813009,2068271906496.0,68962500,IDR
ADMF,PT Adira Dinamika Multi Finance Tbk,IDX,Finance,Finance/Rental/Leasing,8475,8575,8400,8500,0.2949852507374631,10473431277466.0,97100,IDR
ADMG,PT Polychem Indonesia Tbk,IDX,Process Industries,Textiles,165,167,162,166,0.6060606060606061,641714648438.0,965300,IDR
ADMR,PT Alamtri Minerals Indonesia Tbk,IDX,Energy Minerals,Coal,1275,1300,1265,1290,1.1764705882352942,52124973339844.0,17584300,IDR
ADRO,PT Alamtri Resources Indonesia Tbk,IDX,Energy Minerals,Coal,1810,1815,1800,1815,0.2762430939226519,50973934101562.0,42791600,IDR
AEGS,PT Anugerah Spareparts Sejahtera Tbk,IDX,Producer Manufacturing,Auto Parts: OEM,84,85,80,85,1.1904761904761905,,21669400,IDR
AGAR,PT Asia Sejahtera Mina Tbk,IDX,Distribution Services,Food Distributors,236,270,232,246,3.361344537815126,238000000000.0,1013100,IDR
AGII,PT Samator Indo Gas Tbk,IDX,Process Industries,Chemicals: Specialty,1590,1590,1550,1555,-0.3205128205128205,4748109462891.0,844100,IDR
AGRO,PT Bank Raya Indonesia Tbk,IDX,Finance,Major Banks,230,234,228,232,0.8695652173913043,5690313652344.0,16327800,IDR
AGRS,PT Bank IBK Indonesia Tbk,IDX,Finance,Regional Banks,76,78,75,78,2.631578947368421,3636160921875.0,23627800,IDR
AHAP,PT Asuransi Harta Aman Pratama Tbk,IDX,Finance,Multi-Line Insurance,103,103,96,98,-4.854368932038835,504700000000.0,60844600,IDR
AIMS,PT Artha Mahiya Investama Tbk,IDX,Distribution Services,Medical Distributors,438,444,426,428,-2.28310502283105,96360000000.0,532000,IDR
AISA,PT FKS Food Sejahtera Tbk Class A,IDX,Consumer Non-Durables,Food: Specialty/Candy,147,150,144,145,-1.3605442176870748,1368834571289.0,10656000,IDR
AKKU,PT Anugerah Kagum Karya Utama Tbk,IDX,Consumer Services,Hotels/Resorts/Cruise lines,38,38,37,37,-2.631578947368421,245079626953.0,103900,IDR
AKPI,PT Argha Karya Prima Industry Tbk,IDX,Process Industries,Containers/Packaging,575,575,560,565,-0.8771929824561403,348981351929.0,193600,IDR
AKRA,PT AKR Corporindo Tbk,IDX,Distribution Services,Wholesale Distributors,1305,1310,1270,1280,-2.6615969581749046,25954378447266.0,24373700,IDR
AKSI,PT Mineral Sumberdaya Mandiri Tbk,IDX,Finance,Financial Conglomerates,550,580,510,525,-1.8691588785046727,385200000000.0,4190000,IDR
ALDO,PT Alkindo Naratama Tbk,IDX,Process Industries,Containers/Packaging,595,605,585,590,-0.8403361344537815,1597173491211.0,16000,IDR
ALII,PT Ancara Logistics Indonesia Tbk,IDX,Consumer Services,Hotels/Resorts/Cruise lines,610,630,605,615,-0.8064516129032258,9811995878906.0,2455500,IDR
ALKA,"PT Alakasa Industrindo, Tbk Class A",IDX,Non-Energy Minerals,Aluminum,356,370,346,354,2.312138728323699,175652114075.0,121200,IDR
AMAG,PT Asuransi Multi Artha Guna Tbk,IDX,Finance,Property/Casualty Insurance,384,388,380,382,0.5263157894736842,1900502089844.0,40600,IDR
AMAN,PT Makmur Berkah Amanda Tbk,IDX,Finance,Real Estate Development,191,192,177,180,-5.7591623036649215,739838500000.0,7654000,IDR
AMAR,PT Bank Amar Indonesia Tbk,IDX,Finance,Regional Banks,240,244,238,240,0.0,4411462500000.0,1414900,IDR
AMFG,PT Asahimas Flat Glass Tbk,IDX,Process Industries,Industrial Specialties,3160,3200,3150,3160,0.0,1371440000000.0,40200,IDR
AMIN,PT Ateliers Mecaniques D'Indonesie Tbk,IDX,Producer Manufacturing,Industrial Machinery,252,252,248,252,0.0,272160000000.0,42100,IDR
AMMN,PT Amman Mineral Internasional Tbk,IDX,Non-Energy Minerals,Precious Metals,6425,6475,6350,6475,1.171875,464116600000000.0,13262400,IDR
AMMS,PT Agung Menjangan Mas Tbk,IDX,Process Industries,Agricultural Commodities/Milling,424,424,390,408,-2.3923444976076556,,2266700,IDR
AMOR,PT Ashmore Asset Management Indonesia Tbk,IDX,Finance,Investment Managers,390,390,386,390,0.5154639175257731,862222295898.0,237100,IDR
AMRT,PT Sumber Alfaria Trijaya,IDX,Retail Trade,Food Retail,1850,1855,1825,1845,-0.2702702702702703,76820332226562.0,35267100,IDR
ANDI,PT Andira Agro Tbk,IDX,Process Industries,Agricultural Commodities/Milling,36,36,36,36,9.090909090909092,308550000000.0,31613500,IDR
ANJT,PT Austindo Nusantara Jaya Tbk,IDX,Process Industries,Agricultural Commodities/Milling,1860,1865,1825,1835,-1.078167115902965,6143648591309.0,308800,IDR
ANTM,PT Aneka Tambang Tbk,IDX,Non-Energy Minerals,Precious Metals,2910,2940,2900,2910,0.3448275862068966,69689220315400.01,45650000,IDR
APEX,PT Apexindo Pratama Duta Tbk,IDX,Industrial Services,Contract Drilling,306,314,286,286,-4.666666666666667,1063940039062.0001,408672000,IDR
APIC,PT Pacific Strategic Financial Tbk Class A,IDX,Finance,Investment Banks/Brokers,1510,1590,1510,1530,-2.547770700636943,18473113691406.0,1193900,IDR
APII,PT Arita Prima Indonesia Tbk,IDX,Producer Manufacturing,Industrial Machinery,194,197,190,192,0.5235602094240838,205470161865.0,540400,IDR
APLI,PT Asiaplast Industries Tbk,IDX,Process Industries,Industrial Specialties,434,446,424,440,1.8518518518518516,588674039062.0,153500,IDR
APLN,PT Agung Podomoro Land Tbk,IDX,Finance,Real Estate Development,107,110,106,106,0.0,2406128781250.0,28322100,IDR
ARCI,PT Archi Indonesia Tbk,IDX,Non-Energy Minerals,Precious Metals,1260,1305,1240,1300,3.1746031746031744,31353999960938.0,78064400,IDR
AREA,PT Dunia Virtual Online Tbk,IDX,Technology Services,Data Processing Services,545,625,530,580,6.422018348623854,1384082585449.0,5594200,IDR
ARGO,PT Argo Pantes Tbk,IDX,Process Industries,Textiles,1005,1005,995,995,0.0,3158467415771.0,104500,IDR
ARII,PT Atlas Resources Tbk,IDX,Energy Minerals,Coal,268,274,264,270,0.7462686567164178,919508000000.0,170500,IDR
ARKA,PT Arkha Jayanti Persada Tbk,IDX,Transportation,Trucking,39,39,37,37,-5.128205128205128,78000000000.0,6593500,IDR
ARKO,PT Arkora Hydro Tbk,IDX,Industrial Services,Engineering & Construction,3930,4920,3840,4700,19.289340101522843,13627650000000.0,10708500,IDR
ARNA,PT Arwana Citramulia Tbk,IDX,Producer Manufacturing,Building Products,535,545,530,535,0.0,3890091320801.0,4616900,IDR
ARTA,PT Arthavest Tbk,IDX,Consumer Services,Hotels/Resorts/Cruise lines,2870,2870,2870,2870,-0.3472222222222222,1286421679688.0,400,IDR
ARTO,PT Bank Jago Tbk,IDX,Finance,Major Banks,2070,2100,2040,2070,0.0,28692955283203.0,4563700,IDR
