symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
BAL1R,Amber Latvijas Balzams JSC,OMXRSE,Distribution Services,Food Distributors,7.1,7.1,7.1,7.1,-1.3888888888888962,53977679.0,29,EUR
DGR1R,DelfinGroup AS,OMXRSE,Finance,Finance/Rental/Leasing,1.298,1.3,1.296,1.298,0.30911901081916565,58784620.0,18340,EUR
EGG,APF Holdings AS,OMXRSE,Process Industries,Agricultural Commodities/Milling,4.98,4.98,4.98,4.98,0.0,28525092.0,10,EUR
ELEVR,Eleving Group,OMXRSE,Technology Services,Information Technology Services,1.6698,1.67,1.6686,1.669,-0.047909929332848954,194396895.0,6269,EUR
IDX1R,IPAS Indexo,OMXRSE,Finance,Investment Managers,9.88,9.96,9.88,9.96,0.8097165991902842,55777194.0,691,EUR
KALVE,Kalve Coffee AS,OMXRSE,Consumer Non-Durables,Food: Specialty/Candy,16.4,16.9,16.4,16.9,3.0487804878048785,,157,EUR
LJM1R,Latvijas Juras Medicinas Centrs A/S,OMXRSE,Health Services,Medical/Nursing Services,9.4,9.5,9.25,9.25,0.543478260869573,7360000.0,18,EUR
MDARA,MADARA Cosmetics AS,OMXRSE,Consumer Non-Durables,Household/Personal Care,10.0,10.0,10.0,10.0,0.0,37829838.0,210,EUR
RKB1R,Rigas Kugu Buvetava JSC,OMXRSE,Producer Manufacturing,Trucks/Construction/Farm Machinery,0.358,0.358,0.358,0.358,0.0,4178614.9999999995,1553,EUR
SAF1R,SAF Tehnika A/S,OMXRSE,Electronic Technology,Telecommunications Equipment,6.56,6.6,6.5,6.6,0.0,19603188.0,499,EUR
SCM1R,Siguldas Ciltslietu Un Maksligas Apseklosanas Stacija A/S,OMXRSE,Process Industries,Agricultural Commodities/Milling,5.2,5.2,5.2,5.2,-4.587155963302751,2196688.0,1,EUR
VIRSI,VIRSI-A AS,OMXRSE,Utilities,Gas Distributors,3.82,3.87,3.8,3.87,1.8421052631579022,57549135.0,301,EUR
