symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
013A,"JD.com, Inc. Sponsored ADR Class A",BX,Retail Trade,Internet Retail,22.864,22.864,22.864,22.864,-5.3132894355406375,29626702841.564167,50.0,CHF
02M,Mosaic Company,BX,Process Industries,Chemicals: Agricultural,19.358,19.358,19.358,19.358,-2.752938812418358,6041061413.138454,200.0,CHF
04Q,Nordea Bank Abp,BX,Finance,Major Banks,14.455,14.455,14.455,14.455,4.232766080184596,50087956420.43407,700.0,CHF
0700,Tencent Holdings Ltd,BX,Technology Services,Packaged Software,61.993,62.0,61.993,62.0,-1.2896035663111005,558658668958.28,808.0,CHF
0B7,Bossard Holding AG,BX,Producer Manufacturing,Metal Fabrication,154.844,154.844,154.844,154.844,-1.3707355601416693,1213184332.0,55.0,CHF
0B8,Basler Kantonalbank Partizipsch,BX,Finance,Regional Banks,85.583,85.583,85.583,85.583,2.1545035689560414,453858232.0,88.0,CHF
0HG,HIAG Immobilien Holding AG,BX,Finance,Real Estate Development,113.363,113.363,113.363,113.363,-0.39451024496537984,1150754341.0,40.0,CHF
0NU,"Nutanix, Inc. Class A",BX,Technology Services,Packaged Software,38.449,38.449,38.449,38.449,-2.2002340133285903,10887737091.905634,500.0,CHF
0Q3,"Beyond Meat, Inc.",BX,Consumer Non-Durables,Food: Major Diversified,0.843,0.97,0.827,0.97,11.111111111111107,374702502.97879106,2713.0,CHF
0QF,"Moderna, Inc.",BX,Health Technology,Biotechnology,24.699,26.589,24.699,26.581,5.837149114075259,9606168552.704742,1091.0,CHF
0UB,UBS Group AG,BX,Finance,Investment Managers,36.982,36.982,36.288,36.759,-0.32809110629067845,114649503189.0,11166.0,CHF
0ZC,"Zscaler, Inc.",BX,Technology Services,Packaged Software,192.155,192.155,192.155,192.155,-1.3932365166521288,29273334310.90635,30.0,CHF
100D,Multi Units LU - Amundi FTSE 100,SIX,Miscellaneous,Investment Trusts/Mutual Funds,147.92,147.92,147.92,147.92,0.0,,1875.0,CHF
100GBA,UBS (Lux) Fund Solutions - UBS FTSE 100 UCITS ETF -GBP dis- Distribution,SIX,Miscellaneous,Investment Trusts/Mutual Funds,95.79,95.79,95.63,95.63,-0.1670320492744658,,182.0,CHF
100GBA.GBP,UBS (Lux) Fund Solutions - UBS FTSE 100 UCITS ETF -GBP dis- Distribution,SIX,Miscellaneous,Investment Trusts/Mutual Funds,90.0,90.99,90.0,90.95,1.3596344589323512,,117.0,GBP
1211,BYD Company Limited Class H,BX,Producer Manufacturing,Electrical Products,9.606,9.606,9.606,9.606,-0.989486703772419,90731562086.13388,20.0,CHF
12DA,"Dell Technologies, Inc. Class C",BX,Electronic Technology,Computer Processing Hardware,102.465,102.594,98.184,98.184,-8.540129666890236,64716071795.218056,12.0,CHF
175,Geely Automobile Holdings Limited,BX,Consumer Durables,Motor Vehicles,1.74,1.74,1.739,1.739,-2.0281690140844963,17341053767.42325,6000.0,CHF
19T,Idorsia Ltd.,BX,Health Technology,Pharmaceuticals: Major,3.933,3.933,3.933,3.933,2.1823850350740357,977430763.0,257.0,CHF
19V,VAT Group AG,BX,Producer Manufacturing,Industrial Machinery,378.86,380.156,378.86,379.805,-0.9557462122199964,11516802979.0,9.0,CHF
1AKA,Aker Solutions ASA,BX,Utilities,Alternative Power Generation,2.425,2.425,2.417,2.417,-0.9020090200902107,1147038080.3363652,214.0,CHF
1CG,CRISPR Therapeutics AG,BX,Health Technology,Biotechnology,44.163,44.163,44.163,44.163,-3.805271182748857,4151453438.71634,253.0,CHF
1FA,"Sprouts Farmers Market, Inc.",BX,Retail Trade,Food Retail,64.065,64.065,64.065,64.065,-49.88500891767577,6199190259.750577,130.0,CHF
1N8,Adyen NV,BX,Commercial Services,Miscellaneous Commercial Services,1254.627,1254.627,1254.627,1254.627,-0.7683053859678634,40213465643.823944,23.0,CHF
1NBA,Anheuser-Busch InBev SA/NV,BX,Consumer Non-Durables,Beverages: Alcoholic,51.42,51.42,51.42,51.42,-1.5998162890385765,102210332551.45853,203.0,CHF
1NC,Norwegian Cruise Line Holdings Ltd.,BX,Consumer Services,Hotels/Resorts/Cruise lines,18.269,18.301,18.269,18.301,5.749451057436712,7822082374.29502,310.0,CHF
1Q3,Sensirion Holding AG,BX,Electronic Technology,Semiconductors,59.513,59.513,58.857,59.105,1.623080758583923,913744135.0,27.0,CHF
1QJ,SoftwareOne Holding Ltd.,BX,Distribution Services,Electronics Distributors,8.43,8.43,8.399,8.399,-5.629213483146081,1891278532.0,3564.0,CHF
1QZ,"Coinbase Global, Inc. Class A",BX,Finance,Investment Banks/Brokers,201.759,203.679,201.759,203.679,0.08255082034878035,51236823736.91318,5.0,CHF
1SI,"Snap, Inc. Class A",BX,Technology Services,Packaged Software,5.924,5.987,5.924,5.987,3.4024179620034554,10420769563.110653,45.0,CHF
1SQ,Swissquote Group Holding Ltd.,BX,Finance,Investment Banks/Brokers,484.672,488.504,484.672,488.504,2.4929608788515853,7122705888.0,14.0,CHF
1SXP,SCHOTT Pharma AG & Co. KGaA,BX,Health Technology,Medical Specialties,13.987,13.993,13.983,13.993,-0.04999999999999767,2083709144.7624118,2515.0,CHF
1VIC,1Valour Internet Computer Physical Staking,SIX,Miscellaneous,Investment Trusts/Mutual Funds,0.3899,0.3899,0.3899,0.3899,-15.897325280414146,,300.0,CHF
1Y3,Graubuendner Kantonalbank,BX,Finance,Regional Banks,1805.632,1805.632,1805.416,1805.416,-0.511599713451265,1368750000.0,15.0,CHF
1Y4,Schweizerische Nationalbank,BX,Finance,Major Banks,3497.827,3497.827,3497.827,3497.827,-1.752310887017152,353000005.0,1.0,CHF
1Y61,Zuger Kantonalbank AG,BX,Finance,Regional Banks,8815.235,8815.235,8815.235,8815.235,0.48870521104688547,2560512206.0,1.0,CHF
1YD,Broadcom Inc.,BX,Electronic Technology,Semiconductors,268.912,269.228,265.206,268.92,3.1585892606430868,1237440516779.7285,17.0,CHF
1YQA,SIG Group AG,BX,Producer Manufacturing,Industrial Machinery,10.532,10.542,10.406,10.468,-0.2762694103077062,4021423634.0,525.0,CHF
21,SFS Group AG,BX,Producer Manufacturing,Metal Fabrication,107.042,107.042,107.042,107.042,2.2778956219304787,4189000444.0000005,80.0,CHF
22UA,BioNTech SE Sponsored ADR,BX,Health Technology,Biotechnology,73.533,73.68,73.533,73.604,-0.17360169261650318,17469263036.77814,20.0,CHF
27M,Melrose Industries PLC,BX,Electronic Technology,Aerospace & Defense,5.788,5.788,5.788,5.788,-2.2627490712597007,7566574642.66304,100.0,CHF
27W,PowerCell Sweden AB,BX,Utilities,Alternative Power Generation,2.844,2.844,2.844,2.844,-14.517583408476106,158836712.16998968,200.0,CHF
285,"BYD Electronic (International) Co., Ltd.",BX,Electronic Technology,Electronic Production Equipment,3.39,3.39,3.39,3.39,-13.520408163265301,7602348756.343476,40.0,CHF
29GA.EUR,iShares iBonds Dec 2029 Term EUR Corp UCITS ETF AccumEUR,SIX,Miscellaneous,Investment Trusts/Mutual Funds,5.2836,5.287,5.2806,5.2828,0.4067358497738219,,35440.0,EUR
29GI.EUR,iShares iBonds Dec 2029 Term EUR Corp UCITS ETF EUR,SIX,Miscellaneous,Investment Trusts/Mutual Funds,5.1674,5.1674,5.1546,5.1546,-0.9644943129418875,,1020.0,EUR
29ID.USD,iShares V PLC - iShares iBonds Dec 2029 Term USD Corp UCITS ETF USD,SIX,Miscellaneous,Investment Trusts/Mutual Funds,5.2088,5.2088,5.2088,5.2088,-0.011517641187075092,,23596.0,USD
29IT.USD,Ishares V Plc - Ishares Ibonds Dec 2029 Term USD Treasury Ucits ETF USD,SIX,Miscellaneous,Investment Trusts/Mutual Funds,5.2162,5.2162,5.2162,5.2162,-0.9419271525694076,,6000.0,USD
2AR,"ARMOUR Residential REIT, Inc.",BX,Finance,Real Estate Investment Trusts,13.498,13.498,13.498,13.498,-5.124059886132009,1528834432.44102,1000.0,CHF
2B76,iShares Automation & Robotics UCITS ETF,BX,Miscellaneous,Investment Trusts/Mutual Funds,12.739,12.855,12.739,12.855,0.8709981167608337,,755.0,CHF
2B78,iShares Healthcare Innovation UCITS ETF,BX,Miscellaneous,Investment Trusts/Mutual Funds,7.102,7.102,7.1,7.1,0.056369785794807774,,113.0,CHF
2B79,iShares Digitalisation UCITS ETF,BX,Miscellaneous,Investment Trusts/Mutual Funds,8.575,8.575,8.575,8.575,-1.266551525618897,,76.0,CHF
2D7,Beazley Plc,BX,Finance,Multi-Line Insurance,8.917,8.917,8.917,8.917,,5227091219.598539,420.0,CHF
2FE,Ferrari NV,BX,Consumer Durables,Motor Vehicles,296.087,301.989,296.087,301.989,3.5620468995411563,69863403172.18118,164.0,CHF
2M6,Medtronic Plc,BX,Health Technology,Medical Specialties,78.735,78.735,78.735,78.735,0.9410135767490091,100288164919.37407,1200.0,CHF
2ON,"Peloton Interactive, Inc. Class A",BX,Consumer Services,Other Consumer Services,5.268,5.268,5.232,5.232,1.552795031055902,2074263648.4232268,6.0,CHF
2PP,"PayPal Holdings, Inc.",BX,Commercial Services,Miscellaneous Commercial Services,47.461,47.53,47.199,47.53,1.1405711367408633,44177574574.62865,331.0,CHF
2U3,Alcon AG,BX,Health Technology,Medical Specialties,63.356,63.623,63.195,63.623,0.5690530009642278,31820896930.0,1298.0,CHF
30IA.EUR,Ishares Ibonds Dec 2030 Term EUR Corp Ucits ETF AccumEUR,SIX,Miscellaneous,Investment Trusts/Mutual Funds,5.2902,5.2902,5.2834,5.286,-0.07183636432379345,,31237.0,EUR
30ID.USD,Ishares Ibonds Dec 2030 Term USD Corp Ucits ETF USD,SIX,Miscellaneous,Investment Trusts/Mutual Funds,5.2558,5.2558,5.2558,5.2558,0.3015267175572441,,16155.0,USD
30IG.EUR,Ishares Ibonds Dec 2030 Term EUR Corp Ucits ETF EUR,SIX,Miscellaneous,Investment Trusts/Mutual Funds,5.1426,5.1426,5.1426,5.1426,-0.2289306223808791,,2400.0,EUR
31D1,Daetwyler Holding AG,BX,Producer Manufacturing,Miscellaneous Manufacturing,153.301,153.301,153.301,153.301,-2.274509303941513,2621400007.0,3.0,CHF
31ID.USD,ISHARES IBONDS DEC 2031 TERM USD CORP UCITS ETF USD,SIX,Miscellaneous,Investment Trusts/Mutual Funds,5.2308,5.2308,5.2078,5.2078,0.2695521583426267,,3725.0,USD
31IG.EUR,iShares iBonds Dec 2031 Term EUR Cor Ucits ETF - EUR,SIX,Miscellaneous,Investment Trusts/Mutual Funds,5.1114,5.1114,5.1114,5.1114,0.0,,7800.0,EUR
32ID.USD,Ishares Ibonds Dec 2032 Term USD Corp UCITS ETF USD,SIX,Miscellaneous,Investment Trusts/Mutual Funds,5.2006,5.2006,5.2006,5.2006,0.0,,60000.0,USD
32XG.EUR,iShares iBonds Dec 2032 Term EUR Corp UCITS ETF EUR,SIX,Miscellaneous,Investment Trusts/Mutual Funds,5.0154,5.02,5.015,5.015,-0.7284532245932219,,2822.0,EUR
33GI.EUR,Ishares Ibonds Dec 2033 Term Eur Corp Ucits Etf - EUR,SIX,Miscellaneous,Investment Trusts/Mutual Funds,5.063,5.063,5.063,5.063,0.0,,36135.0,EUR
33L,lululemon athletica inc.,BX,Consumer Non-Durables,Apparel/Footwear,172.198,172.198,172.188,172.188,-3.6138913145697686,20918424994.836765,15.0,CHF
34ID.USD,Ishares Ibonds Dec 2034 Term USD Corp Ucits ETF USD,SIX,Miscellaneous,Investment Trusts/Mutual Funds,5.1514,5.1514,5.1468,5.1468,-1.5343409221350774,,48100.0,USD
34U,Ulta Beauty Inc.,BX,Retail Trade,Specialty Stores,486.176,486.176,486.176,486.176,14.894481862223802,20932221568.035587,6.0,CHF
36BZ,iShares MSCI China A UCITS ETF,BX,Miscellaneous,Investment Trusts/Mutual Funds,4.499,4.499,4.488,4.488,0.24570024570024837,,195.0,CHF
3750,"Contemporary Amperex Technology Co., Limited Class H",BX,Producer Manufacturing,Electrical Products,51.77,51.77,51.77,51.77,2.215289843626599,192692099121.3371,60.0,CHF
