symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
A5G,AIB Group PLC,EURONEXT,Finance,Major Banks,9.335,9.355,9.085,9.13,-2.768903088391904,20064241415.0,2977583,EUR
BIRG,Bank of Ireland Group PLC,EURONEXT,Finance,Major Banks,16.61,16.64,16.4,16.48,-1.2582384661473986,15890000034.0,3083439,EUR
C5H,Cairn Homes PLC,EURONEXT,Consumer Durables,Homebuilding,2.09,2.1,2.055,2.08,-1.1876484560570029,1316837725.0,3091449,EUR
EG7,FBD Holdings PLC,EURONEXT,Finance,Property/Casualty Insurance,16.05,16.05,15.75,16.0,0.3134796238244559,656998518.0,4530,EUR
GL9,Glanbia PLC,EURONEXT,Consumer Non-Durables,Food: Meat/Fish/Dairy,14.4,14.75,14.4,14.75,1.1659807956104247,3534924942.0,134607,EUR
GRP,Greencoat Renewables PLC,EURONEXT,Miscellaneous,Investment Trusts/Mutual Funds,0.697,0.704,0.695,0.7,0.0,779334459.0,2159659,EUR
GVR,Glenveagh Properties PLC,EURONEXT,Consumer Durables,Homebuilding,1.948,1.95,1.914,1.948,0.5159958720330242,1008675752.0,1564440,EUR
HSW,Hostelworld Group PLC,EURONEXT,Consumer Services,Other Consumer Services,1.59,1.59,1.59,1.59,0.0,179285492.31936762,2,EUR
IR5B,Irish Continental Group PLC,EURONEXT,Transportation,Marine Shipping,6.22,6.3,6.2,6.24,1.6286644951140152,911378497.0,44334,EUR
IRES,Irish Residential Properties REIT PLC,EURONEXT,Finance,Real Estate Investment Trusts,0.955,0.955,0.937,0.95,1.931330472102994,488780120.0,1042084,EUR
KMR,Kenmare Resources PLC,EURONEXT,Non-Energy Minerals,Other Metals/Minerals,3.04,3.04,3.04,3.04,0.6622516556291397,260444033.65046507,100,EUR
KRX,Kingspan Group PLC,EURONEXT,Producer Manufacturing,Building Products,68.7,71.8,68.25,70.8,-1.8711018711018828,12990039919.0,785334,EUR
KRZ,Kerry Group PLC,EURONEXT,Consumer Non-Durables,Food: Specialty/Candy,73.0,73.7,72.75,73.5,-0.13586956521738358,11853318162.0,482573,EUR
MIO,Mincon Group PLC,EURONEXT,Producer Manufacturing,Trucks/Construction/Farm Machinery,0.55,0.55,0.535,0.535,7.000000000000006,113672746.0,166,EUR
MLC,Malin Corporation PLC,EURONEXT,Health Technology,Biotechnology,7.7,7.7,7.7,7.7,0.0,39624107.0,24,EUR
OIZ,Origin Enterprises PLC,EURONEXT,Commercial Services,Miscellaneous Commercial Services,4.12,4.245,4.1,4.13,1.1015911872705002,438183947.0,189775,EUR
PTSB,Permanent TSB Group Holdings PLC,EURONEXT,Finance,Financial Conglomerates,2.8,2.83,2.72,2.8,0.0,1525976561.0,311995,EUR
RYA,Ryanair Holdings PLC,EURONEXT,Transportation,Airlines,29.43,29.79,29.17,29.79,0.23553162853297538,31242441832.0,1193801,EUR
SENUS,Senus PLC,EURONEXT,Technology Services,Information Technology Services,6.0,6.0,6.0,6.0,17.050331642606313,,500,EUR
UPR,Uniphar PLC,EURONEXT,Distribution Services,Medical Distributors,3.58,3.67,3.495,3.6,1.838755304101837,917595209.0,1855129,EUR
