symbol,name,price,currency,change_percent,change_points,day_high,day_low,tech_rating
SPX,S&P 500,6921.45,USD,0.01,0.53,6931.28,6899.33,Buy
IXIC,US Composite Index,23480.01,USD,-0.44,-104.27,23558.17,23353.46,Buy
DJI,Dow Jones Industrial Average Index,49266.12,USD,0.55,270.03,49357.74,48792.34,Buy
VIX,CBOE Volatility Index,15.45,,0.46,0.07,15.85,15.15,Neutral
TSX,S&P/TSX Composite index,32378.64,CAD,0.76,243.15,32393.29,32036.16,Buy
UKX,UK 100 INDEX,10044.7,GBP,-0.04,-3.52,10059.42,9995.91,Buy
DAX,DAX Index,25127.46,EUR,0.02,5.2,25217.52,25024.65,Buy
PX1,CAC 40 Index,8243.47,EUR,0.12,9.55,8255.52,8203.71,Buy
FTMIB,MILANO ITALIA BORSA INDEX,45671.69,EUR,0.25,113.01,45715.15,45419.75,Buy
NI225,Japan 225 Index,51117.21,JPY,-1.63,-844.72,51866.19,51052.83,Buy
KOSPI,KOREA COMPOSITE STOCK PRICE INDEX (KOSPI),4552.38,KRW,0.03,1.31,4622.32,4527.5,Buy
000001,SSE Composite Index,4082.9788,CNY,-0.07,-2.7935,4093.8718,4067.1216,Buy
399001,Shenzhen Component Index,13959.4825,CNY,-0.51,-71.0757,14033.5937,13883.8078,Buy
HSI,Hang Seng Index,26149.31,HKD,-1.17,-309.64,26305.69,25960.34,Buy
STI,STRAITS TIMES INDEX,4739.08,SGD,-0.18,-8.55,4763.04,4726.18,Buy
XJO,S&P/ASX 200 Index,8720.8,AUD,0.29,25.2,8739.2,8693.7,Buy
NZ50G,S&P/NZX 50 Gross Index,13722.12,NZD,0.04,5.26,13736.63,13717.36,Buy
FBMKLCI,FTSE Bursa Malaysia KLCI Index,1669.57,MYR,-0.43,-7.26,1674.44,1666.34,Buy
COMPOSITE,IDX Composite Index,8925.471,IDR,-0.22,-19.342,9002.92,8918.405,Buy
SX5E,STOXX 50,5904.33,EUR,-0.32,-19.25,5935.09,5896.72,Buy
IBC,IBEX 35 Index,17654.7,EUR,0.33,58.3,17665.5,17532.8,Buy
SMI,Swiss Market Index,13350.82,CHF,0.2,26.79,13362.57,13274.91,Strong buy
WIG20,WIG20 Index,3233.92,PLN,-2.36,-78.18,3284.74,3212.43,Buy
AEX,AEX-Index,965.03,EUR,-1.44,-14.12,975.36,964.57,Buy
BEL20,BEL 20 Index,5228.77,EUR,0.15,7.82,5248.91,5211.87,Strong buy
OMXH25,OMX Helsinki 25 Index,5770.9418,EUR,-1.03,-60.3202,5831.718,5753.5865,Buy
OMXS30,OMX Stockholm 30 Index,2937.9393,SEK,-0.86,-25.3682,2958.354,2933.3696,Buy
OMXC25,OMX Copenhagen 25 Index,1892.6423,DKK,-0.3,-5.6628,1894.7235,1882.883,Buy
