symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
AB,"Atok-Big Wedge Co., Inc.",PSE,Non-Energy Minerals,Precious Metals,2.25,2.25,2.1,2.12,-3.636363636363639,5904399830.0,594000,PHP
ABA,AbaCore Capital Holdings Inc,PSE,Non-Energy Minerals,Precious Metals,0.31,0.325,0.305,0.325,6.557377049180333,1396403487.0,5540000,PHP
ABG,Asiabest Group International Inc.,PSE,Finance,Financial Conglomerates,16.36,16.38,15.08,15.4,-5.982905982905975,5400000000.0,7500,PHP
ABS,ABS-CBN Corporation,PSE,Consumer Services,Movies/Entertainment,4.01,4.09,3.88,3.88,-3.2418952618453836,3488077637.0,686000,PHP
ABSP,ABS-CBN Holdings Corporation Shs Philippine Depository Receipts Repr. 1 sh,PSE,Consumer Services,Movies/Entertainment,4.48,4.5,4.46,4.46,-0.4464285714285817,449685744.0,24000,PHP
AC,Ayala Corp.,PSE,Finance,Real Estate Development,505.0,525.0,504.5,520.0,3.1746031746031744,311258567627.0,480040,PHP
ACE,Acesite (Philippines) Hotel Corp.,PSE,Consumer Services,Hotels/Resorts/Cruise lines,1.41,1.45,1.41,1.45,2.8368794326241162,486094003.0,55000,PHP
ACEN,ACEN Corporation,PSE,Energy Minerals,Oil & Gas Production,3.06,3.07,3.02,3.04,-0.6535947712418306,120653340488.0,6889000,PHP
ACENA,ACEN Corporation Pfd Registered Shs Series A,PSE,Energy Minerals,Oil & Gas Production,1020.0,1020.0,1020.0,1020.0,0.19646365422396855,120653340488.0,20,PHP
ACENB,ACEN Corporation Pfd Registered Shs Series B,PSE,Energy Minerals,Oil & Gas Production,1080.0,1080.0,1080.0,1080.0,-0.9174311926605505,120653340488.0,50,PHP
ACPAR,Ayala Corp. Non voting Pfd Registered Shs A,PSE,Finance,Real Estate Development,2504.0,2504.0,2504.0,2504.0,0.0,311258567627.0,1030,PHP
ACPB3,Ayala Corp. Pfd Registered Shs Series B,PSE,Finance,Real Estate Development,1995.0,1995.0,1990.0,1990.0,-0.2506265664160401,311258567627.0,1170,PHP
ACPB4,Ayala Corp. Pfd Registered Shs Non Conv Non Vot Red Perpetual series 4B pfd shs,PSE,Finance,Real Estate Development,2002.0,2020.0,2002.0,2020.0,1.0,311258567627.0,50,PHP
ACR,Alsons Consolidated Resources Inc.,PSE,Utilities,Electric Utilities,0.53,0.54,0.52,0.52,-1.8867924528301903,3208664940.0,275000,PHP
AEV,Aboitiz Equity Ventures Inc.,PSE,Utilities,Electric Utilities,30.55,31.0,30.3,30.4,-0.4909983633387958,169915840497.0,380800,PHP
AGI,Alliance Global Group Inc.,PSE,Finance,Real Estate Development,8.06,8.07,7.93,7.95,0.2522068095838646,69816186216.0,1541500,PHP
ALCO,Arthaland Corporation,PSE,Finance,Real Estate Development,0.415,0.415,0.415,0.415,0.0,2207009672.0,670000,PHP
ALCPD,ArthaLand Corporation Pfd Registered Shs Series D,PSE,Finance,Real Estate Development,490.0,490.0,490.0,490.0,0.3687013519049593,2207009672.0,200,PHP
ALCPF,ArthaLand Corporation Pfd Registered Shs Series F,PSE,Finance,Real Estate Development,500.0,500.0,500.0,500.0,-0.398406374501992,2207009672.0,300,PHP
ALHI,"Anchor Land Holdings, Inc.",PSE,Finance,Real Estate Development,4.47,4.47,4.47,4.47,-0.22321428571430074,4659204395.0,2000,PHP
ALI,Ayala Land Inc.,PSE,Finance,Real Estate Development,23.0,23.65,22.85,23.4,1.7391304347826024,330975210938.0,13879700,PHP
ALLDY,"AllDay Marts, Inc.",PSE,Retail Trade,Food Retail,0.034,0.05,0.034,0.049,44.11764705882352,777142956.0,335000000,PHP
ALLHC,Ayalaland Logistics Holdings Corp.,PSE,Finance,Real Estate Development,1.5,1.56,1.5,1.56,4.0000000000000036,9128136244.0,1879000,PHP
ALTER,Alternergy Holdings Corporation,PSE,Utilities,Alternative Power Generation,0.84,0.86,0.83,0.84,1.204819277108435,3225749244.0,2557000,PHP
ANI,"AgriNurture, Inc.",PSE,Distribution Services,Food Distributors,0.53,0.53,0.52,0.53,0.0,542956827.0,201000,PHP
ANS,A. Soriano Corp.,PSE,Producer Manufacturing,Electrical Products,14.64,14.68,14.18,14.2,1.4285714285714235,17799767761.0,15300,PHP
AP,Aboitiz Power Corp.,PSE,Utilities,Alternative Power Generation,44.2,44.5,44.1,44.2,0.0,318138486825.0,221800,PHP
APC,APC Group Inc.,PSE,Energy Minerals,Integrated Oil,0.116,0.116,0.112,0.116,0.0,870487651.0,290000,PHP
APL,"Apollo Global Capital, Inc.",PSE,Finance,Financial Conglomerates,0.0059,0.006,0.0058,0.0059,0.0,1756118078.0,152000000,PHP
APO,Anglo Philippine Holdings Corp.,PSE,Non-Energy Minerals,Construction Materials,0.81,0.86,0.81,0.86,6.1728395061728305,2402642223.0,1057000,PHP
APVI,"Altus Property Ventures, Inc.",PSE,Finance,Real Estate Development,8.4,8.4,8.4,8.4,0.0,865999985.0,4900,PHP
APX,Apex Mining Co. Inc.,PSE,Non-Energy Minerals,Precious Metals,13.96,14.36,13.96,14.3,4.992657856093991,77830185109.0,10965800,PHP
ARA,Araneta Properties Inc.,PSE,Finance,Real Estate Development,0.415,0.42,0.4,0.4,-1.234567901234569,819582704.0,1930000,PHP
AREIT,AREIT Inc.,PSE,Finance,Real Estate Investment Trusts,43.2,43.8,43.0,43.0,-0.3476245654692899,159963307932.0,1031500,PHP
ASLAG,RASLAG Corp,PSE,Utilities,Alternative Power Generation,0.86,0.88,0.84,0.85,-1.1627906976744196,1290000021.0,26000,PHP
AT,Atlas Consolidated Mining & Development Corp.,PSE,Non-Energy Minerals,Other Metals/Minerals,7.44,7.79,7.44,7.6,2.150537634408592,25578804364.0,1464600,PHP
ATI,"Asian Terminals, Inc.",PSE,Transportation,Other Transportation,34.65,34.8,34.6,34.75,0.28860028860029274,67253832741.00001,55700,PHP
ATN,ATN Holdings Inc. Class A,PSE,Finance,Real Estate Development,0.495,0.495,0.495,0.495,0.0,3378402465.0,150000,PHP
ATNB,ATN Holdings Inc. Class B,PSE,Finance,Real Estate Development,0.495,0.495,0.495,0.495,0.0,3378402465.0,40000,PHP
AUB,Asia United Bank Corp.,PSE,Finance,Regional Banks,43.3,43.3,42.0,42.0,-2.3255813953488373,61877094727.0,13300,PHP
AXLM,Axelum Resources Corp.,PSE,Consumer Non-Durables,Food: Major Diversified,2.25,2.25,2.25,2.25,-0.44247787610618533,8584396434.0,12000,PHP
BALAI,"Balai Ni Fruitas, Inc.",PSE,Retail Trade,Food Retail,0.34,0.345,0.34,0.345,-1.42857142857143,515776725.00000006,230000,PHP
BC,Benguet Corp. Class A,PSE,Non-Energy Minerals,Precious Metals,5.37,5.37,5.26,5.3,-1.3035381750465602,3738221859.0,25400,PHP
BCB,Benguet Corp. Class B,PSE,Non-Energy Minerals,Precious Metals,5.4,5.4,5.4,5.4,0.0,3738221859.0,100,PHP
BCOR,"Berjaya Philippines, Inc.",PSE,Retail Trade,Specialty Stores,9.0,9.0,9.0,9.0,0.0,39071526855.0,100,PHP
