symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
AKO1L,AB Akola Group,OMXVSE,Process Industries,Agricultural Commodities/Milling,1.855,1.855,1.85,1.855,0.0,308676662.0,12218,EUR
AMG1L,Amber Grid AB,OMXVSE,Utilities,Gas Distributors,1.29,1.31,1.29,1.31,2.343750000000002,228329624.0,1822,EUR
APG1L,Apranga APB,OMXVSE,Retail Trade,Apparel/Footwear Retail,3.69,3.73,3.66,3.73,1.084010840108402,204027342.0,18914,EUR
AUG1L,AUGA group AB,OMXVSE,Process Industries,Agricultural Commodities/Milling,0.072,0.072,0.0716,0.072,0.0,16833842.0,83059,EUR
EWA1L,East West Agro AB,OMXVSE,Distribution Services,Wholesale Distributors,15.8,16.2,15.8,16.2,1.2499999999999956,15785056.0,405,EUR
GRG1L,Grigeo Group AB,OMXVSE,Process Industries,Pulp & Paper,1.15,1.155,1.145,1.15,0.0,151109990.0,16970,EUR
IGN1L,Ignitis Grupe AB,OMXVSE,Utilities,Alternative Power Generation,22.5,22.7,22.45,22.7,1.1135857461024499,1625132247.0,48437,EUR
INC1L,INVL Technology,OMXVSE,Technology Services,Information Technology Services,4.0,4.12,3.94,4.12,3.0000000000000027,48701286.0,181,EUR
INL1L,INVL Baltic Farmland AB,OMXVSE,Finance,Real Estate Development,6.6,6.6,6.6,6.6,-8.333333333333341,23245271.0,10,EUR
INR1L,INVL Baltic Real Estate UTIB EUR,OMXVSE,Finance,Real Estate Development,3.26,3.28,3.26,3.28,0.6134969325153381,25602419.0,123,EUR
IVL1L,Invalda INVL AB,OMXVSE,Finance,Financial Conglomerates,26.0,27.4,26.0,27.4,6.201550387596891,311401702.0,532,EUR
K2LT,K2 LT AB,OMXVSE,Consumer Services,Other Consumer Services,30.4,30.4,30.2,30.2,0.0,,7,EUR
KNE1L,KN Energies AB,OMXVSE,Industrial Services,Oil & Gas Pipelines,0.443,0.443,0.432,0.438,-1.3513513513513524,168896095.0,80300,EUR
KNR1L,Kauno Energija AB,OMXVSE,Utilities,Electric Utilities,1.9,2.1,1.9,2.0,5.263157894736848,81324071.0,677,EUR
LGD1L,Litgrid AB,OMXVSE,Utilities,Electric Utilities,0.872,0.88,0.864,0.88,0.0,443811648.0,1188,EUR
NEOFI,NEO Finance AB,OMXVSE,Finance,Finance/Rental/Leasing,2.94,2.94,2.94,2.94,4.255319148936175,11849984.0,2,EUR
NTU1L,Novaturas AB,OMXVSE,Consumer Services,Other Consumer Services,1.22,1.24,1.22,1.23,0.40816326530611374,9563575.0,3727,EUR
PZV1L,Pieno Zvaigzdes AB,OMXVSE,Consumer Non-Durables,Food: Meat/Fish/Dairy,1.63,1.63,1.625,1.625,-0.6116207951070342,73794780.0,2940,EUR
ROE1L,AB Artea Bankas,OMXVSE,Finance,Regional Banks,0.948,0.958,0.948,0.955,0.5263157894736847,619126253.0,185505,EUR
RSU1L,Rokiskio suris AB,OMXVSE,Consumer Non-Durables,Food: Meat/Fish/Dairy,4.6,4.6,4.52,4.54,0.8888888888888897,141389545.0,1787,EUR
TEL1L,Telia Lietuva AB,OMXVSE,Communications,Major Telecommunications,2.03,2.05,2.02,2.05,0.9852216748768483,1182704573.0,45043,EUR
UTR1L,Utenos Trikotazas AB,OMXVSE,Consumer Non-Durables,Apparel/Footwear,0.31,0.31,0.3,0.306,-1.2903225806451626,2945930.0,1646,EUR
VBL1L,Vilniaus Baldai AB,OMXVSE,Consumer Durables,Home Furnishings,10.9,10.9,10.9,10.9,1.8691588785046829,41583058.0,131,EUR
VLP1L,Vilkyskiu Pienine AB,OMXVSE,Consumer Non-Durables,Food: Meat/Fish/Dairy,11.1,11.1,10.75,10.9,-1.3574660633484195,131970150.99999999,13908,EUR
ZMP1L,Zemaitijos Pienas AB,OMXVSE,Consumer Non-Durables,Food: Meat/Fish/Dairy,2.64,2.64,2.62,2.62,-0.7575757575757582,100969431.0,216,EUR
