symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
A3,A3 Mercados SA,BCBA,Technology Services,Internet Software/Services,3405.0,3510.0,3330.0,3430.0,0.5865102639296188,837566264648.0,107355,ARS
A3D,A3 Mercados SA,BCBA,Technology Services,Internet Software/Services,2.43,2.5,2.32,2.36,1.7241379310344844,837566264647.1626,8653,USD
AAL,American Airlines Group Inc. Shs Cert Deposito Arg Repr 0.5 Sh,BCBA,Transportation,Airlines,10370.0,10390.0,10110.0,10150.0,-1.5518913676042678,12906453134199.135,46940,ARS
AALC,American Airlines Group Inc. Shs Cert Deposito Arg Repr 0.5 Sh,BCBA,Transportation,Airlines,6.8,6.8,6.8,6.8,-1.1627906976744196,12906453134186.229,1,USD
AALD,American Airlines Group Inc. Shs Cert Deposito Arg Repr 0.5 Sh,BCBA,Transportation,Airlines,6.96,7.3,6.95,7.06,-0.423131170662909,12906453134186.229,3613,USD
AAP,"Advance Auto Parts, Inc. Shs Cert Deposito Arg Repr 0.0714285714 Sh",BCBA,Retail Trade,Specialty Stores,5255.0,5395.0,5185.0,5280.0,0.5714285714285714,4273445443001.4424,14145,ARS
AAPL,Apple Inc. Shs Cert Deposito Arg Repr 0.05 Shs,BCBA,Electronic Technology,Telecommunications Equipment,19590.0,19590.0,19230.0,19390.0,-1.0209290454313424,5477681284339106.0,137055,ARS
AAPLC,Apple Inc. Shs Cert Deposito Arg Repr 0.05 Shs,BCBA,Electronic Technology,Telecommunications Equipment,12.9,13.02,12.8,13.0,-0.3067484662576622,5477681284333629.0,14,USD
AAPLD,Apple Inc. Shs Cert Deposito Arg Repr 0.05 Shs,BCBA,Electronic Technology,Telecommunications Equipment,13.49,13.49,13.16,13.25,-1.1931394481730064,5477681284333629.0,13803,USD
ABBV,"AbbVie, Inc. Shs Cert Deposito Arg Repr 0.1",BCBA,Health Technology,Pharmaceuticals: Major,33880.0,33880.0,32660.0,32660.0,-2.9708853238265003,571097302000000.0,1248,ARS
ABBVD,"AbbVie, Inc. Shs Cert Deposito Arg Repr 0.1",BCBA,Health Technology,Pharmaceuticals: Major,23.28,23.28,22.42,22.74,-2.6541095890411004,571097301999429.0,206,USD
ABEV,Ambev SA ADS Cert Deposito Arg Repr 3 ADS,BCBA,Consumer Non-Durables,Beverages: Alcoholic,12850.0,13050.0,12600.0,12730.0,0.0,65120374299387.01,5369,ARS
ABEV3,Ambev SA CEDEAR,BCBA,Consumer Non-Durables,Beverages: Alcoholic,4325.0,4460.0,4280.0,4340.0,-0.22988505747126436,65120374299387.01,18608,ARS
ABEVC,Ambev SA ADS Cert Deposito Arg Repr 3 ADS,BCBA,Consumer Non-Durables,Beverages: Alcoholic,8.53,8.53,8.53,8.53,4.024390243902441,65120374299321.89,11,USD
ABEVD,Ambev SA ADS Cert Deposito Arg Repr 3 ADS,BCBA,Consumer Non-Durables,Beverages: Alcoholic,8.8,8.9,8.65,8.65,0.5813953488372177,65120374299321.89,522,USD
ABNB,"Airbnb, Inc. Shs A Cert Deposito Arg Repr 0.06666667 Sh A",BCBA,Consumer Services,Hotels/Resorts/Cruise lines,13380.0,13480.0,13160.0,13370.0,0.30007501875468867,117442987883116.89,2624,ARS
ABNBD,"Airbnb, Inc. Shs A Cert Deposito Arg Repr 0.06666667 Sh A",BCBA,Consumer Services,Hotels/Resorts/Cruise lines,9.14,9.22,9.04,9.14,0.7717750826901906,117442987882999.47,318,USD
ABT,Abbott Laboratories Shs Cert Deposito Arg Repr 0.25 Shs,BCBA,Health Technology,Medical Specialties,41140.0,41140.0,39700.0,39760.0,-1.9723865877712032,271670505049062.06,4200,ARS
ABTC,Abbott Laboratories Shs Cert Deposito Arg Repr 0.25 Shs,BCBA,Health Technology,Medical Specialties,33.0,33.0,33.0,33.0,-1.3452914798206361,271670505048790.44,13,USD
ABTD,Abbott Laboratories Shs Cert Deposito Arg Repr 0.25 Shs,BCBA,Health Technology,Medical Specialties,28.34,28.34,27.06,28.3,1.071428571428574,271670505048790.44,404,USD
ACN,Accenture PLC Shs Cert Deposito Arg Repr 0.013333333 Shs,BCBA,Technology Services,Information Technology Services,5550.0,5565.0,5375.0,5385.0,-2.8854824165915236,244879650274170.28,14272,ARS
ACND,Accenture PLC Shs Cert Deposito Arg Repr 0.013333333 Shs,BCBA,Technology Services,Information Technology Services,3.705,3.79,3.675,3.71,-1.1984021304926746,244879650273925.4,970,USD
ACWI,iShares MSCI ACWI ETF Shs Cert Deposito Arg Repr 0.038461538 Sh,BCBA,,,8475.0,8675.0,8475.0,8530.0,-0.17554125219426564,,26011,ARS
ACWID,iShares MSCI ACWI ETF Shs Cert Deposito Arg Repr 0.038461538 Sh,BCBA,,,5.9,5.95,5.81,5.82,-0.6825938566552906,,2526,USD
ADBE,Adobe Inc. Shs Cert Deposito Arg Repr 0.02272727,BCBA,Technology Services,Packaged Software,10200.0,10440.0,10160.0,10280.0,0.9823182711198428,176177367261183.25,42748,ARS
ADBEC,Adobe Inc. Shs Cert Deposito Arg Repr 0.02272727,BCBA,Technology Services,Packaged Software,6.92,6.92,6.92,6.92,2.064896755162237,176177367261007.1,3,USD
ADBED,Adobe Inc. Shs Cert Deposito Arg Repr 0.02272727,BCBA,Technology Services,Packaged Software,7.01,7.24,6.91,7.01,0.5738880918220952,176177367261007.1,10127,USD
ADGO,Adecoagro SA Shs Cert Deposito Arg Repr 1 Sh,BCBA,Process Industries,Agricultural Commodities/Milling,13660.0,13950.0,13470.0,13520.0,-1.241782322863404,1865796463203.4631,11868,ARS
ADGOD,Adecoagro SA Shs Cert Deposito Arg Repr 1 Sh,BCBA,Process Industries,Agricultural Commodities/Milling,9.79,9.8,9.28,9.28,-0.10764262648008383,1865796463201.5977,3195,USD
ADI,"Analog Devices, Inc. Shs Cert Deposito Arg Repr 0.066666667 Shs",BCBA,Electronic Technology,Semiconductors,31840.0,31980.0,31420.0,31740.0,3.6577400391900716,214677624154401.16,176,ARS
ADP,Automatic Data Processing Inc Shs Cert Deposito Arg Repr 0.16666667 Shs,BCBA,Technology Services,Packaged Software,61850.0,64075.0,61850.0,63000.0,-1.6009371339320577,148537160082251.06,218,ARS
AEG,Aegon Ltd. Shs Cert. Deposito Arg. Repr. 1 Sh,BCBA,Finance,Multi-Line Insurance,11710.0,11810.0,11670.0,11670.0,-0.1710863986313088,16717289794717.535,286,ARS
AEM,Agnico Eagle Mines Ltd Shs Cert Deposito Arg Repr 0.125 Sh,BCBA,Non-Energy Minerals,Precious Metals,54975.0,56250.0,54850.0,55625.0,3.104726598702502,156536164445161.0,2080,ARS
AEMD,Agnico Eagle Mines Ltd Shs Cert Deposito Arg Repr 0.125 Sh,BCBA,Non-Energy Minerals,Precious Metals,38.68,38.68,37.83,37.83,4.995836802664439,156536164445004.5,72,USD
AGRO,Agrometal SA,BCBA,Producer Manufacturing,Trucks/Construction/Farm Machinery,60.0,61.2,57.4,58.8,-1.342281879194638,71519998169.0,2902687,ARS
AGROD,Agrometal SA,BCBA,Producer Manufacturing,Trucks/Construction/Farm Machinery,0.038,0.039,0.038,0.039,2.6315789473684235,71519998168.92848,3114,USD
AI,"C3.ai, Inc. Shs Cert Deposito Arg Repr 0.2 Shs",BCBA,Technology Services,Packaged Software,3950.0,4340.0,3857.5,3995.0,5.408970976253298,2495514268398.2686,90376,ARS
AIC,"C3.ai, Inc. Shs Cert Deposito Arg Repr 0.2 Shs",BCBA,Technology Services,Packaged Software,2.73,2.73,2.73,2.73,-22.0,2495514268395.7734,4,USD
AID,"C3.ai, Inc. Shs Cert Deposito Arg Repr 0.2 Shs",BCBA,Technology Services,Packaged Software,2.79,2.91,2.66,2.83,4.81481481481481,2495514268395.7734,876,USD
AIG,"American International Group, Inc. Shs Cert Deposito Arg Repr 0.20 Shs",BCBA,Finance,Multi-Line Insurance,22120.0,22440.0,22120.0,22140.0,-0.44964028776978415,57515850333333.33,3483,ARS
AIGD,"American International Group, Inc. Shs Cert Deposito Arg Repr 0.20 Shs",BCBA,Finance,Multi-Line Insurance,14.72,15.43,14.72,15.43,3.1417112299465164,57515850333275.82,120,USD
AKO.B,Embotelladora Andina S.A. ADR Class B,BCBA,Consumer Non-Durables,Beverages: Non-Alcoholic,46600.0,50000.0,46600.0,50000.0,8.695652173913043,6454332440466.546,52,ARS
ALAB,"Astera Labs, Inc. Shs",BCBA,Electronic Technology,Semiconductors,5900.0,6040.0,5670.0,5750.0,-0.5190311418685121,41660451455988.45,34804,ARS
ALUA,Aluar Aluminio Argentino SAIC,BCBA,Non-Energy Minerals,Aluminum,1045.0,1060.0,1014.0,1031.0,-0.4826254826254826,2900800000000.0,1263897,ARS
ALUAC,Aluar Aluminio Argentino SAIC,BCBA,Non-Energy Minerals,Aluminum,0.678,0.683,0.678,0.683,-2.2889842632331767,2900799999997.0996,24,USD
ALUAD,Aluar Aluminio Argentino SAIC,BCBA,Non-Energy Minerals,Aluminum,0.715,0.725,0.693,0.71,0.0,2900799999997.0996,34767,USD
AMAT,"Applied Materials, Inc. Shs Cert.Deposito Arg.Repr. 0.20 Shs",BCBA,Producer Manufacturing,Industrial Machinery,103000.0,105100.0,100825.0,102475.0,1.8385093167701865,380692898011544.06,556,ARS
AMATD,"Applied Materials, Inc. Shs Cert.Deposito Arg.Repr. 0.20 Shs",BCBA,Producer Manufacturing,Industrial Machinery,70.6,70.6,70.6,70.6,0.857142857142849,380692898011163.44,20,USD
AMD,"Advanced Micro Devices, Inc. Shs Cert Deposito Arg Repr 0.1 Shs",BCBA,Electronic Technology,Semiconductors,38160.0,38940.0,37780.0,37860.0,-0.05279831045406547,592085567448773.4,39506,ARS
AMDC,"Advanced Micro Devices, Inc. Shs Cert Deposito Arg Repr 0.1 Shs",BCBA,Electronic Technology,Semiconductors,25.08,25.08,25.08,25.08,-0.9869719699960523,592085567448181.4,66,USD
AMDD,"Advanced Micro Devices, Inc. Shs Cert Deposito Arg Repr 0.1 Shs",BCBA,Electronic Technology,Semiconductors,26.01,26.8,25.87,26.05,0.6957866254348655,592085567448181.4,5350,USD
AMGN,Amgen Inc. Shs Cert Deposito Arg Repr 0.033333 Shs,BCBA,Health Technology,Biotechnology,17560.0,17770.0,17090.0,17180.0,-1.7724413950829045,272985639245310.25,2939,ARS
AMGND,Amgen Inc. Shs Cert Deposito Arg Repr 0.033333 Shs,BCBA,Health Technology,Biotechnology,12.29,12.29,11.8,11.8,-1.8302828618968294,272985639245037.28,312,USD
AMX,America Movil SAB de CV ADR Class L,BCBA,Communications,Wireless Telecommunications,32120.0,32380.0,31580.0,32380.0,1.9521410579345089,93322899723579.72,1081,ARS
AMXD,America Movil SAB de CV ADR Class L,BCBA,Communications,Wireless Telecommunications,23.0,23.0,21.5,21.5,-8.898305084745768,93322899723486.4,122,USD
AMZN,"Amazon.com, Inc. Shs Cert Deposito Arg Repr 0.00694444 Sh",BCBA,Retail Trade,Internet Retail,2565.0,2602.5,2532.5,2552.5,-0.3902439024390244,3774432797427129.0,521719,ARS
AMZNC,"Amazon.com, Inc. Shs Cert Deposito Arg Repr 0.00694444 Sh",BCBA,Retail Trade,Internet Retail,1.725,1.725,1.69,1.695,-0.29411764705881727,3774432797423355.0,1517,USD
AMZND,"Amazon.com, Inc. Shs Cert Deposito Arg Repr 0.00694444 Sh",BCBA,Retail Trade,Internet Retail,1.755,1.78,1.73,1.76,0.2849002849002915,3774432797423355.0,118762,USD
ANF,Abercrombie & Fitch Co Shs Cert Deposito Arg Repr 1 Sh,BCBA,Retail Trade,Apparel/Footwear Retail,146025.0,148800.0,144500.0,146500.0,0.32528676596473205,6463069770562.7705,4286,ARS
ANFD,Abercrombie & Fitch Co Shs Cert Deposito Arg Repr 1 Sh,BCBA,Retail Trade,Apparel/Footwear Retail,103.0,103.0,100.0,100.0,0.20040080160320925,6463069770556.308,7,USD
ARCO,"Arcos Dorados Holdings, Inc. A Cert Deposito Arg Repr 2 Shs",BCBA,Consumer Services,Restaurants,24330.0,24330.0,23300.0,23630.0,0.5959982971477225,2361979707070.707,3383,ARS
ARCOD,"Arcos Dorados Holdings, Inc. A Cert Deposito Arg Repr 2 Shs",BCBA,Consumer Services,Restaurants,16.31,16.35,16.16,16.35,1.2383900928792748,2361979707068.345,27,USD
ARKK,ARK Innovation ETF Shs Cert Deposito Arg Repr 0.1 Sh,BCBA,Miscellaneous,Investment Trusts/Mutual Funds,12090.0,12210.0,11890.0,11960.0,-0.7468879668049793,,18756,ARS
ARKKC,ARK Innovation ETF Shs Cert Deposito Arg Repr 0.1 Sh,BCBA,Miscellaneous,Investment Trusts/Mutual Funds,7.91,7.95,7.91,7.95,-2.692778457772335,,245,USD
ARKKD,ARK Innovation ETF Shs Cert Deposito Arg Repr 0.1 Sh,BCBA,Miscellaneous,Investment Trusts/Mutual Funds,8.23,8.27,8.11,8.22,-0.24271844660193656,,4179,USD
ARM,Arm Holdings Plc ADR Cert Deposito Arg Repr 0.037037037 ADR,BCBA,Electronic Technology,Semiconductors,6345.0,6610.0,6140.0,6220.0,-3.491078355314197,175884093919191.94,15351,ARS
ARMD,Arm Holdings Plc ADR Cert Deposito Arg Repr 0.037037037 ADR,BCBA,Electronic Technology,Semiconductors,4.355,4.53,4.23,4.24,-6.813186813186804,175884093919016.06,441,USD
ASML,ASML Holding NV Shs Cert Deposito Arg Repr 0.00684931 Shs,BCBA,Electronic Technology,Semiconductors,15520.0,15900.0,14570.0,14760.0,-2.766798418972332,807866033840473.6,81209,ARS
