symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
AIR,Airobot Technologies AS,OMXTSE,Producer Manufacturing,Industrial Machinery,1.87,1.9,1.87,1.9,0.0,,464,EUR
ARC1T,Arco Vara AS,OMXTSE,Finance,Real Estate Development,1.595,1.61,1.595,1.61,0.9404388714733621,27702545.0,1217,EUR
BERCM,Bercman Technologies AS,OMXTSE,Electronic Technology,Electronic Equipment/Instruments,1.495,1.495,1.495,1.495,2.3972602739726128,,2,EUR
CPA1T,Coop Pank AS,OMXTSE,Finance,Regional Banks,2.205,2.215,2.205,2.21,0.22675736961450763,228564126.0,34143,EUR
EEG1T,Ekspress Grupp AS,OMXTSE,Consumer Services,Publishing: Books/Magazines,1.235,1.235,1.235,1.235,0.0,37600032.0,700,EUR
EFCUPFFT,EfTEN United Property Fund Units EUR,OMXTSE,,,9.84,9.84,9.7305,9.8,-0.4065040650406418,,362,EUR
EFT1T,EfTEN Real Estate Fund AS,OMXTSE,Miscellaneous,Investment Trusts/Mutual Funds,19.8,19.8,19.75,19.75,-0.2525252525252561,228191040.0,129,EUR
GRB2G,Grab2go AS,OMXTSE,Technology Services,Packaged Software,0.06,0.066,0.0594,0.0594,0.0,,30996,EUR
HAE1T,Harju Elekter Group AS,OMXTSE,Producer Manufacturing,Electrical Products,5.36,5.46,5.36,5.44,1.8726591760299727,99215970.0,9129,EUR
HPR1T,Hepsor AS,OMXTSE,Finance,Real Estate Development,6.12,6.3,6.1,6.3,2.9411764705882306,23944635.0,1487,EUR
INF1T,Infortar AS,OMXTSE,Finance,Financial Conglomerates,45.0,45.2,45.0,45.2,0.44444444444445075,909955759.0,636,EUR
LHV1T,LHV Group AS,OMXTSE,Finance,Major Banks,3.585,3.585,3.54,3.565,-0.696378830083563,1177003625.0,195520,EUR
LINDA,Linda Nektar AS,OMXTSE,Consumer Non-Durables,Beverages: Alcoholic,5.55,5.6,5.55,5.6,0.0,8848801.0,23,EUR
MAGIC,TextMagic AS,OMXTSE,Technology Services,Packaged Software,1.715,1.82,1.715,1.815,5.217391304347817,14662500.0,2688,EUR
MODE,Modera AS,OMXTSE,Technology Services,Packaged Software,4.91,4.97,4.91,4.97,1.2219959266802365,,89,EUR
MOLNR,J. Molner AS,OMXTSE,Health Technology,Pharmaceuticals: Major,25.8,26.4,25.8,26.4,2.325581395348829,43498823.0,35,EUR
MRK1T,Merko Ehitus AS,OMXTSE,Industrial Services,Engineering & Construction,30.1,30.2,30.1,30.15,0.16611295681062177,532770030.0,1389,EUR
NCN1T,Nordecon AS,OMXTSE,Industrial Services,Engineering & Construction,0.699,0.706,0.699,0.699,0.1432664756446993,21628637.0,5217,EUR
NHCBHFFT,Baltic Horizon Fund,OMXTSE,Miscellaneous,Investment Trusts/Mutual Funds,0.1538,0.1538,0.153,0.153,-0.4554326610279806,,15891,EUR
PKG1T,Pro Kapital Grupp AS,OMXTSE,Finance,Real Estate Development,0.95,0.98,0.95,0.98,2.0833333333333353,54420435.0,4067,EUR
PNKTD,Punktid Technologies AS,OMXTSE,Technology Services,Packaged Software,0.16,0.16,0.16,0.16,0.0,,5,EUR
PRF1T,PRFoods AS,OMXTSE,Consumer Non-Durables,Food: Meat/Fish/Dairy,0.081,0.081,0.0772,0.08,-1.234567901234569,3052311.0,13731,EUR
PRIMO,Primostar Group AS,OMXTSE,Process Industries,Industrial Specialties,4.28,4.28,4.28,4.28,0.0,,6,EUR
ROBUS,Robus Group AS,OMXTSE,Consumer Durables,Recreational Products,0.26,0.278,0.26,0.278,6.923076923076929,,392,EUR
SAUNA,Saunum Group AS,OMXTSE,Producer Manufacturing,Industrial Machinery,2.79,2.79,2.77,2.77,0.0,3983437.0,130,EUR
SFG1T,Silvano Fashion Group AS,OMXTSE,Consumer Non-Durables,Apparel/Footwear,1.235,1.235,1.225,1.235,0.40650406504065983,44280001.0,5419,EUR
SKN1T,Nordic Fibreboard AS,OMXTSE,Consumer Durables,Home Furnishings,0.78,0.78,0.78,0.78,0.6451612903225812,6586772.0,500,EUR
TAL1T,Tallink Grupp AS,OMXTSE,Transportation,Marine Shipping,0.601,0.603,0.601,0.602,0.16638935108153094,446885032.0,411967,EUR
TKM1T,TKM Grupp AS,OMXTSE,Retail Trade,Food Retail,9.61,9.62,9.61,9.62,0.10405827263267209,391407583.0,3452,EUR
TPD1T,Trigon Property Development AS,OMXTSE,Consumer Durables,Home Furnishings,0.62,0.622,0.62,0.62,1.6393442622950833,2744427.0,353,EUR
TSM1T,Tallinna Sadam AS,OMXTSE,Transportation,Other Transportation,1.452,1.468,1.452,1.46,0.5509641873278243,381876006.0,47911,EUR
TVE1T,Tallinna Vesi AS Class A,OMXTSE,Utilities,Water Utilities,11.25,11.25,11.15,11.25,0.44642857142857784,223999996.0,279,EUR
