symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
ABBEYBDS,Abbey Mortgage Bank Plc,NSENG,Finance,Finance/Rental/Leasing,11.2,11.2,11.2,11.2,-9.677419354838717,179868133920.0,924085,NGN
ABCTRANS,ABC Transport PLC,NSENG,Transportation,Other Transportation,7.43,7.43,7.43,7.43,9.911242603550296,16174124093.0,1633505,NGN
ACADEMY,Academy Press PLC,NSENG,Consumer Services,Publishing: Books/Magazines,8.35,8.35,8.35,8.35,0.0,7575120448.0,790144,NGN
ACCESSCORP,Access Holdings Plc,NSENG,Finance,Major Banks,24.0,24.4,23.9,24.15,0.624999999999994,1253074875000.0,52050911,NGN
AFRINSURE,African Alliance Insurance PLC,NSENG,Finance,Life/Health Insurance,0.2,0.2,0.2,0.2,0.0,4117000060.9999995,0,NGN
AFRIPRUD,Africa Prudential Plc,NSENG,Technology Services,Packaged Software,16.0,16.1,16.0,16.05,1.2618296529968522,63400001526.0,1776987,NGN
AFROMEDIA,Afromedia PLC,NSENG,Commercial Services,Advertising/Marketing Services,0.24,0.24,0.24,0.24,0.0,1065371226.0,0,NGN
AIICO,Aiico Insurance PLC,NSENG,Finance,Life/Health Insurance,4.11,4.11,4.06,4.1,-0.7263922518159867,151179799619.0,16450056,NGN
AIRTELAFRI,Airtel Africa Plc,NSENG,Communications,Wireless Telecommunications,2270.0,2270.0,2270.0,2270.0,0.0,24142803571981.715,241,NGN
ALEX,Aluminium Extrusion Industries PLC,NSENG,Non-Energy Minerals,Aluminum,17.2,17.2,17.2,17.2,0.0,3783243259.0,178433,NGN
ARADEL,Aradel Holdings Plc,NSENG,Energy Minerals,Integrated Oil,991.0,991.0,991.0,991.0,0.0,4305741124023.0,1884050,NGN
AUSTINLAZ,Austin Laz & Co. Plc,NSENG,Consumer Durables,Electronics/Appliances,5.0,5.09,5.0,5.09,1.7999999999999972,5399299927.0,1659111,NGN
AVAIF,AVA Infrastructure Fund,NSENG,,,1000000.0,1000000.0,1000000.0,1000000.0,0.0,,10,NGN
BERGER,Berger Paints Nigeria PLC,NSENG,Process Industries,Industrial Specialties,75.0,75.0,75.0,75.0,0.0,21736759186.0,293627,NGN
BETAGLAS,Beta Glass Plc.,NSENG,Process Industries,Containers/Packaging,412.0,412.0,412.0,412.0,3.595675132009055,238606632525.0,283565,NGN
BUACEMENT,BUA Cement Plc,NSENG,Non-Energy Minerals,Construction Materials,192.0,192.0,192.0,192.0,0.0,6501956250000.0,648255,NGN
