symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
ABQK,AHLI BANK Q.P.S.C.,QSE,Finance,Regional Banks,3.815,3.9,3.815,3.854,1.02228047182176,9730072091,581560,QAR
AHCS,Aamal Company Q.S.C.,QSE,Distribution Services,Medical Distributors,0.88,0.888,0.873,0.888,0.90909090909091,5474700535,3252694,QAR
AKHI,Al Khaleej Takaful Group,QSE,Finance,Property/Casualty Insurance,2.415,2.455,2.413,2.425,0.5389718076285199,612669714,2318412,QAR
BEMA,Damaan Islamic Insurance Company (Beema),QSE,Finance,Multi-Line Insurance,4.44,4.44,4.44,4.44,0.0,880000019,273,QAR
BLDN,Baladna Q.P.S.C,QSE,Process Industries,Agricultural Commodities/Milling,1.296,1.296,1.286,1.286,-0.31007751937984523,2742157046,5700646,QAR
BRES,Barwa Real Estate Co.,QSE,Finance,Real Estate Development,2.686,2.697,2.679,2.694,0.4848936963819433,10483017657,2859647,QAR
CBQK,Commercial Bank (Q.S.C.),QSE,Finance,Investment Banks/Brokers,4.85,4.901,4.83,4.855,-0.5122950819672022,19762739215,3738649,QAR
DBIS,Dlala Brokerage and Investment Holding Company,QSE,Finance,Investment Banks/Brokers,0.981,0.982,0.958,0.958,-0.9307135470527413,178202424,377161,QAR
DHBK,Doha Bank,QSE,Finance,Major Banks,2.923,2.951,2.904,2.949,1.235839340885686,8898340053,6898979,QAR
DOHI,Doha Insurance Co.,QSE,Finance,Property/Casualty Insurance,2.777,2.799,2.777,2.791,-0.28581636298678126,1386500001,14396,QAR
DUBK,Dukhan Bank Q.P.S.C.,QSE,Finance,Regional Banks,3.598,3.598,3.556,3.57,-0.6954102920723325,18938508651,566015,QAR
ERES,Ezdan Holding Group,QSE,Finance,Real Estate Development,1.02,1.02,1.003,1.01,-0.2961500493583309,26896317875,13225114,QAR
FALH,Al Faleh Educational Holding Co.,QSE,Commercial Services,Miscellaneous Commercial Services,0.664,0.674,0.664,0.665,-0.44910179640718595,158640003,2620721,QAR
GISS,Gulf International Services QSC,QSE,Energy Minerals,Oil & Gas Production,2.62,2.62,2.604,2.61,-0.11481056257176096,4857880472,1227200,QAR
GWCS,Gulf Warehousing Co.,QSE,Transportation,Other Transportation,2.48,2.48,2.348,2.348,-6.862356207854028,1459218426,1190451,QAR
IGRD,Estithmar Holding Q.P.S.C,QSE,Finance,Financial Conglomerates,4.265,4.297,4.189,4.21,-1.750291715285885,15659253540,6726698,QAR
IHGS,Inma Holding Company,QSE,Finance,Investment Banks/Brokers,3.051,3.09,3.05,3.08,-0.9009009009009016,178119612,184211,QAR
IQCD,Industries of Qatar Co.,QSE,Non-Energy Minerals,Steel,12.4,12.41,12.13,12.13,-2.1774193548387064,75625000000,3671380,QAR
MARK,AlRayan Bank,QSE,Finance,Investment Banks/Brokers,2.352,2.362,2.349,2.362,0.42517006802722074,21929400373,4128317,QAR
MCCS,Mannai Corporation Q.P.S.C.,QSE,Technology Services,Information Technology Services,5.355,5.58,5.355,5.476,2.5660235999250713,2362162092,3325486,QAR
MCGS,Medicare Group QSC,QSE,Health Services,Hospital/Nursing Management,6.18,6.18,6.141,6.142,-0.6148867313915756,1732550893,393195,QAR
MERS,Almeera Consumer Goods Co. QSC,QSE,Retail Trade,Specialty Stores,15.02,15.06,14.94,15.02,0.1333333333333305,3201796122,113927,QAR
MEZA,Meeza QSTP LLC,QSE,Technology Services,Data Processing Services,3.389,3.41,3.355,3.388,-0.029507229271168188,2199393114,509987,QAR
MFMS,Mosanada Facilities Management Services Q.P.S.C.,QSE,Commercial Services,Miscellaneous Commercial Services,9.472,9.521,9.472,9.519,1.2767315671880095,658070000,11933,QAR
MHAR,Al Mahhar Holding Company QPSC,QSE,Electronic Technology,Electronic Equipment/Instruments,2.42,2.45,2.358,2.423,0.9583333333333388,486449980,108243,QAR
MKDM,Mekdam Holding Group Company,QSE,Industrial Services,Engineering & Construction,2.987,3.01,2.97,2.985,-0.1672240802675698,472794712,468849,QAR
MPHC,Mesaieed Petrochemical Holding Company Q.S.C.,QSE,Process Industries,Chemicals: Specialty,1.083,1.087,1.077,1.079,-0.8272058823529521,13643607407,8259592,QAR
MRDS,Mazaya Real Estate Development Company,QSE,Finance,Real Estate Development,0.597,0.604,0.596,0.6,0.0,599999987,3077117,QAR
NLCS,Alijarah Holding,QSE,Finance,Real Estate Development,0.705,0.708,0.697,0.697,-5.170068027210889,362195062,10500219,QAR
ORDS,Ooredoo Q.P.S.C,QSE,Communications,Wireless Telecommunications,14.2,14.27,14.18,14.26,0.07017543859648974,45773727180,1568202,QAR
QAMC,Qatar Aluminium Manufacturing Company,QSE,Non-Energy Minerals,Aluminum,1.778,1.8,1.778,1.785,-0.7230255839822093,10094437377,4265407,QAR
QATI,Qatar Insurance Co.,QSE,Finance,Multi-Line Insurance,2.28,2.3,2.199,2.199,-3.973799126637563,7675337787,2102799,QAR
QCFS,Qatar Cinema & Film Distribution Co.,QSE,Consumer Services,Movies/Entertainment,2.263,2.424,2.263,2.424,-0.04123711340205732,152309283,4030,QAR
QEWS,Nebras Energy,QSE,Utilities,Electric Utilities,15.46,15.46,15.38,15.4,-0.32362459546924877,17116000462,197468,QAR
QFBQ,Lesha Bank L.L.C,QSE,Finance,Investment Managers,1.87,1.88,1.86,1.86,-0.5347593582887704,2069760056,633674,QAR
