symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
786,786 Investments Limited,PSX,Finance,Investment Managers,23.99,27.63,22.62,23.09,-8.117787504974132,,165894,PKR
AABS,Al-Abbas Sugar Mills Ltd.,PSX,Process Industries,Chemicals: Specialty,925.0,1034.0,900.0,900.05,-5.0870514294150535,16464495912.999998,1485,PKR
AATM,Ali Asghar Textile Mills Limited,PSX,Process Industries,Textiles,39.0,39.0,37.48,35.56,0.0,,231,PKR
ABL,Allied Bank Limited,PSX,Finance,Major Banks,170.0,171.0,157.19,157.86,-9.61351273976524,199987120037.0,1046044,PKR
ABOT,Abbott Laboratories Pakistan Limited,PSX,Health Technology,Pharmaceuticals: Major,975.0,998.0,933.0,945.82,-8.151413921690486,100813820785.0,3138,PKR
ACPL,Attock Cement Pakistan Limited,PSX,Non-Energy Minerals,Construction Materials,255.0,269.0,255.0,260.43,-3.587294535761883,37121768731.0,95143,PKR
ADAMS,Adam Sugar Mills Limited,PSX,Process Industries,Agricultural Commodities/Milling,70.1,75.0,70.01,76.21,0.0,1317747704.0,487,PKR
ADMM,Artistic Denim Mills Limited,PSX,Consumer Non-Durables,Apparel/Footwear,50.0,54.0,46.13,50.44,-1.5804878048780533,4305000000.0,83484,PKR
AGHA,Agha Steel Industries Ltd.,PSX,Non-Energy Minerals,Steel,6.15,6.44,6.02,6.06,-13.675213675213676,4246251196.0,7457643,PKR
AGIC,Askari General Insurance Co. Ltd.,PSX,Finance,Property/Casualty Insurance,33.52,37.0,32.85,33.0,-9.564264181967667,,20938,PKR
AGIL,Agriauto Industries Limited,PSX,Producer Manufacturing,Auto Parts: OEM,158.06,169.49,152.63,154.16,-9.098413821569672,6105239868.0,129064,PKR
AGL,Agritech Limited,PSX,Process Industries,Chemicals: Agricultural,47.7,51.0,47.7,47.7,-9.999999999999995,31751464111.0,431873,PKR
AGP,AGP Limited,PSX,Health Technology,Pharmaceuticals: Major,200.01,208.0,196.28,196.28,-10.000458526296484,61065198975.0,245306,PKR
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,PSX,Process Industries,Agricultural Commodities/Milling,7.01,7.7,6.78,6.78,-12.853470437017995,,140615,PKR
AGTL,Al-Ghazi Tractors Ltd.,PSX,Producer Manufacturing,Trucks/Construction/Farm Machinery,360.0,375.0,338.99,339.12,-9.964157706093184,21832215224.0,14082,PKR
AHCL,Arif Habib Corporation Limited,PSX,Utilities,Alternative Power Generation,14.32,14.9,14.32,14.32,-9.993714644877434,67060128864.0,4521947,PKR
AHL,Arif Habib Limited,PSX,Finance,Investment Banks/Brokers,85.51,92.0,85.51,85.97,-9.514787917061367,6207953192.0,186317,PKR
AHTM,Ahmed Hassan Textile Mills Ltd.,PSX,Process Industries,Agricultural Commodities/Milling,104.0,115.0,101.06,103.86,-7.507347047822607,951268642.0,9324,PKR
AICL,Adamjee Insurance Co. Limited,PSX,Finance,Multi-Line Insurance,73.07,75.9,73.07,73.07,-10.001231678778181,28416500854.0,541804,PKR
AIRLINK,Air Link Communication Ltd.,PSX,Distribution Services,Electronics Distributors,147.27,156.5,147.27,149.26,-8.782008189207362,64677905393.0,1861865,PKR
AKBL,Askari Bank Limited,PSX,Finance,Major Banks,91.29,92.74,91.29,91.29,-9.997042295178941,147002417724.0,2712888,PKR
AKDHL,AKD Hospitality Limited,PSX,Finance,Real Estate Development,148.5,149.0,148.5,165.0,0.0,413700038.0,52,PKR
AKDSL,AKD Securities Limited,PSX,Finance,Investment Banks/Brokers,35.38,35.38,35.38,35.38,-9.997456118036121,21928461890.0,162458,PKR
AKGL,Al-Khair Gadoon Limited,PSX,Process Industries,Industrial Specialties,60.0,60.0,58.0,58.0,4.410441044104416,,8,PKR
ALAC,Askari Life Assurance Co. Ltd.,PSX,Finance,Life/Health Insurance,11.16,13.25,10.85,10.85,-10.03316749585407,,124259,PKR
ALIFE,Adamjee Life Assurance Company Limited,PSX,Finance,Life/Health Insurance,34.11,36.0,32.53,34.43,-4.7315993359158846,9486749840.0,3007,PKR
ALNRS,Al-Noor Sugar Mills Limited,PSX,Process Industries,Agricultural Commodities/Milling,130.0,130.0,117.05,129.92,-0.09996155324876882,2662604940.0,302372,PKR
ALTN,Altern Energy Limited,PSX,Utilities,Electric Utilities,8.63,9.5,8.62,8.94,-7.068607068607066,3495715605.0,598663,PKR
AMBL,Apna Microfinance Bank Limited,PSX,Finance,Major Banks,22.75,25.0,22.48,23.2,-7.1257005604483625,10716043975.0,679,PKR
AMTEX,Amtex Limited,PSX,Process Industries,Textiles,3.51,3.9,3.35,3.45,-19.014084507042245,1105171800.0,1156492,PKR
ANL,Azgard Nine Limited,PSX,Process Industries,Textiles,9.25,9.25,9.25,9.25,-10.019455252918283,5034873257.0,307623,PKR
ANLNV,Azgard Nine Limited,PSX,Process Industries,Textiles,6.96,7.9,6.96,7.5,-3.8461538461538445,5034873257.0,1446,PKR
