symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
1,CK Hutchison Holdings Ltd,HKEX,Retail Trade,Specialty Stores,63.0,63.7,61.75,62.65,0.0,239952289609.0,9277633.0,HKD
10,Hang Lung Group Limited,HKEX,Finance,Real Estate Development,16.54,16.59,16.29,16.4,0.061012812690652896,22316922879.0,1379085.0,HKD
100,"MiniMax Group, Inc",HKEX,Technology Services,Packaged Software,827.5,908.0,784.0,821.0,9.102990033222591,236010570684.0,3342140.0,HKD
1000,Beijing Media Corp. Ltd. Class H,HKEX,Commercial Services,Advertising/Marketing Services,0.73,0.73,0.73,0.73,1.3888888888888902,142063206.0,1500.0,HKD
1001,Hong Kong Shanghai Alliance Holdings Ltd.,HKEX,Non-Energy Minerals,Steel,0.4,0.4,0.39,0.39,-2.500000000000002,254476127.0,76000.0,HKD
1002,V.S. International Group Limited,HKEX,Producer Manufacturing,Miscellaneous Manufacturing,0.062,0.062,0.057,0.057,-9.52380952380952,143131829.0,8000.0,HKD
1003,Huanxi Media Group Ltd.,HKEX,Consumer Services,Movies/Entertainment,0.25,0.25,0.235,0.24,-3.2258064516129057,906805083.0,4050000.0,HKD
1004,China Smarter Energy Group Holdings Limited,HKEX,Consumer Non-Durables,Apparel/Footwear,0.34,0.34,0.325,0.325,-5.797101449275352,161707558.0,68300.0,HKD
1005,Matrix Holdings Limited,HKEX,Consumer Durables,Recreational Products,0.445,0.445,0.445,0.445,8.536585365853666,336510467.0,40000.0,HKD
1008,Litu Holdings Limited,HKEX,Process Industries,Containers/Packaging,0.2,0.2,0.194,0.195,-1.5151515151515165,310441158.0,54000.0,HKD
1009,International Entertainment Corporation,HKEX,Finance,Finance/Rental/Leasing,0.94,0.97,0.94,0.97,1.0416666666666676,1314390908.0,70000.0,HKD
101,Hang Lung Properties Limited,HKEX,Finance,Real Estate Development,9.94,9.97,9.61,9.65,-1.9308943089430843,49757402178.0,12593085.0,HKD
1010,Sky Blue 11 Company Limited,HKEX,Distribution Services,Wholesale Distributors,0.083,0.085,0.083,0.084,-4.545454545454533,39097886.0,1304000.0,HKD
1011,"China NT Pharma Group Co., Ltd.",HKEX,Health Technology,Biotechnology,0.74,0.74,0.74,0.74,-1.3333333333333344,505684479.0,40000.0,HKD
1013,Wai Chun Group Holdings Limited,HKEX,Distribution Services,Wholesale Distributors,0.71,0.71,0.71,0.71,0.0,189846558.0,10000.0,HKD
1020,Ciprun Technology Holdings Company Limited,HKEX,Retail Trade,Internet Retail,0.39,0.39,0.365,0.365,-2.6666666666666687,2006805725.0,4320000.0,HKD
1022,Feiyu Technology International Company Ltd.,HKEX,Technology Services,Internet Software/Services,0.6,0.6,0.5,0.52,-13.333333333333327,1049665252.0,8421000.0,HKD
1023,Sitoy Group Holdings Limited,HKEX,Consumer Non-Durables,Consumer Sundries,0.52,0.52,0.51,0.52,0.0,500605035.0,608000.0,HKD
1024,Kuaishou Technology Class B,HKEX,Commercial Services,Advertising/Marketing Services,61.25,61.8,59.9,60.25,-0.823045267489712,265206997778.00003,34870591.0,HKD
1025,KNT Holdings Limited,HKEX,Consumer Non-Durables,Apparel/Footwear,0.28,0.28,0.28,0.28,0.0,113222881.0,78800.0,HKD
1026,Universal Technologies Holdings Limited,HKEX,Utilities,Water Utilities,0.112,0.112,0.112,0.112,0.9009009009009018,609988313.0,40000.0,HKD
1027,Asia Strategy Digit Technology Holdings Limited,HKEX,Consumer Non-Durables,Consumer Sundries,2.1,2.2,2.1,2.2,3.7735849056603805,874605927.0,20000.0,HKD
1028,C.banner International Holdings Ltd.,HKEX,Consumer Non-Durables,Apparel/Footwear,0.71,0.77,0.68,0.7,2.9411764705882213,1694831951.0,458000.0,HKD
1029,IRC Limited,HKEX,Non-Energy Minerals,Steel,0.55,0.56,0.55,0.56,0.0,1073476801.0,372000.0,HKD
103,Shougang Century Holdings Limited,HKEX,Producer Manufacturing,Metal Fabrication,2.55,2.55,2.12,2.28,-10.937500000000009,1369671532.0,749000.0,HKD
1030,Seazen Group Ltd.,HKEX,Finance,Real Estate Development,2.27,2.33,2.2,2.22,-2.2026431718061596,16428538519.000002,53778000.0,HKD
1033,Sinopec Oilfield Service Corporation Class H,HKEX,Industrial Services,Contract Drilling,1.46,1.88,1.4,1.52,13.432835820895516,61579802898.0,2724349600.0,HKD
1036,"Vanke Overseas Investment Holding Co., Ltd.",HKEX,Finance,Investment Managers,1.8,1.8,1.75,1.8,-2.702702702702705,701150244.0,58000.0,HKD
1037,Maxnerva Technology Services Limited,HKEX,Electronic Technology,Electronic Components,0.59,0.59,0.55,0.57,-6.557377049180333,430765822.0,2028000.0,HKD
1038,CK Infrastructure Holdings Limited,HKEX,Utilities,Electric Utilities,65.75,66.45,65.75,66.1,0.5323193916349723,157046876770.0,1112105.0,HKD
1039,Changyou International Group Limited,HKEX,Technology Services,Packaged Software,0.054,0.056,0.05,0.056,-3.4482758620689684,105035285.0,2008000.0,HKD
104,Asia Commercial Holdings Limited,HKEX,Retail Trade,Specialty Stores,0.225,0.225,0.225,0.225,0.0,168102709.0,320000.0,HKD
1044,"Hengan International Group Co., Ltd.",HKEX,Consumer Non-Durables,Household/Personal Care,28.5,29.08,28.5,28.8,-0.48375950241879945,33594158127.000004,2216591.0,HKD
1045,APT Satellite Holdings Limited,HKEX,Communications,Specialty Telecommunications,3.92,3.98,3.28,3.31,-15.128205128205124,3621432877.0,16390100.0,HKD
1046,Universe Entertainment and Culture Group Company Limited,HKEX,Consumer Services,Movies/Entertainment,0.305,0.305,0.285,0.285,-8.064516129032265,281056004.0,75500.0,HKD
1047,Ngai Hing Hong Co. Ltd.,HKEX,Distribution Services,Wholesale Distributors,0.385,0.385,0.315,0.32,-3.030303030303033,118144001.0,60000.0,HKD
1049,Celestial Asia Securities Holdings Ltd,HKEX,Retail Trade,Electronics/Appliance Stores,1.36,1.37,1.35,1.36,0.0,109749528.0,138000.0,HKD
105,Associated International Hotels Limited,HKEX,Finance,Real Estate Development,5.28,5.28,5.28,5.28,-1.492537313432837,1900800076.0,2000.0,HKD
1050,Karrie International Holdings Limited,HKEX,Producer Manufacturing,Miscellaneous Manufacturing,2.56,2.59,2.44,2.46,-5.0193050193050155,5406094301.0,3382000.0,HKD
1051,G-Resources Group Limited,HKEX,Finance,Financial Conglomerates,11.3,11.3,11.0,11.02,-0.810081008100809,5008544351.0,26000.0,HKD
1052,Yuexiu Transport Infrastructure Limited,HKEX,Transportation,Other Transportation,4.58,4.62,4.5,4.54,-0.873362445414848,7663082892.0,906000.0,HKD
1053,"Chongqing Iron & Steel Co., Ltd. Class H",HKEX,Non-Energy Minerals,Steel,1.24,1.24,1.17,1.22,-1.6129032258064528,16063104059.0,34192600.0,HKD
1055,China Southern Airlines Company Limited Class H,HKEX,Transportation,Airlines,5.4,5.41,5.21,5.25,-2.5974025974025916,132211009861.0,26164591.0,HKD
1057,Zhejiang Shibao Co. Ltd. Class H,HKEX,Producer Manufacturing,Auto Parts: OEM,6.1,6.3,5.73,5.81,-4.283360790774311,17824859225.0,28428000.0,HKD
1058,Namyue Holdings Limited,HKEX,Process Industries,Textiles,0.35,0.395,0.25,0.325,-16.666666666666664,174856163.0,28000.0,HKD
1059,Kantone Holdings Limited,HKEX,Electronic Technology,Telecommunications Equipment,0.49,0.49,0.48,0.485,-1.020408163265307,183766423.0,27000.0,HKD
