symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
ABOU,Abou Family Residence Ltd,TASE,Health Technology,Medical Specialties,702.3,716.6,700.0,701.7,-2.0792631872732317,433392399.0,2581,ILA
ABRA,Abra Information Technologies Ltd,TASE,Technology Services,Packaged Software,396.0,400.0,396.0,397.5,0.3787878787878788,463656661.0,3684,ILA
ACCL,Accel Solutions Group Ltd.,TASE,Industrial Services,Environmental Services,159.4,163.7,157.8,160.3,2.1669853409815207,303208557.0,391520,ILA
ACKR,Ackerstein Group Ltd,TASE,Non-Energy Minerals,Construction Materials,1046.0,1046.0,1023.0,1030.0,-0.9615384615384616,3000194543.0,453587,ILA
ACRO,KVUTZAT ACRO LTD,TASE,Finance,Real Estate Development,5096.0,5195.0,5096.0,5192.0,1.8838304552590266,3213839705.0,24383,ILA
ADGR,Adgar Investment & Development Ltd.,TASE,Finance,Real Estate Development,463.2,463.2,451.1,455.4,0.485436893203881,856228734.0,22367,ILA
AFHL,AFCON Holdings Ltd,TASE,Electronic Technology,Electronic Equipment/Instruments,40000.0,40750.0,38630.0,40690.0,1.725,2227528381.0,2779,ILA
AFPR,AFI Properties Ltd,TASE,Finance,Real Estate Development,22390.0,23070.0,22200.0,22400.0,0.044662795891022775,9275606270.0,62649,ILA
AFRE,Africa Israel Residences Ltd,TASE,Finance,Real Estate Development,31170.0,31670.0,30940.0,31660.0,1.539448364336113,3950271256.0,3553,ILA
AGRD,Autonomous Guard Ltd.,TASE,Finance,Investment Managers,1001.0,1050.0,1000.0,1028.0,2.697302697302697,73760140.0,21515,ILA
AILN,Axilion Smart Mobility Ltd.,TASE,Technology Services,Packaged Software,30.7,30.7,27.4,27.7,-8.88157894736842,16979582.0,400147,ILA
ALAR,ALARUM TECHNOLOGIES LTD,TASE,Technology Services,Information Technology Services,236.0,246.9,236.0,242.1,2.584745762711862,171111119.0,364558,ILA
ALBA,Albaad Massuot Yitzhak Ltd.,TASE,Consumer Non-Durables,Household/Personal Care,3250.0,3250.0,3137.0,3150.0,-0.22172949002217296,588701781.0,11629,ILA
ALHE,Alony Hetz Properties & Investments Ltd.,TASE,Finance,Real Estate Development,3850.0,3850.0,3783.0,3806.0,-0.10498687664041995,8616521386.0,191898,ILA
ALL,Alltrade Recycling Ltd.,TASE,Industrial Services,Environmental Services,3030.0,3049.0,3010.0,3030.0,0.0,,8533,ILA
ALLT,Allot Ltd.,TASE,Electronic Technology,Computer Communications,2160.0,2173.0,2125.0,2132.0,-1.2962962962962963,1043765579.2503637,17110,ILA
ALMA,Almogim Holdings Ltd,TASE,Finance,Real Estate Development,1067.0,1082.0,1060.0,1070.0,0.28116213683223995,511937278.0,35402,ILA
ALMD,Allmed Solutions Ltd.,TASE,Health Technology,Pharmaceuticals: Other,39.2,40.5,37.4,39.7,1.2755102040816324,39708261.0,109573,ILA
