symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
A32,32 JSC,UPCOM,Consumer Non-Durables,Apparel/Footwear,34500,34500,34500,34500,1.4705882352941175,231200000000.0,523,VND
AAA,An Phat Plastic and Green Environment Joint Stock Company,HOSE,Process Industries,Containers/Packaging,6890,7140,6890,7130,3.183791606367583,2720762100525.0,1034478,VND
AAH,Hop Nhat Joint Stock Company,UPCOM,,,3300,3400,3200,3400,3.0303030303030303,,932845,VND
AAM,Mekong Fisheries JSC,HOSE,Consumer Non-Durables,Food: Meat/Fish/Dairy,6110,6110,6010,6060,-0.6557377049180327,63752206612.0,19264,VND
AAS,SmartInvest Securities Joint Stock Co,UPCOM,Finance,Investment Banks/Brokers,8700,8900,8500,8900,3.488372093023256,2253995305800.0,9863379,VND
AAT,Tien Son Thanh Hoa Group Joint Stock Company,HOSE,Consumer Durables,Home Furnishings,3030,3050,3000,3020,0.0,213873680267.0,37932,VND
AAV,AAV Group JSC,HNX,Finance,Real Estate Development,6400,6700,6400,6600,6.451612903225806,427723512268.0,122111,VND
ABB,An Binh Commercial Joint Stock Bank,UPCOM,Finance,Regional Banks,13300,13700,13300,13700,2.2388059701492535,14180003639400.0,182484,VND
ABC,VMG Media JSC,UPCOM,Communications,Specialty Telecommunications,10000,10300,10000,10100,2.0202020202020203,220158000000.0,6954,VND
ABI,Agriculture Bank Insurance JSC,UPCOM,Finance,Insurance Brokers/Services,19800,20100,19500,20000,1.0101010101010102,2047229600000.0,38139,VND
ABR,Viet Brand Invest Joint Stock Co,HOSE,Communications,Major Telecommunications,12750,12800,12150,12150,1.25,258000000000.0,2505,VND
ABS,Binh Thuan Agriculture Services JSC,HOSE,Distribution Services,Wholesale Distributors,2620,2690,2570,2650,2.3166023166023164,207200000000.0,161379,VND
ABT,Bentre Aquaproduct Import and Exporrt Joint Stock Company,HOSE,Consumer Non-Durables,Food: Meat/Fish/Dairy,63500,64500,63500,64500,0.78125,753744445801.0,1252,VND
ABW,An Binh Securities Joint Stock Company,UPCOM,,,10600,10900,10500,10900,3.8095238095238098,,163600,VND
ACB,Asia Commercial Joint Stock Bank,HOSE,Finance,Major Banks,23050,23600,23000,23200,0.21598272138228944,118913603491211.0,18396169,VND
ACC,ACC Binh Duong Investment & Construction JSC,HOSE,Industrial Services,Engineering & Construction,12200,12350,12000,12300,-1.6,1312499904633.0,70214,VND
ACE,An Giang Centrifugal Concrete Joint Stock Company,UPCOM,Non-Energy Minerals,Construction Materials,41300,42300,41200,42300,0.7142857142857143,127522645800.0,3601,VND
ACG,An Cuong Wood - Working Joint Stock Co,HOSE,Non-Energy Minerals,Forest Products,35200,36900,35200,36900,3.651685393258427,5367709289551.0,12444,VND
ACL,Cuulong Fish JSC,HOSE,Process Industries,Agricultural Commodities/Milling,12800,13550,12800,13550,-0.3676470588235294,682162664795.0,901,VND
ACM,A Cuong Mineral Group JSC,UPCOM,Non-Energy Minerals,Other Metals/Minerals,600,700,600,700,0.0,66300000000.0,585927,VND
ACS,Architects & Construction Service Corporation,UPCOM,,,3700,3700,3700,3700,0.0,,511,VND
ACV,Airports Corporation of Vietnam,UPCOM,Transportation,Other Transportation,48300,50000,48000,49900,3.5269709543568464,184873807410903.0,1315374,VND
ADC,Art Design & Communication JSC,HNX,Consumer Services,Publishing: Books/Magazines,22300,22300,22300,22300,6.190476190476191,83536656618.0,101,VND
ADG,Clever Group Corporation,HOSE,Commercial Services,Advertising/Marketing Services,8860,8860,8860,8860,-5.543710021321962,199716346207.0,534,VND
