symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
1A0,Katrina Group Ltd.,SGX,Consumer Services,Restaurants,0.031,0.031,0.031,0.031,3.3333333333333366,7807465.0,3000,SGD
1A1,Wong Fong Industries Limited,SGX,Distribution Services,Wholesale Distributors,0.193,0.193,0.193,0.193,4.891304347826091,43240000.0,22500,SGD
1AZ,Audience Analytics Limited,SGX,Commercial Services,Miscellaneous Commercial Services,0.26,0.265,0.26,0.265,1.9230769230769247,61655363.0,31000,SGD
1B1,HC Surgical Specialists Ltd,SGX,Health Services,Medical/Nursing Services,0.36,0.37,0.36,0.37,4.2253521126760605,56908407.0,27000,SGD
1B6,Ocean Sky International Limited,SGX,Industrial Services,Engineering & Construction,0.038,0.038,0.038,0.038,0.0,16363191.0,100,SGD
1D0,Kimly Ltd.,SGX,Consumer Services,Restaurants,0.39,0.395,0.385,0.39,-1.2658227848101276,491439128.0,54000,SGD
1D1,UnUsUal Ltd.,SGX,Commercial Services,Miscellaneous Commercial Services,0.025,0.026,0.025,0.026,3.99999999999999,25729483.0,400400,SGD
1D3,Autagco Ltd.,SGX,Consumer Services,Restaurants,0.002,0.002,0.001,0.002,0.0,5214015.0,551000,SGD
1D4,Aoxin Q&M Dental Group Ltd.,SGX,Health Services,Medical/Nursing Services,0.195,0.199,0.182,0.185,-3.141361256544505,195401428.0,11557400,SGD
1D5,Capital World Ltd.,SGX,Non-Energy Minerals,Construction Materials,0.001,0.001,0.001,0.001,0.0,16099981.0,50000,SGD
1E3,Sanli Environmental Ltd.,SGX,Industrial Services,Engineering & Construction,0.215,0.22,0.215,0.215,0.0,72431965.0,552700,SGD
1F1,Y Ventures Group Ltd.,SGX,Retail Trade,Internet Retail,0.006,0.006,0.006,0.006,-14.285714285714285,3455956.0,40000,SGD
1F2,Union Gas Holdings Ltd.,SGX,Utilities,Gas Distributors,0.45,0.45,0.435,0.435,-3.333333333333336,142895541.0,548400,SGD
1F3,Aspen (Group) Holdings Ltd.,SGX,Finance,Real Estate Development,0.032,0.032,0.032,0.032,0.0,34664631.0,195000,SGD
1H3,Clearbridge Health Ltd.,SGX,Health Services,Hospital/Nursing Management,0.001,0.001,0.001,0.001,0.0,4295821.0,10001800,SGD
1J4,JEP Holdings Ltd.,SGX,Producer Manufacturing,Industrial Machinery,0.28,0.28,0.275,0.275,0.0,113694996.0,50100,SGD
1J5,Hyphens Pharma International Ltd.,SGX,Health Technology,Pharmaceuticals: Major,0.305,0.315,0.305,0.315,0.0,97397426.0,28800,SGD
