symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
4IG,4iG Nyrt.,BET,Technology Services,Packaged Software,2530.0,2530.0,2130.0,2350.0,-9.615384615384617,775366528320.0,935459,HUF
ADIDAS,adidas AG,BET,Consumer Non-Durables,Apparel/Footwear,52000.0,52000.0,52000.0,52000.0,0.8142690965490499,9338667350465.268,4,HUF
AKKO,AKKO Invest Nyrt.,BET,Finance,Real Estate Development,234.0,236.0,228.0,230.0,-1.7094017094017095,15413986572.0,10381,HUF
ALAT,Amundi MSCI EM Latin America,BET,Miscellaneous,Investment Trusts/Mutual Funds,7664.0,7664.0,7664.0,7664.0,-1.8568318606735819,,1,HUF
ALLIANZ,Allianz SE,BET,Finance,Investment Managers,136000.0,136000.0,136000.0,136000.0,-4.1713641488162345,51828705930348.64,1,HUF
ALTEO,ALTEO Energy Services Plc Class A,BET,Utilities,Electric Utilities,4170.0,4170.0,4020.0,4020.0,-3.597122302158273,79992810116.0,4822,HUF
AMIXA,Amixa Holding Plc,BET,Finance,Financial Conglomerates,234.0,250.0,210.0,250.0,-3.8461538461538463,3381585426.0,5741,HUF
ANY,ANY Security Printing Co. Plc,BET,Commercial Services,Commercial Printing/Forms,7020.0,7040.0,6900.0,6900.0,-0.8620689655172413,99846823883.0,4097,HUF
APPENINN,Appeninn Vagyonkezelo Holding Nyrt,BET,Finance,Real Estate Development,652.0,652.0,595.0,605.0,-9.022556390977442,31500765171.0,125507,HUF
ASTRA,ASTRASUN Solar Plc.,BET,Electronic Technology,Semiconductors,212.0,212.0,212.0,212.0,0.0,5008313187.0,170,HUF
AUTOWALLIS,AutoWallis Plc Class C,BET,Retail Trade,Specialty Stores,152.0,152.0,148.0,148.0,-2.631578947368421,81601047852.0,86867,HUF
BASF,BASF SE,BET,Process Industries,Chemicals: Specialty,19800.0,20180.0,19800.0,20180.0,2.4365482233502536,17663144543477.52,106,HUF
BAYER,Bayer AG,BET,Health Technology,Pharmaceuticals: Major,15230.0,15230.0,15052.0,15052.0,-3.1028711214110984,14666035177112.469,120,HUF
BET,Budapest Stock Exchange Plc,BET,Finance,Investment Banks/Brokers,7900.0,7900.0,7900.0,7900.0,-2.4691358024691357,43849194145.0,282,HUF
BIF,Budapesti Ingatlan Hasznositasi es Fejlesztesi Nyrt,BET,Finance,Real Estate Development,300.0,300.0,282.0,294.0,1.0309278350515463,73240169998.0,1705,HUF
BMW,Bayerische Motoren Werke AG,BET,Consumer Durables,Motor Vehicles,30900.0,30900.0,30900.0,30900.0,2.284011916583913,18095527344695.625,65,HUF
CHOME,Chameleon Smart Home Zrt.,BET,Electronic Technology,Computer Peripherals,39.0,39.0,39.0,39.0,-9.30232558139535,2286950008.0,500,HUF
CIGPANNONIA,CIG Pannonia Life Insurance Plc,BET,Finance,Life/Health Insurance,345.0,350.0,336.0,336.0,-4.0,32883986281.999996,55937,HUF
CIVTA,CIVITA GROUP Nyrt.,BET,Process Industries,Agricultural Commodities/Milling,280.0,280.0,280.0,280.0,7.6923076923076925,3368313408.0,1000,HUF
COMMERZBANK,Commerzbank AG,BET,Finance,Regional Banks,12300.0,12300.0,12300.0,12300.0,-0.44516390125455285,13847974675758.98,300,HUF
DAXEX,iShares Core DAX UCITS ETF (DE),BET,Miscellaneous,Investment Trusts/Mutual Funds,72360.0,72370.0,72200.0,72200.0,-0.8922443376801648,,10,HUF
DELTA,Delta Group Plc,BET,Technology Services,Information Technology Services,48.4,50.0,44.1,44.5,-8.057851239669418,20026431401.0,850157,HUF
DEUTSCHEBANK,Deutsche Bank AG,BET,Finance,Investment Banks/Brokers,9817.0,9817.0,9688.0,9745.0,-0.8646998982706002,18452208168877.42,320,HUF
DEUTSCHETEL,Deutsche Telekom AG,BET,Communications,Major Telecommunications,12385.0,12385.0,12385.0,12385.0,-0.28180354267310787,60944799382974.48,25,HUF
DMKER,DM-KER Plc,BET,Distribution Services,Wholesale Distributors,31.0,31.8,31.0,31.8,0.0,4014145793.0,1250,HUF
DUNAHOUSE,DH Group Nyilvanosan Mukodo Reszvenytarsasag,BET,Finance,Real Estate Development,1235.0,1235.0,1185.0,1200.0,-2.834008097165992,42127816314.0,21126,HUF
DXS3,Xtrackers S&P 500 INVERSE DAILY SWAP UCITS ETF Capitalisation 1C,BET,Miscellaneous,Investment Trusts/Mutual Funds,2200.0,2200.0,2200.0,2200.0,5.263157894736842,,1,HUF
EIMI,iShares Core MSCI EM IMI UCITS ETF,BET,Miscellaneous,Investment Trusts/Mutual Funds,16000.0,16000.0,15522.0,15522.0,-1.8588770864946889,,69,HUF
ENEFI,ENEFI Asset Management Plc,BET,Utilities,Electric Utilities,222.0,233.0,218.0,233.0,-1.2711864406779663,2631399910.0,6935,HUF
EON,E.ON SE,BET,Utilities,Electric Utilities,7390.0,7390.0,7390.0,7390.0,3.0395984383714447,19058665519929.766,16,HUF
EPDUF,Epduferr Nyrt.,BET,Consumer Durables,Homebuilding,12.5,12.5,11.1,11.5,-12.878787878787874,9216051503.0,563380,HUF
EPROLIUSIA,Eprolius Ingatlan Nyrt.,BET,Finance,Real Estate Development,1190.0,1190.0,1150.0,1150.0,-3.361344537815126,7140000000.0,171,HUF
ESENT,eSense Human Resources Szolgaltato Nyilvanosan Mukodo Reszvenytarsasag,BET,Commercial Services,Personnel Services,1100.0,1120.0,1060.0,1120.0,0.0,10809120026.0,490,HUF
ETFBUXOTP,OTP Toezsden Kereskedett Bux Indexkoevetoe Alap,BET,Miscellaneous,Investment Trusts/Mutual Funds,4511.0,4750.0,4511.0,4664.0,0.3010752688172043,,4407,HUF
ETFC,OTP CETOP Index-tracking UCITS ETF Series A Units,BET,Miscellaneous,Investment Trusts/Mutual Funds,17.008,17.15,16.688,16.89,-0.6937911571025315,,21755,EUR
FLXI,Franklin LibertyShares ICAV - FTSE India UCITS ETF,BET,Miscellaneous,Investment Trusts/Mutual Funds,13036.0,13036.0,13036.0,13036.0,-2.146824801080919,,1,HUF
FORRAS/OE,Forras Trust and Investment Company Pref. series B,BET,Finance,Investment Managers,1410.0,1410.0,1410.0,1410.0,0.0,15112738454.0,24,HUF
