symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
AALLON,Aallon Group Oyj,OMXHEX,Finance,Investment Managers,9.18,9.18,8.96,8.96,-0.444444444444435,35241832.0,481,EUR
ACG1V,Aspocomp Group Oyj,OMXHEX,Electronic Technology,Electronic Components,4.44,4.45,4.42,4.45,-0.8908685968819607,33777918.0,658,EUR
ADMCM,Admicom Oyj,OMXHEX,Technology Services,Packaged Software,28.1,30.0,26.85,27.6,-1.2522361359570586,140226719.0,23171,EUR
ADMIN,Administer PLC,OMXHEX,Commercial Services,Miscellaneous Commercial Services,2.3,2.32,2.3,2.32,0.8695652173913052,34394602.0,2565,EUR
AFAGR,Afarak Group SE Class A,OMXHEX,Non-Energy Minerals,Other Metals/Minerals,0.25,0.254,0.246,0.25,0.0,67741951.0,40366,EUR
AIFORIA,Aiforia Technologies Oy Class A,OMXHEX,Technology Services,Packaged Software,1.755,1.79,1.73,1.745,-0.8522727272727216,59297224.0,8001,EUR
AKTIA,Aktia Bank Plc Class A,OMXHEX,Finance,Regional Banks,12.44,12.58,12.4,12.5,0.48231511254019693,913605463.0,119997,EUR
ALBAV,Alandsbanken Abp Class A,OMXHEX,Finance,Major Banks,55.0,55.8,55.0,55.8,1.4545454545454493,811848445.0,872,EUR
ALBBV,Alandsbanken Abp Class B,OMXHEX,Finance,Major Banks,51.0,52.2,51.0,51.4,0.7843137254901933,811848445.0,9989,EUR
ALEX,Alexandria Group Oyj,OMXHEX,Finance,Financial Conglomerates,9.74,10.15,9.74,10.0,2.6694045174537964,107825399.0,1209,EUR
ALISA,Alisa Pankki Oyj,OMXHEX,Finance,Major Banks,0.157,0.157,0.145,0.15,-4.458598726114653,23515394.0,15843,EUR
ALMA,Alma Media Oyj,OMXHEX,Consumer Services,Publishing: Newspapers,12.6,12.65,12.45,12.5,-1.185770750988145,1041345454.9999999,1453,EUR
