symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
4BRZ,iShares MSCI Brazil UCITS ETF (DE),BVC,Miscellaneous,Investment Trusts/Mutual Funds,190800.0,190800.0,190800.0,190800.0,0.7817451933234736,,0,COP
AAPL,Apple Inc.,BVC,Electronic Technology,Telecommunications Equipment,832020.0,994880.0,832020.0,994880.0,8.863308092966255,1.3263038619703294e+16,35,COP
AGROCHAL,Agroguachal SA,BVC,Process Industries,Agricultural Commodities/Milling,506.0,506.0,506.0,506.0,0.0,30360000000.0,0,COP
AGUASACO,Aguas Andinas SA Class A,BVC,Utilities,Water Utilities,1380.0,1380.0,1380.0,1380.0,-2.127659574468085,7956657496996.657,0,COP
ALICORC1CO,Alicorp SAA,BVC,Consumer Non-Durables,Food: Major Diversified,12340.0,12340.0,12340.0,12340.0,0.4885993485342019,7682473897614.176,0,COP
AMZN,"Amazon.com, Inc.",BVC,Retail Trade,Internet Retail,770000.0,770000.0,770000.0,770000.0,4.054054054054054,7901766746450549.0,63,COP
ANDINABCO,Embotelladora Andina SA Pfd B,BVC,Consumer Non-Durables,Beverages: Non-Alcoholic,15280.0,15280.0,15280.0,15280.0,-1.7994858611825193,13607655434460.832,0,COP
ARKFCO,ARK Blockchain & Fintech Innovation ETF,BVC,Miscellaneous,Investment Trusts/Mutual Funds,132640.0,132640.0,132640.0,132640.0,-5.35179106607678,,0,COP
ARKGCO,ARK Genomic Revolution ETF,BVC,Miscellaneous,Investment Trusts/Mutual Funds,91080.0,91080.0,91080.0,91080.0,-0.8275261324041812,,0,COP
ARKICO,ARK Artificial Intelligence & Robotics UCITS ETF AccumUSD,BVC,Miscellaneous,Investment Trusts/Mutual Funds,31900.0,31900.0,31900.0,31900.0,-1.6646115906288532,,0,COP
ARKKCO,ARK Innovation ETF,BVC,Miscellaneous,Investment Trusts/Mutual Funds,233120.0,233120.0,233120.0,233120.0,-1.6952011470017712,,0,COP
ARKKUCO,ARK Innovation UCITS ETF Accum Shs USD,BVC,Miscellaneous,Investment Trusts/Mutual Funds,25020.0,25020.0,25020.0,25020.0,-9.41346850108617,,0,COP
ARKQCO,ARK Autonomous Technology & Robotics ETF,BVC,Miscellaneous,Investment Trusts/Mutual Funds,390700.0,390700.0,390700.0,390700.0,-4.6608101512933136,,0,COP
ARKWCO,ARK Next Generation Internet ETF,BVC,Miscellaneous,Investment Trusts/Mutual Funds,420020.0,420020.0,420020.0,420020.0,-5.490301966608163,,0,COP
ARKXCO,ARK Space & Defense Innovation ETF,BVC,Miscellaneous,Investment Trusts/Mutual Funds,102720.0,102720.0,102720.0,102720.0,-4.588519412966747,,0,COP
BAC,Bank of America Corp,BVC,Finance,Major Banks,173340.0,173340.0,173340.0,173340.0,-1.5449278655003977,1241592284479853.2,0,COP
BAPCO,Credicorp Ltd.,BVC,Finance,Major Banks,1172300.0,1172300.0,1172300.0,1172300.0,-4.065532987446603,93059547153846.14,0,COP
BBVACOL,Banco Bilbao Vizcaya Argentaria Colombia SA Class B,BVC,Finance,Major Banks,240.0,240.0,240.0,240.0,0.0,3505818894043.0,0,COP
BCICO,Banco de Credito e Inversiones,BVC,Finance,Major Banks,235980.0,235980.0,235980.0,235980.0,-0.29575798546560755,51226425850936.3,0,COP
BHI,BAC Holding International Corp,BVC,Finance,Finance/Rental/Leasing,418.0,419.0,410.0,410.0,-3.0732860520094563,18282137660156.0,1412270,COP
BMC,Bolsa Mercantil de Colombia SA,BVC,Finance,Investment Banks/Brokers,5450.0,5450.0,5450.0,5450.0,0.0,322634723473.0,0,COP
BOGOTA,Banco de Bogota SA,BVC,Finance,Major Banks,37200.0,37680.0,37100.0,37360.0,-0.42643923240938164,13329020075684.0,6967,COP
BRKB,Berkshire Hathaway Inc. Class B,BVC,Finance,Property/Casualty Insurance,1860000.0,1860000.0,1860000.0,1860000.0,-4.615384615384616,3752249414271062.0,17,COP
BSANTANDCO,Banco Santander-Chile,BVC,Finance,Regional Banks,294.0,294.0,294.0,294.0,0.0,54996447328940.91,0,COP
BVC,Bolsa de Valores de Colombia S.A.,BVC,Finance,Investment Banks/Brokers,17480.0,17480.0,17220.0,17440.0,1.2775842044134729,1042041948166.0,12838,COP
BVNCO,Compania de Minas Buenaventura SAA Sponsored ADR,BVC,Non-Energy Minerals,Precious Metals,124300.0,124300.0,124300.0,124300.0,-0.9088010204081632,35029565976038.934,0,COP
C,Citigroup Inc.,BVC,Finance,Major Banks,393680.0,393680.0,393680.0,393680.0,-3.9804878048780488,687360586117216.0,0,COP
CAPCO,CAP S.A.,BVC,Non-Energy Minerals,Steel,26400.0,26400.0,26400.0,26400.0,-0.22675736961451248,3918059615345.0977,0,COP
CARACOLTV,Caracol Television S.A.,BVC,Consumer Services,Broadcasting,804.0,804.0,804.0,804.0,0.0,704728475098.0,0,COP
CBU0,iShares USD Treasury Bond 7-10yr UCITS ETF USD (Acc) USD,BVC,Miscellaneous,Investment Trusts/Mutual Funds,565880.0,565880.0,565880.0,565880.0,-0.6496014607254469,,0,COP
CBU7,iShares USD Treasury Bond 3-7yr UCITS ETF,BVC,Miscellaneous,Investment Trusts/Mutual Funds,524840.0,524840.0,524840.0,524840.0,-0.7188256658595642,,0,COP
CCUCO,Compania Cervecerias Unidas S.A.,BVC,Consumer Non-Durables,Beverages: Alcoholic,20280.0,20280.0,20280.0,20280.0,-4.429783223374175,7444467685575.383,0,COP
CELSIA,Celsia SA ESP,BVC,Utilities,Electric Utilities,5320.0,5320.0,5200.0,5300.0,1.9230769230769231,5415927587891.0,78668,COP
CEMA,iShares MSCI EM Asia UCITS ETF,BVC,Miscellaneous,Investment Trusts/Mutual Funds,874800.0,874800.0,874800.0,874800.0,-4.148313720333969,,0,COP
CEMARGOS,Cementos Argos SA,BVC,Non-Energy Minerals,Construction Materials,11200.0,11740.0,11200.0,11740.0,5.575539568345324,14476807919922.0,216880,COP
CENCOMALCO,Cencosud Shopping SA,BVC,Finance,Real Estate Development,8920.0,8920.0,8920.0,8920.0,1.1337868480725624,15114495870031.03,0,COP
CENCOSUDCO,Cencosud S.A.,BVC,Retail Trade,Specialty Stores,9450.0,9450.0,9450.0,9450.0,2.38353196099675,26542044944391.42,0,COP
CEUU,iShares Core MSCI EMU UCITS ETF AccumHedged USD,BVC,Miscellaneous,Investment Trusts/Mutual Funds,39700.0,39700.0,39700.0,39700.0,-1.1454183266932272,,0,COP
CFMITNIPCO,Fondo Mutuo ETF it Now S&P IPSA,BVC,Miscellaneous,Investment Trusts/Mutual Funds,19400.0,19400.0,19400.0,19400.0,-0.9193054136874361,,0,COP
CHILECO,Banco de Chile,BVC,Finance,Major Banks,649.0,649.0,649.0,649.0,-1.21765601217656,65115077410464.69,0,COP
CIBEST,Grupo Cibest S.A.,BVC,Finance,Regional Banks,78160.0,85000.0,78080.0,84900.0,8.846153846153847,68096421772461.0,377072,COP
