symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
07AGG,Nippon India Strategic Debt Fund - Segregated Portfolio 2 Units Direct Growth,BSE,,,17.19,17.19,14.07,14.07,-9.98080614203455,,1080.0,INR
07GPG,Nippon India Strategic Debt Fund - Segregated Portfolio 2 Units Growth,BSE,,,7.18,7.18,6.47,6.47,-9.88857938718663,,3.0,INR
08AGG,Nippon India Equity Savings Fund - Segerated Portfolio 2 Units Direct Growth Plan,BSE,,,42.78,42.78,42.78,42.78,-0.023369946249118978,,31.0,INR
08GPG,Nippon India Equity Savings Fund - Segerated Portfolio 2 Units Growth Plan,BSE,,,2.3,2.3,2.1,2.16,-1.8181818181818195,,24857.0,INR
08MPD,Nippon India Equity Savings Fund - Segerated Portfolio 2 Units Segregated Portfolio 2 -Monthly Dividend,BSE,,,5.65,5.65,4.67,5.11,-0.5836575875486257,,1019.0,INR
09AGG,Nippon India Hybrid Bond Fund - Segregated Portfolio 2 Units Direct - Growth Plan - Growth,BSE,,,202.5,219.99,182.28,184.64,-8.833259270231578,,105.0,INR
09GPG,Nippon India Hybrid Bond Fund - Segregated Portfolio 2 Units Growth,BSE,,,11.0,11.0,11.0,11.0,10.0,,2.0,INR
10AGG,Nippon India Credit Risk Fund-Segregated Portfolio 2 Units Direct Growth Plan,BSE,,,100.11,100.11,100.11,100.11,0.0,,8.0,INR
10ARD,Nippon India Credit Risk Fund-Segregated Portfolio 2 Units Direct Dividend Plan,BSE,,,100.02,105.02,100.02,100.615,0.5948810237952399,,0.0,INR
10GPG,Nippon India Credit Risk Fund-Segregated Portfolio 2 Units Growth Plan,BSE,,,2.15,2.16,2.15,2.16,0.0,,554.0,INR
11AGG,Nippon India Equity Hybrid Fund- Segregated Portfolio 2 Units 2020-DIRECT GROWTH GROWTH OPTION GROWTH,BSE,,,37.0,37.0,30.78,31.99,-6.46198830409358,,725.0,INR
11AMD,Nippon India Equity Hybrid Fund- Segregated Portfolio 2 Units 2020-DIRECT MONTHLY DIVIDEND DIVIDEND PAYOUT,BSE,,,43.5,43.5,37.0,42.63,6.735102653980984,,333.0,INR
11AQD,Nippon India Equity Hybrid Fund- Segregated Portfolio 2 Units 2020-DIRECT QUARTERLY DIVIDEND DIVIDEND PAYOUT,BSE,,,34.98,35.08,28.71,28.71,-9.999999999999993,,365.0,INR
11DPD,Nippon India Equity Hybrid Fund- Segregated Portfolio 2 Units 2020-DIVIDEND DIVIDEND PAYOUT,BSE,,,5.85,5.85,5.5,5.59,5.075187969924803,,6560.0,INR
11DPR,Nippon India Equity Hybrid Fund- Segregated Portfolio 2 Units 2020-DIVIDEND DIVIDEND REINVESTMENT,BSE,,,12.66,12.66,10.52,11.98,4.083405734144228,,323.0,INR
11GPG,Nippon India Equity Hybrid Fund- Segregated Portfolio 2 Units 2020-GROWTH GROWTH OPTION GROWTH,BSE,,,2.4,2.4,2.07,2.16,-1.8181818181818195,,3400.0,INR
11MPD,Nippon India Equity Hybrid Fund- Segregated Portfolio 2 Units 2020-MONTHLY DIVIDEND DIVIDEND PAYOUT,BSE,,,3.51,3.85,3.2,3.51,0.28571428571427965,,6026.0,INR
11MPR,Nippon India Equity Hybrid Fund- Segregated Portfolio 2 Units 2020-MONTHLY DIVIDEND REINVESTMENT,BSE,,,52.28,52.28,52.28,52.28,9.993688196928256,,69.0,INR
11QPD,Nippon India Equity Hybrid Fund- Segregated Portfolio 2 Units 2020- QUARTERLY DIVIDEND DIVIDEND PAYOUT,BSE,,,7.37,7.37,6.12,6.66,-0.5970149253731348,,1989.0,INR
11QPR,Nippon India Equity Hybrid Fund- Segregated Portfolio 2 Units 2020-QUARTERLY DIVIDEND REINVESTMENT,BSE,,,38.89,38.89,31.83,33.84,-4.298642533936641,,135.0,INR
185F2DGG,TRUSTMF Fixed Maturity Plan Units 2023-09.07.2026 Series II-1196 Days Direct Plan Growth,BSE,Miscellaneous,Investment Trusts/Mutual Funds,1000.0,1000.0,1000.0,1000.0,0.0,,0.0,INR
185F2GPG,TRUSTMF Fixed Maturity Plan Units 2023-09.07.2026 Series II-1196 Days Regular Plan Growth,BSE,Miscellaneous,Investment Trusts/Mutual Funds,1000.0,1000.0,1000.0,1000.0,0.0,,0.0,INR
185F2RPD,TRUSTMF Fixed Maturity Plan Units 2023-09.07.2026 Series II-1196 Days Regular IDCW,BSE,Miscellaneous,Investment Trusts/Mutual Funds,1000.0,1000.0,1000.0,1000.0,0.0,,0.0,INR
1STCUS,First Custodian Fund India Ltd.,BSE,Finance,Investment Banks/Brokers,75.35,82.0,72.84,82.0,1.3221302360064169,121395000.0,1539.0,INR
20MICRONS,20 Microns Limited,BSE,Process Industries,Chemicals: Specialty,145.5,164.85,145.5,160.3,-1.2931034482758585,5730527846.0,14382.0,INR
20MICRONS,20 Microns Limited,NSE,Process Industries,Chemicals: Specialty,162.15,166.0,156.1,160.39,-1.2194370881320553,5730527846.0,110921.0,INR
21STCENMGM,Twentyfirst Century Management Services Limited,NSE,Finance,Investment Banks/Brokers,30.84,30.94,29.75,30.55,0.6921555702043535,323504994.0,20989.0,INR
21STCENMGM,Twentyfirst Century Management Services Limited,BSE,Finance,Investment Banks/Brokers,31.34,31.34,30.2,30.55,-0.8438818565400779,323504994.0,334.0,INR
360ONE,360 One Wam Limited,NSE,Finance,Investment Managers,991.0,1015.65,976.4,1009.5,-0.3110650274033454,411946604695.0,604509.0,INR
360ONE,360 One Wam Limited,BSE,Finance,Investment Managers,984.15,1016.4,976.0,1009.3,-0.4929508035098097,411946604695.0,20988.0,INR
3BBLACKBIO,3B BlackBio Dx Ltd,BSE,Process Industries,Chemicals: Agricultural,1200.0,1230.0,1151.1,1187.95,-2.8460437538335683,10494460001.0,7549.0,INR
3BFILMS,3B Films Limited,BSE,Process Industries,Containers/Packaging,18.1,19.5,16.55,18.41,1.712707182320435,456052520.0,69000.0,INR
3CIT,3C IT Solutions & Telecoms (India) Limited,BSE,Technology Services,Packaged Software,16.14,16.14,16.14,16.14,0.0,97162800.0,2000.0,INR
3IINFOLTD,3i Infotech Limited,NSE,Technology Services,Information Technology Services,15.4,16.48,15.31,16.06,2.3581899298916458,3252091064.0,797728.0,INR
3IINFOLTD,3i Infotech Limited,BSE,Technology Services,Information Technology Services,15.37,16.32,15.29,16.08,2.5510204081632564,3252091064.0,61901.0,INR
