symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
06N,Magna Polonia S.A.,GPW,Miscellaneous,Investment Trusts/Mutual Funds,2.39,2.42,2.39,2.42,0.0,33255580.000000004,517,PLN
08N,Octava SA,GPW,Miscellaneous,Investment Trusts/Mutual Funds,0.625,0.625,0.625,0.625,0.0,26741779.0,304,PLN
11B,11 Bit Studios SA,GPW,Technology Services,Packaged Software,146.5,148.7,144.8,146.5,-0.13633265167006725,354603071.0,6903,PLN
1AT,ATAL S.A.,GPW,Consumer Durables,Homebuilding,64.0,64.4,62.5,64.2,0.7849293563579277,2755697161.0,5295,PLN
3RG,3R Games SA,GPW,Retail Trade,Internet Retail,0.7,0.7,0.666,0.7,0.8645533141210382,56379092.0,43314,PLN
4MB,4Mobility S.A.,NEWCONNECT,Finance,Finance/Rental/Leasing,1.02,1.02,1.02,1.02,0.0,5042023.0,0,PLN
4MS,4Mass SA,GPW,Consumer Non-Durables,Household/Personal Care,4.105,4.11,4.02,4.065,-1.0948905109489033,98685212.0,21058,PLN
7FT,7FIT Spolka Akcyjna,NEWCONNECT,Retail Trade,Food Retail,17.8,17.8,17.1,17.6,1.1494252873563382,31189500.0,437,PLN
7LV,7LEVELS SA,NEWCONNECT,Technology Services,Packaged Software,6.0,6.0,6.0,6.0,-0.8264462809917326,4675047.0,448,PLN
AAPL,Apple Inc.,GPW,Electronic Technology,Telecommunications Equipment,1051.0,1051.0,1051.0,1051.0,0.0,15932670861656.564,0,PLN
AAS,Arts Alliance GK SA,NEWCONNECT,Finance,Financial Conglomerates,4.4,4.4,4.4,4.4,0.0,72363548.0,3,PLN
AAT,Alta SA,GPW,Finance,Real Estate Development,1.62,1.63,1.58,1.63,2.839116719242898,24789155.0,1481,PLN
ABE,AB S.A.,GPW,Distribution Services,Electronics Distributors,130.6,134.8,129.0,134.8,3.2159264931087423,2108301509.9999998,3499,PLN
ABK,Abak S.A.,NEWCONNECT,Commercial Services,Miscellaneous Commercial Services,5.4,5.4,5.4,5.4,-3.5714285714285587,15090656.0,6,PLN
ABS,Asseco Business Solutions SA,GPW,Technology Services,Packaged Software,89.2,90.0,87.4,89.0,-1.5486725663716876,3021004427.0,1197,PLN
ACG,AC Spolka Akcyjna,GPW,Producer Manufacturing,Auto Parts: OEM,21.7,21.8,21.5,21.7,0.0,199611423.0,576,PLN
ACP,Asseco Poland S.A.,GPW,Technology Services,Packaged Software,176.75,184.05,176.5,184.05,5.1113649343232535,14533353943.0,146883,PLN
ACT,Action S.A.,GPW,Distribution Services,Electronics Distributors,29.35,31.4,29.35,30.2,2.19966159052453,412877215.0,34191,PLN
ADS,adidas AG,GPW,Consumer Non-Durables,Apparel/Footwear,629.6,629.6,607.0,610.0,-0.06553079947574988,109302128479.41434,21,PLN
ADV,Adiuvo Investment S.A.,GPW,Health Technology,Biotechnology,0.566,0.566,0.54,0.564,-0.3533568904593643,7456680.0,11058,PLN
ADX,Adatex S.A.,NEWCONNECT,Commercial Services,Miscellaneous Commercial Services,1.35,1.35,1.29,1.35,0.0,86565064.0,41,PLN
AER,VENDA SE,NEWCONNECT,Finance,Investment Managers,0.045,0.045,0.045,0.045,0.0,,0,PLN
AFC,AKCEPT Finance SA,NEWCONNECT,Finance,Finance/Rental/Leasing,0.262,0.262,0.262,0.262,0.0,1310000.0,0,PLN
AFH,Aforti Holding SA,NEWCONNECT,Finance,Investment Managers,2.5,2.5,2.5,2.5,0.0,,0,PLN
AGL,Agroliga Group Plc.,NEWCONNECT,Process Industries,Agricultural Commodities/Milling,22.2,23.0,22.2,22.8,1.7857142857142954,34446721.0,955,PLN
AGO,Agora SA,GPW,Consumer Services,Movies/Entertainment,8.38,8.64,8.38,8.62,1.4117647058823437,395937084.0,8274,PLN
AGP,AGROMEP Spolka Akcyjna,NEWCONNECT,Producer Manufacturing,Trucks/Construction/Farm Machinery,3.18,3.18,3.04,3.08,-3.1446540880503173,8053220.0,524,PLN
AGT,Agroton Public Ltd,GPW,Process Industries,Agricultural Commodities/Milling,5.4,5.4,5.1,5.26,0.0,113984205.0,5528,PLN
AIN,ABS Investment Alternatywna Spolka Inwestycyjna Spolka Akcyjna,NEWCONNECT,Miscellaneous,Investment Trusts/Mutual Funds,1.4,1.4,1.4,1.4,0.0,,11,PLN
AIT,Aiton Caldwell SA,NEWCONNECT,Technology Services,Information Technology Services,0.259,0.276,0.259,0.276,6.56370656370657,3221442.0,350,PLN
ALE,Allegro.eu S.A.,GPW,Retail Trade,Apparel/Footwear Retail,31.3,31.38,30.24,30.67,0.9213557091148442,32076796454.0,8978057,PLN
ALG,All in! Games SA,GPW,Miscellaneous,Investment Trusts/Mutual Funds,0.824,0.824,0.786,0.81,-1.2195121951219388,62010629.0,5876,PLN
ALI,Altus SA,GPW,Finance,Investment Managers,3.26,3.36,3.22,3.36,4.024767801857582,132171595.0,170408,PLN
ALL,Ailleron SA,GPW,Technology Services,Packaged Software,17.2,17.2,16.9,17.04,-0.234192037470721,211032008.0,6438,PLN
ALR,Alior Bank SA,GPW,Finance,Regional Banks,120.5,124.25,119.25,123.5,3.0025020850708874,15653423072.0,368358,PLN
ALV,Allianz SE,GPW,Finance,Multi-Line Insurance,1579.0,1579.0,1579.0,1579.0,0.0,599363160334.2388,0,PLN
AMB,Ambra S.A.,GPW,Consumer Non-Durables,Beverages: Alcoholic,18.16,18.64,18.12,18.14,0.22099447513811685,456240267.0,3999,PLN
AMC,Amica Spolka Akcyjna,GPW,Consumer Durables,Electronics/Appliances,51.7,51.7,50.9,51.4,-0.5802707930367587,394374645.0,4716,PLN
AMD,"Advanced Micro Devices, Inc.",GPW,Electronic Technology,Semiconductors,1604.0,1625.0,1598.6,1620.4,1.2750000000000057,2636683100558.9634,21,PLN
AME,ADVANCED MEDICAL EQUIPMENT SPOLKA AKCYJNA,NEWCONNECT,Distribution Services,Medical Distributors,2.16,2.2,2.1,2.18,0.9259259259259267,,4530,PLN
AMZN,"Amazon.com, Inc.",GPW,Retail Trade,Internet Retail,970.1,970.1,970.1,970.1,0.010309278350517807,10547050952756.707,1,PLN
ANR,Answear.com SA,GPW,Retail Trade,Internet Retail,18.5,18.56,17.92,18.08,-0.11049723756907805,343558885.0,6283,PLN
AOL,Analizy Online S.A.,NEWCONNECT,Finance,Finance/Rental/Leasing,24.8,29.0,24.8,29.0,23.93162393162394,28643518.0,4411,PLN
APA,APANET SA Class D,NEWCONNECT,Producer Manufacturing,Electrical Products,0.98,0.98,0.975,0.975,-0.5102040816326535,3185000.0,15,PLN
APC,Apollo Capital S.A.,NEWCONNECT,Finance,Investment Managers,1.33,1.33,1.33,1.33,7.258064516129038,,385,PLN
APE,APS Energia SA,GPW,Producer Manufacturing,Electrical Products,4.04,4.32,3.9,4.07,3.826530612244907,110487137.0,36189,PLN
APL,LC Spolka Akcyjna,GPW,Distribution Services,Wholesale Distributors,1.13,1.13,1.13,1.13,0.0,3708660.0,0,PLN
APN,Aplisens S.A.,GPW,Electronic Technology,Electronic Equipment/Instruments,18.45,18.45,18.25,18.4,-0.27100271002710413,205442857.0,181,PLN
APR,Auto Partner SA,GPW,Distribution Services,Wholesale Distributors,22.05,25.1,21.9,25.1,13.832199546485263,2880170793.0,690491,PLN
APS,Automatyka-Pomiary-Sterowanie SA,NEWCONNECT,Producer Manufacturing,Electrical Products,6.55,7.0,6.5,6.6,0.0,34959135.0,2123,PLN
