symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
A,"Agilent Technologies, Inc.",NYSE,Health Technology,Medical Specialties,112.01,113.3,110.2,110.57,-1.3736508786013792,31247339294.447063,3142677.0,USD
AA,Alcoa Corporation,NYSE,Non-Energy Minerals,Aluminum,61.59,64.62,60.91,63.93,2.14091707940565,16870478923.030993,4427241.0,USD
AABB,"Asia Broadband, Inc.",OTC,Finance,Investment Banks/Brokers,0.014,0.0143,0.0137,0.0143,4.174255117651349,59774181.26320391,2236273.0,USD
AABVF,Aberdeen International Inc.,OTC,Finance,Investment Managers,0.022,0.022,0.022,0.022,-2.2222222222222245,3535317.8666666667,1000.0,USD
AACAF,AAC Technologies Holdings Inc,OTC,Electronic Technology,Electronic Production Equipment,4.796,4.796,4.796,4.796,-1.1643482740855182,5596790341.228665,370.0,USD
AACAY,AAC Technologies Holdings Inc,OTC,Electronic Technology,Electronic Production Equipment,5.35,5.36,5.345,5.36,-0.7407407407407414,6382608179.216471,3620.0,USD
AACB,Artius II Acquisition Inc.,NASDAQ,Finance,Financial Conglomerates,10.44,10.44,10.44,10.44,0.09587727708532873,288926990.97839653,865.0,USD
AACG,ATA Creativity Global,NASDAQ,Commercial Services,Miscellaneous Commercial Services,1.19,1.19,1.1201,1.15,-1.7094017094017109,37202293.0,1781.0,USD
AACI,Armada Acquisition Corp. III,NASDAQ,Finance,Financial Conglomerates,9.9201,9.9201,9.9201,9.9201,-0.20020120724345883,337579356.2634,310.0,USD
AACIU,Armada Acquisition Corp. III,NASDAQ,Finance,Financial Conglomerates,10.08,10.08,10.08,10.08,0.0,341319235.02,1512.0,USD
AACO,Abony Acquisition Corp. I,NASDAQ,Finance,Financial Conglomerates,9.94,9.94,9.94,9.94,0.3027245206861691,311734969.97999996,115.0,USD
AACOU,Abony Acquisition Corp. I,NASDAQ,Finance,Financial Conglomerates,10.04,10.04,10.04,10.04,0.8032128514056053,314871136.68,130.0,USD
AACPU,Apogee Acquisition Corp,NASDAQ,Finance,Financial Conglomerates,10.1,10.14,10.09,10.09,0.09920634920634709,178794800.0,20548.0,USD
AACTF,Aurora Solar Technologies Inc.,OTC,Electronic Technology,Electronic Equipment/Instruments,0.0052,0.0052,0.0037,0.0038,-22.76422764227642,762756.52,206051.0,USD
AADR,AdvisorShares Dorsey Wright,NASDAQ,Miscellaneous,Investment Trusts/Mutual Funds,84.185,84.3501,83.8,84.1742,-0.7599730248482612,,1279.0,USD
AAEQ,Alpha Architect US Equity 2 ETF,NASDAQ,Miscellaneous,Investment Trusts/Mutual Funds,52.61,52.61,52.4228,52.4228,-0.6507953955372862,,815.0,USD
AAFRF,Airtel Africa Plc,OTC,Communications,Wireless Telecommunications,4.4,4.4,4.4,4.4,0.4566210045662206,16044877256.265985,1336.0,USD
AAGAF,Silver47 Exploration Corp.,OTC,Non-Energy Minerals,Other Metals/Minerals,0.5026,0.51195,0.4719,0.47552,-8.200772200772203,99194166.2592,288380.0,USD
AAGC,All American Gold Corp.,OTC,Non-Energy Minerals,Precious Metals,0.00055,0.00065,0.00055,0.0006,0.0,1126363.9999999998,848928.0,USD
AAGFF,Aftermath Silver Ltd.,OTC,Non-Energy Minerals,Precious Metals,0.541,0.545212,0.521,0.5221,-5.0727272727272785,178365619.78012657,445517.0,USD
AAGH,America Great Health,OTC,Health Technology,Pharmaceuticals: Other,1e-06,1e-06,1e-06,1e-06,0.0,21153.000000000004,10000.0,USD
AAGIY,"AIA Group, Ltd.",OTC,Finance,Multi-Line Insurance,43.43,43.9,43.43,43.67,-1.6441441441441371,115637492951.11829,248428.0,USD
AAGR,African Agriculture Holdings Inc.,OTC,Process Industries,Agricultural Commodities/Milling,0.01,0.01,1e-06,1e-06,-99.9,57867.0,408.0,USD
AAIGF,"AIA Group, Ltd.",OTC,Finance,Multi-Line Insurance,11.11,11.11,10.84,10.96825,-2.746497605958513,114651194247.24158,5833.0,USD
AAIRF,American Aires Inc.,OTC,Commercial Services,Miscellaneous Commercial Services,0.0295,0.0299,0.0295,0.0299,-4.289372599231757,3127749.3,9066.0,USD
AAL,"American Airlines Group, Inc.",NASDAQ,Transportation,Airlines,12.175,12.29,11.965,12.06,-2.4271844660194093,7976304467.970873,67455489.0,USD
AALBF,A. Alberts Industries ,OTC,Commercial Services,Miscellaneous Commercial Services,43.81,43.81,42.68,42.68,3.091787439613529,4610962917.060841,313.0,USD
AALG,Leverage Shares 2X Long AAL Daily ETF,NASDAQ,Miscellaneous,Investment Trusts/Mutual Funds,9.6,9.76,9.48,9.5782,-4.706853839801804,,17001.0,USD
AAME,Atlantic American Corporation,NASDAQ,Finance,Multi-Line Insurance,2.2,2.27,2.16,2.19,-0.454545454545465,44669930.71363636,12875.0,USD
AAMI,Acadian Asset Management Inc.,NYSE,Finance,Investment Managers,68.7,69.07,67.69,68.11,-1.7738678973175714,2426690392.4038076,385815.0,USD
AAMMF,Almadex Minerals Ltd.,OTC,Non-Energy Minerals,Precious Metals,0.4,0.4,0.4,0.4,0.0,24524359.14893617,100.0,USD
AAMTF,Armada Mercantile Ltd.,OTC,Finance,Investment Banks/Brokers,0.26,0.26,0.26,0.26,44.44444444444445,5462028.0,500.0,USD
AANNF,Aroundtown SA,OTC,Finance,Real Estate Investment Trusts,2.87,2.87,2.87,2.87,10.384615384615385,3137307373.3497944,300.0,USD
AAOI,"Applied Optoelectronics, Inc.",NASDAQ,Electronic Technology,Semiconductors,167.345,175.9899,160.1,171.33,-1.1139328177305658,13747992890.96104,8950211.0,USD
AAON,"AAON, Inc.",NASDAQ,Producer Manufacturing,Industrial Machinery,130.705,134.38,126.67,130.27,-2.740032850530079,10670639001.103779,1075578.0,USD
AAP,Advance Auto Parts Inc.,NYSE,Retail Trade,Specialty Stores,50.29,50.42,48.71,49.53,-2.1146245059288544,2988105600.9794464,2299938.0,USD
AAPB,GraniteShares 2x Long AAPL Daily ETF,NASDAQ,Miscellaneous,Investment Trusts/Mutual Funds,36.7,37.3,36.4,37.0307,0.8236178195501058,,49816.0,USD
AAPD,Direxion Daily AAPL Bear 1X ETF,NASDAQ,Miscellaneous,Investment Trusts/Mutual Funds,11.91,11.95,11.78,11.8437,-0.3894028595458406,,5881267.0,USD
AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,Health Technology,Pharmaceuticals: Major,18.71,19.1718,18.7,18.99,2.316810344827585,1776027333.23913,6559.0,USD
