symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
2POINTZERO,Two Point Zero Group PJSC,ADX,Commercial Services,Miscellaneous Commercial Services,1.97,1.99,1.95,1.98,-0.5025125628140708,68781621853.0,2329933,AED
ABNIC,Al Buhaira National Insurance Company,ADX,Finance,Multi-Line Insurance,2.26,2.26,2.26,2.26,-4.641350210970478,592499971.0,2850,AED
ABTC,21Shares Bitcoin ETP,NASDAQDUBAI,Miscellaneous,Investment Trusts/Mutual Funds,25.5,25.5,25.5,25.5,0.47281323877068954,,0,USD
ADAVIATION,Abu Dhabi Aviation Co.,ADX,Transportation,Other Transportation,5.03,5.14,5.03,5.12,1.5873015873015885,5527807605.0,52608,AED
ADCB,Abu Dhabi Commercial Bank,ADX,Finance,Major Banks,13.42,13.5,13.3,13.3,-0.8941877794336752,106125164021.0,7981956,AED
ADIB,Abu Dhabi Islamic Bank,ADX,Finance,Regional Banks,19.78,19.86,19.5,19.64,-0.8080808080808087,71913597229.0,2957257,AED
ADNH,Abu Dhabi National Hotels Co.,ADX,Consumer Services,Hotels/Resorts/Cruise lines,0.371,0.373,0.368,0.37,0.0,4662000060.0,1893122,AED
ADNHC,A D N H Catering plc,ADX,Consumer Services,Restaurants,0.65,0.655,0.645,0.645,-0.7692307692307698,1434419979.0,868827,AED
ADNIC,Abu Dhabi National Insurance Company,ADX,Finance,Multi-Line Insurance,7.47,7.47,7.42,7.42,-0.6693440428380164,4257899880.0,10656,AED
ADNOCDIST,Abu Dhabi National Oil Company For Distribution,ADX,Retail Trade,Specialty Stores,3.9,3.9,3.83,3.88,0.0,48500001431.0,4978533,AED
ADNOCDRILL,ADNOC Drilling Company PJSC,ADX,Industrial Services,Contract Drilling,5.91,6.08,5.89,6.05,2.3688663282571856,94559997559.0,16493835,AED
ADNOCGAS,ADNOC Gas plc,ADX,Energy Minerals,Integrated Oil,3.3,3.3,3.25,3.29,-0.9036144578313196,254814715501.0,26263074,AED
ADNOCLS,ADNOC Logistics & Services plc,ADX,Transportation,Marine Shipping,5.72,5.8,5.69,5.74,0.7017543859649129,42171443022.0,3685381,AED
ADPORTS,Abu Dhabi Ports Company PJSC,ADX,Transportation,Other Transportation,4.42,4.44,4.39,4.44,0.45248868778281587,22488485583.0,516769,AED
ADSB,Abu Dhabi Ship Building Co.,ADX,Producer Manufacturing,Trucks/Construction/Farm Machinery,8.35,8.44,8.35,8.4,-0.5917159763313483,1791332397.0,188091,AED
AGILITY,Agility Global PLC,ADX,Transportation,Other Transportation,1.51,1.51,1.47,1.48,-1.3333333333333344,15626585449.0,2226946,AED
AGIX,KraneShares Artificial Intelligence & Technology ETF,ADX,Miscellaneous,Investment Trusts/Mutual Funds,157.1,158.6,157.1,158.6,0.37974683544303434,,284,AED
AGTHIA,AGTHIA Group,ADX,Process Industries,Agricultural Commodities/Milling,3.47,3.5,3.45,3.49,0.2873563218390871,2892422704.0,156593,AED
AIPOWR,"Boreas S&P AI Data, Power & Infrastructure UCITS ETF - AED (Dist) AED",ADX,Miscellaneous,Investment Trusts/Mutual Funds,2.39,2.41,2.39,2.39,-0.4166666666666578,,5296,AED
AIRARABIA,Air Arabia PJSC,DFM,Transportation,Airlines,4.76,4.76,4.67,4.67,-1.268498942917558,22073492013.0,2221019,AED
AJMANBANK,Ajman Bank PJSC,DFM,Finance,Major Banks,1.39,1.39,1.36,1.37,-0.7246376811594049,3758395285.0,454424,AED
ALANSARI,Al Ansari Financial Services PJSC,DFM,Commercial Services,Miscellaneous Commercial Services,0.962,0.962,0.96,0.96,-0.20790020790020808,7208599599.0,83040,AED
