symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
11COV,Covestro AG,MIL,Process Industries,Chemicals: Specialty,66.2,66.2,66.2,66.2,0.9146341463414766,12416891880.0,0,EUR
18TRA,TRATON SE,MIL,Consumer Durables,Motor Vehicles,33.5,33.5,33.5,33.5,-3.5138248847926232,17370000839.0,0,EUR
19MW,"Marvell Technology, Inc.",MIL,Electronic Technology,Semiconductors,254.7,267.0,238.3,266.3,0.32021096251649,227538660703.78455,30816,EUR
1A,"Agilent Technologies, Inc.",MIL,Health Technology,Medical Specialties,121.15,121.15,121.15,121.15,1.3807531380753186,33461363963.16384,0,EUR
1AA,Alcoa Corporation,MIL,Non-Energy Minerals,Aluminum,68.28,69.54,68.28,69.54,-1.918194640338504,18399226032.783493,21,EUR
1AAD,Amadeus FiRe AG,MIL,Commercial Services,Personnel Services,22.75,23.5,22.75,23.5,0.0,124668008.0,188,EUR
1AAG,Aumann AG,MIL,Producer Manufacturing,Industrial Machinery,13.85,13.85,13.85,13.85,-0.7168458781361982,159036831.0,0,EUR
1AAK,AAK AB,MIL,Consumer Non-Durables,Food: Specialty/Candy,22.82,22.82,22.82,22.82,-0.6962576153176682,5759460124.875875,0,EUR
1AAL,American Airlines Group Inc.,MIL,Transportation,Airlines,11.746,11.956,11.572,11.574,-2.329113924050631,7738866837.108638,1554,EUR
1AAOI,"Applied Optoelectronics, Inc.",MIL,Electronic Technology,Semiconductors,155.0,156.0,147.0,153.54,-6.696645600388922,12735970243.936089,2335,EUR
1AAPL,Apple Inc.,MIL,Electronic Technology,Telecommunications Equipment,269.5,270.3,266.55,266.85,-0.6330292310556651,3929276085083.597,2269,EUR
1ABB,ABB Ltd.,MIL,Producer Manufacturing,Electrical Products,92.96,93.34,91.22,92.78,-0.7700534759358277,167337406470.80243,2951,EUR
1ABBV,"AbbVie, Inc.",MIL,Health Technology,Pharmaceuticals: Major,189.75,190.25,188.3,190.25,0.9283819628647214,330787113747.1653,66,EUR
1ABI,Anheuser-Busch InBev SA/NV,MIL,Consumer Non-Durables,Beverages: Alcoholic,68.8,68.8,67.6,67.6,-1.6011644832605654,136091017056.00002,44,EUR
1ABNB,"Airbnb, Inc. Class A",MIL,Consumer Services,Hotels/Resorts/Cruise lines,118.02,118.02,118.02,118.02,2.786970910991119,69425939562.65683,0,EUR
1ABT,Abbott Laboratories,MIL,Health Technology,Medical Specialties,75.32,77.5,75.14,77.5,3.223228556206715,130651319733.90358,251,EUR
1ACA,Credit Agricole SA,MIL,Finance,Regional Banks,16.59,16.625,16.445,16.495,-1.5223880597014867,49818024481.0,7559,EUR
1ACGL,Arch Capital Group Ltd.,MIL,Finance,Multi-Line Insurance,76.64,76.64,76.64,76.64,1.429327686606668,26478448107.749218,0,EUR
1ACHC,"Acadia Healthcare Company, Inc.",MIL,Health Services,Medical/Nursing Services,22.4,22.4,22.4,22.4,0.0,2040398653.997051,0,EUR
