symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
AALUS,American Airlines Group Inc.,BVL,Transportation,Airlines,15.11,15.11,15.11,15.11,1.7508417508417493,30997050994.4336,1500.0,USD
AAPLUS,Apple Inc.,BVL,Electronic Technology,Telecommunications Equipment,314.0,314.0,314.0,314.0,0.1594896331738437,15670934603685.828,48.0,USD
ABTUS,Abbott Laboratories,BVL,Health Technology,Medical Specialties,91.17,91.17,91.17,91.17,6.693973083674662,550692154460.6361,107.0,USD
ABXUS,Barrick Mining Corporation,BVL,Non-Energy Minerals,Precious Metals,39.9,39.9,39.9,39.9,0.0,228987097995.6748,6.0,USD
ACWIUS,iShares MSCI ACWI ETF,BVL,Miscellaneous,Investment Trusts/Mutual Funds,157.33,157.33,155.57,155.57,-2.052508971856714,,245.0,USD
ADBEUS,Adobe Inc.,BVL,Technology Services,Packaged Software,260.25,260.25,260.25,260.25,2.5413711583924306,352827864558.65076,20.0,USD
AEMUS,Agnico Eagle Mines Limited,BVL,Non-Energy Minerals,Precious Metals,178.08,178.08,178.08,178.08,0.6499745662126297,284349772972.98254,141.0,USD
AENZAC1,Aenza SAA,BVL,Industrial Services,Engineering & Construction,0.299,0.332,0.299,0.332,-5.142857142857132,625318611.0,81492.0,PEN
AGGUUS,iShares Core Global Aggregate Bond UCITS ETF Accum Hedged USD,BVL,Miscellaneous,Investment Trusts/Mutual Funds,5.87,5.87,5.87,5.87,1.206896551724143,,4030.0,USD
AGMR,"Silver Mountain Resources, Inc. Class A",BVL,Non-Energy Minerals,Other Metals/Minerals,2.61,2.61,2.61,2.61,-10.000000000000002,552585132.7487229,2550.0,USD
AIHC1,Andino Investment Holding SAC,BVL,Transportation,Other Transportation,0.97,0.97,0.97,0.97,0.0,314628573.0,40.0,PEN
AIQUS,Global X Artificial Intelligence & Technology ETF,BVL,Miscellaneous,Investment Trusts/Mutual Funds,64.98,64.98,64.98,64.98,-4.258140562840725,,77.0,USD
ALICORC1,Alicorp SAA,BVL,Consumer Non-Durables,Food: Major Diversified,11.29,11.29,11.2,11.21,-0.7964601769911492,6517448158.0,87705.0,PEN
ALICORI1,Alicorp SAA,BVL,Consumer Non-Durables,Food: Major Diversified,11.0,11.0,11.0,11.0,0.0,6517448158.0,9.0,PEN
AMATUS,"Applied Materials, Inc.",BVL,Producer Manufacturing,Industrial Machinery,453.2,453.2,453.2,453.2,18.58286671202051,1248642983946.1555,33.0,USD
AMDUS,"Advanced Micro Devices, Inc.",BVL,Electronic Technology,Semiconductors,515.0,515.0,485.0,485.0,2.902486633285243,2640095873836.5244,25.0,USD
AMUUUS,Direxion Daily AMD Bull 2X ETF,BVL,Miscellaneous,Investment Trusts/Mutual Funds,261.8,261.8,261.8,261.8,10.000000000000005,,400.0,USD
AMZNUS,"Amazon.com, Inc.",BVL,Retail Trade,Internet Retail,247.7,247.7,245.0,245.0,-0.40650406504065045,9187890920210.37,277.0,USD
AMZUUS,Direxion Daily AMZN Bull 2X ETF,BVL,Miscellaneous,Investment Trusts/Mutual Funds,39.25,39.25,39.25,39.25,-6.725285171102657,,128.0,USD
APPUS,AppLovin Corp. Class A,BVL,Technology Services,Packaged Software,564.5,564.5,564.5,564.5,-6.216772993088776,649837859750.715,4.0,USD
ARGTUS,Global X MSCI Argentina ETF,BVL,Miscellaneous,Investment Trusts/Mutual Funds,97.58,97.58,97.58,97.58,9.899763486879143,,1615.0,USD
