symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
2020O,2020 Bulkers Ltd.,OMXSTO,Transportation,Marine Shipping,3.706,3.88,3.706,3.88,1.2526096033402934,86872551.571719,11359,NOK
2CUREX,2cureX AB,OMXSTO,Health Technology,Medical Specialties,1.702,1.702,1.64,1.64,-4.98261877172654,55064435.0,15730,SEK
36GRP,36 Group AB,NGM,Technology Services,Packaged Software,0.104,0.11,0.101,0.103,0.0,3759951.0,1073475,SEK
4C,4C Group AB,OMXSTO,Commercial Services,Miscellaneous Commercial Services,7.4,7.5,7.32,7.46,0.26881720430106953,284766014.0,26302,SEK
8TRA,TRATON SE,OMXSTO,Consumer Durables,Motor Vehicles,378.0,383.2,374.8,381.4,1.0063559322033777,188490122024.57574,75237,SEK
AAC,AAC Clyde Space AB,OMXSTO,Electronic Technology,Telecommunications Equipment,141.8,148.8,138.2,139.4,-2.244039270687229,1017129382.0,43227,SEK
AAK,AAK AB,OMXSTO,Consumer Non-Durables,Food: Specialty/Candy,240.0,240.6,227.8,228.6,-4.670558798999172,62242297936.0,791775,SEK
ABAS,ABAS PROTECT AB,NGM,Producer Manufacturing,Metal Fabrication,7.45,7.45,7.45,7.45,0.0,52632879.199999996,268,SEK
ABB,ABB Ltd.,OMXSTO,Producer Manufacturing,Electrical Products,985.0,1001.5,983.4,990.8,1.6413623307345095,1761727017311.0198,436543,SEK
ABERA,ABERA BIOSCIENCE AB,NGM,Health Technology,Biotechnology,8.52,9.84,8.22,8.9,4.460093896713625,157167266.0,25747,SEK
ABGO,ABG Sundal Collier Holding ASA,OMXSTO,Finance,Investment Banks/Brokers,7.35,7.39,7.35,7.39,0.5442176870748304,3821375033.1912932,5887,NOK
ABI,AB IGRENE,NGM,Energy Minerals,Integrated Oil,0.46,0.508,0.46,0.476,3.930131004366803,77523349.0,249254,SEK
ABIG,Abelco Investment Group AB,NGM,Producer Manufacturing,Trucks/Construction/Farm Machinery,0.004,0.005,0.004,0.005,0.0,11469201.0,15440751,SEK
ABLO,ABL Group ASA,OMXSTO,Commercial Services,Miscellaneous Commercial Services,9.1,9.1,9.1,9.1,-9.900990099009901,1208916832.167522,323,NOK
ABSL.B,ABSOLICON SOLAR COLLECTOR AB CLASS B,NGM,Producer Manufacturing,Building Products,6.3,6.5,6.22,6.4,4.918032786885258,70826448.0,30189,SEK
ABSO,Absolent Air Care Group AB,OMXSTO,Producer Manufacturing,Industrial Machinery,201.0,201.0,198.0,200.0,0.0,2264193535.0,24,SEK
ACAD,AcadeMedia AB,OMXSTO,Consumer Services,Other Consumer Services,96.0,96.8,95.3,96.1,-0.5175983436853002,9260675093.0,93642,SEK
ACARIX,Acarix AB,OMXSTO,Health Technology,Medical Specialties,0.2545,0.264,0.245,0.249,-1.9685039370078756,285323306.0,1105197,SEK
ACAST,Acast AB,OMXSTO,Technology Services,Packaged Software,37.8,40.45,37.8,39.1,5.67567567567568,6751215027.0,744604,SEK
ACCON,Acconeer AB,OMXSTO,Electronic Technology,Semiconductors,18.56,18.78,17.0,17.98,-3.0204962243797127,1411664090.0,655913,SEK
