symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
AB,Amen Bank,BVMT,Finance,Regional Banks,72.79,73.0,72.15,72.7,0.0,2538683760.0,4087.0,TND
AL,Air Liquide Tunisie SA,BVMT,Process Industries,Chemicals: Specialty,182.5,182.5,182.5,182.5,0.0,298844672.0,134.0,TND
AMV,Assurances Maghrebia Vie,BVMT,Finance,Multi-Line Insurance,10.39,10.39,10.1,10.2,-1.734104046242789,311100000.0,4131.0,TND
ARTES,Automobile Reseau Tunisien et Services SA,BVMT,Retail Trade,Specialty Stores,13.01,13.4,13.0,13.05,-3.6900369003690034,499162507.0,5624.0,TND
ASSAD,L'Accumulateur Tunisien Assad,BVMT,Producer Manufacturing,Electrical Products,2.95,2.95,2.95,2.95,-4.220779220779217,70800001.0,19698.0,TND
ASSMA,Assurances Maghrebia SA,BVMT,Finance,Multi-Line Insurance,68.727204,69.4635669,68.727204,69.4635669,-0.11764705882351856,2589450000.0,44.000044,TND
AST,Compagnie d'Assurances & de Reassurances SA,BVMT,Finance,Multi-Line Insurance,73.0,73.0,73.0,73.0,-2.666666666666667,438000000.0,75.0,TND
ATB,Arab Tunisian Bank SA,BVMT,Finance,Regional Banks,4.5,4.59,4.41,4.56,1.3333333333333246,455999994.0,29388.0,TND
ATL,Arab Tunisian Lease SA,BVMT,Finance,Finance/Rental/Leasing,12.25,12.59,12.11,12.25,0.0,428750000.0,4818.0,TND
BH,BH Bank,BVMT,Finance,Regional Banks,14.0,14.0,13.98,13.98,-0.14285714285713982,665447957.0,51.0,TND
BHASS,BH Assurance SA,BVMT,Finance,Insurance Brokers/Services,62.44,62.44,62.44,62.44,-2.498438475952543,166090402.0,15.0,TND
BHL,BH Leasing SA,BVMT,Finance,Finance/Rental/Leasing,4.5,4.5,4.2,4.2,-4.109589041095884,29399999.0,2124.0,TND
