symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
1010,Riyad Bank,TADAWUL,Finance,Major Banks,20.95,21.02,20.83,21.02,0.3341288782816243,83599998474.0,1457460,SAR
1020,Bank Aljazira,TADAWUL,Finance,Major Banks,11.86,12.08,11.82,12.0,1.3513513513513526,15182812989.0,3701175,SAR
1030,Saudi Investment Bank,TADAWUL,Finance,Regional Banks,13.36,13.45,13.36,13.45,0.6736526946107774,16688874796.0,624257,SAR
1050,Banque Saudi Fransi,TADAWUL,Finance,Major Banks,19.52,19.75,19.33,19.75,2.0144628099173585,48470080659.0,1083250,SAR
1060,Saudi Awwal Bank,TADAWUL,Finance,Major Banks,33.88,34.04,33.7,34.04,1.0089020771513242,69287670809.0,988061,SAR
1080,Arab National Bank,TADAWUL,Finance,Major Banks,21.57,21.62,21.37,21.6,0.46511627906977404,43319999695.0,781254,SAR
1111,Saudi Tadawul Group Holding Company,TADAWUL,Finance,Investment Banks/Brokers,136.0,136.0,133.9,134.5,-1.1756061719323985,16523999634.0,215915,SAR
1120,Al Rajhi Bank,TADAWUL,Finance,Major Banks,67.0,67.15,66.85,67.0,0.0,400500000000.0,2967641,SAR
1140,Bank Albilad,TADAWUL,Finance,Regional Banks,25.0,25.08,24.89,25.08,0.3199999999999932,37890000343.0,973719,SAR
1150,Alinma Bank,TADAWUL,Finance,Major Banks,25.12,25.2,25.04,25.16,0.07955449482895614,75264004329.0,2326348,SAR
1180,Saudi National Bank,TADAWUL,Finance,Major Banks,41.2,41.4,40.88,41.0,-0.8224479922593212,247842979972.0,2077568,SAR
1182,Amlak International for Real Estate Finance Company,TADAWUL,Finance,Real Estate Investment Trusts,9.1,9.1,8.86,8.88,-2.3102310231023,942806278.0,803210,SAR
1183,SHL Finance Co.,TADAWUL,Finance,Finance/Rental/Leasing,15.46,15.58,15.37,15.53,0.5177993527508095,1539999962.0,173722,SAR
1201,Takween Advanced Industries Co.,TADAWUL,Process Industries,Containers/Packaging,5.37,5.37,5.14,5.17,-1.5238095238095253,397615943.0,375536,SAR
1202,Middle East Paper Co.,TADAWUL,Process Industries,Pulp & Paper,18.27,18.27,17.93,18.06,-1.1494252873563264,1573600505.0,470499,SAR
1210,Basic Chemical Industries Co.,TADAWUL,Process Industries,Chemicals: Major Diversified,24.34,24.34,23.99,24.0,-1.3157894736842117,666599994.0,69327,SAR
1211,Saudi Arabian Mining Co.,TADAWUL,Non-Energy Minerals,Other Metals/Minerals,63.9,64.0,62.5,63.0,-0.7874015748031495,251991881985.0,1423711,SAR
1212,Astra Industrial Group,TADAWUL,Health Technology,Pharmaceuticals: Major,134.3,136.3,133.9,135.1,0.29695619896065756,10791999512.0,81738,SAR
1213,Naseej International Trading Co.,TADAWUL,Consumer Durables,Home Furnishings,23.46,23.46,22.51,22.6,-2.037277850021668,253798144.0,185188,SAR
1214,Al Hassan Ghazi Ibrahim Shaker Co.,TADAWUL,Distribution Services,Wholesale Distributors,13.91,14.08,13.86,14.0,0.7194244604316521,962836205.0,531454,SAR
1301,United Wire Factories Co.,TADAWUL,Producer Manufacturing,Metal Fabrication,17.0,17.08,16.87,16.88,0.05927682276228814,473428816.0,55044,SAR
1302,Bawan Co.,TADAWUL,Non-Energy Minerals,Steel,42.44,42.44,41.88,42.12,-0.6603773584905688,2563200073.0,150918,SAR
1303,Electrical Industries Co.,TADAWUL,Producer Manufacturing,Electrical Products,15.52,15.68,15.33,15.47,-0.19354838709677008,17778345472.0,2549076,SAR
1304,Al Yamamah Steel Industries Co.,TADAWUL,Producer Manufacturing,Metal Fabrication,41.3,43.24,40.8,42.9,4.1262135922329986,2043176031.0,1849358,SAR
1320,Saudi Steel Pipe Co.,TADAWUL,Non-Energy Minerals,Steel,56.15,56.8,55.3,56.0,0.35842293906810546,2875857665.0,218465,SAR
1321,East Pipes Integrated Company for Industry,TADAWUL,Non-Energy Minerals,Steel,222.4,230.0,222.4,226.5,1.8435251798561128,7024500000.0,196197,SAR
1322,Al Masane Al Kobra Mining Co.,TADAWUL,Non-Energy Minerals,Other Metals/Minerals,75.5,76.25,75.25,76.0,0.6622516556291391,6760125048.0,246832,SAR
1323,United Carton Industries Company,TADAWUL,Process Industries,Containers/Packaging,25.56,26.0,25.22,25.64,0.3129890453834188,1015999985.0,262115,SAR
1324,Saleh Abdulaziz Al Rashed & Sons Co.,TADAWUL,Distribution Services,Wholesale Distributors,44.16,45.98,43.46,45.16,2.5431425976385045,834768000.0,756118,SAR
1810,Seera Holding Group,TADAWUL,Finance,Finance/Rental/Leasing,21.04,21.17,20.86,21.02,0.0,5875603096.0,324949,SAR
1820,BAAN Holding Group Company,TADAWUL,Consumer Services,Hotels/Resorts/Cruise lines,2.09,2.13,2.08,2.1,0.9615384615384623,636299994.0,4873727,SAR
1830,Leejam Sports Co.,TADAWUL,Consumer Services,Other Consumer Services,81.05,81.05,79.85,79.9,-1.3580246913580178,4250909582.0,57463,SAR
1831,Maharah Human Resources Co.,TADAWUL,Commercial Services,Personnel Services,6.55,6.6,6.5,6.6,0.7633587786259515,2960999966.0,1476978,SAR
1832,Sadr Logistics Co.,TADAWUL,Producer Manufacturing,Building Products,2.65,2.68,2.65,2.67,0.7547169811320762,469000012.0,428399,SAR
1833,Almawarid Manpower Company,TADAWUL,Commercial Services,Personnel Services,102.8,104.7,102.3,104.2,1.263362487852281,2031999969.0,152066,SAR
1834,Saudi Manpower Solutions Company,TADAWUL,Commercial Services,Personnel Services,6.36,6.4,6.28,6.35,0.3159557661927263,2560000038.0,1156770,SAR
1835,Tamkeen Human Resources Company,TADAWUL,Commercial Services,Personnel Services,48.9,48.9,47.4,47.52,-1.9801980198019673,1235429972.0,242764,SAR
2010,Saudi Basic Industries Corp.,TADAWUL,Process Industries,Chemicals: Major Diversified,54.1,54.3,53.7,54.1,0.1851851851851878,162600002289.0,1038754,SAR
2020,SABIC Agri-Nutrients Co.,TADAWUL,Process Industries,Chemicals: Agricultural,129.7,129.7,126.3,126.5,-2.391975308641971,61122942505.0,624878,SAR
2030,Saudi Arabia Refineries Co.,TADAWUL,Finance,Financial Conglomerates,44.98,46.88,44.7,46.06,2.401067140951546,672299995.0,391194,SAR
2040,Saudi Ceramic Co.,TADAWUL,Producer Manufacturing,Building Products,26.68,26.82,25.5,26.68,0.0,2701229992.0,131568,SAR
2050,Savola Group,TADAWUL,Process Industries,Agricultural Commodities/Milling,29.48,29.7,29.1,29.68,1.9230769230769187,8848544294.0,893477,SAR
2060,National Industrialization Co.,TADAWUL,Producer Manufacturing,Industrial Conglomerates,9.35,9.41,9.29,9.41,0.6417112299465294,6341306164.0,371026,SAR
