symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
10X,Exultant Mining Ltd.,ASX,Non-Energy Minerals,Other Metals/Minerals,0.19,0.205,0.175,0.205,7.894736842105256,5149000.0,198483,AUD
14D,1414 Degrees Ltd.,ASX,Producer Manufacturing,Building Products,0.105,0.107,0.096,0.1,-4.761904761904753,63755993.0,18206523,AUD
1AD,AdAlta Ltd.,ASX,Health Technology,Biotechnology,0.003,0.003,0.003,0.003,0.0,7967945.0,441712,AUD
1AE,Aurora Energy Metals Limited,ASX,Non-Energy Minerals,Other Metals/Minerals,0.06,0.061,0.06,0.061,1.6666666666666683,10743824.0,97412,AUD
1AI,Algorae Pharmaceuticals Limited,ASX,Health Technology,Pharmaceuticals: Other,0.01,0.011,0.01,0.01,-9.090909090909085,22281281.0,1419531,AUD
1CG,One Click Group Limited,ASX,Technology Services,Packaged Software,0.009,0.009,0.009,0.009,0.0,11765575.0,7584,AUD
1GOV,Vaneck 1-5 Year Australian Government Bond ETF Exchange Traded Fund Units,ASX,Miscellaneous,Investment Trusts/Mutual Funds,51.35,51.41,51.35,51.41,0.1948937828883148,,558,AUD
1MC,Morella Corporation Limited,ASX,Non-Energy Minerals,Other Metals/Minerals,0.025,0.025,0.025,0.025,0.0,11043860.0,221096,AUD
1TT,Thrive Tribe Technologies Limited,ASX,Technology Services,Packaged Software,0.003,0.003,0.002,0.003,0.0,14259230.0,861049,AUD
28BB,Betashares 2028 Corporate Bond Active ETF Exchange Traded Fund Units,ASX,,,24.89,24.89,24.86,24.86,0.0,,2,AUD
29BB,Betashares 2029 Corporate Bond Active ETF Exchange Traded Fund Units,ASX,,,24.75,24.76,24.74,24.74,-0.04040404040404672,,37,AUD
29M,29Metals Limited,ASX,Non-Energy Minerals,Other Metals/Minerals,0.26,0.265,0.25,0.26,-1.8867924528301903,463032288.0,4628000,AUD
30BB,Betashares 2030 Corporate Bond Active ETF Exchnage Traded Fund Units,ASX,,,24.66,24.68,24.65,24.65,0.04058441558440751,,2102,AUD
31BB,Betashares 2031 Fixed Term Corp Bond Active ETF,ASX,Miscellaneous,Investment Trusts/Mutual Funds,25.36,25.36,25.36,25.36,-0.431880643894776,,3200,AUD
360,"Life360, Inc. Shs Chess Depository Interests Repr 3 Sh",ASX,Technology Services,Packaged Software,22.63,23.11,22.51,23.09,3.357206803939123,5499034505.341989,617399,AUD
3DA,Amaero Ltd,ASX,Process Industries,Chemicals: Major Diversified,0.275,0.285,0.265,0.265,-3.636363636363639,262164988.0,399810,AUD
3DP,Pointerra Ltd.,ASX,Technology Services,Information Technology Services,0.029,0.029,0.028,0.028,-3.4482758620689684,24150966.0,788709,AUD
