symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
AAYAN,A'ayan Leasing & Investment Co.,KSE,Finance,Real Estate Development,294.0,294.0,286.0,286.0,-3.050847457627119,192691708.0,8905049,KWF
AAYANRE,A'ayan Real Estate Company,KSE,Finance,Real Estate Development,183.0,185.0,176.0,179.0,-3.2432432432432434,80738517.0,126460,KWF
ABAR,"Burgan Co. for Well Drilling, Trading & Maintenance SAK",KSE,Industrial Services,Contract Drilling,190.0,190.0,182.0,187.0,1.6304347826086956,46794452.0,76790,KWF
ABK,Al Ahli Bank Of Kuwait,KSE,Finance,Major Banks,267.0,267.0,264.0,264.0,-0.7518796992481203,727437987.0,938719,KWF
ACICO,ACICO Industries Co. (K.S.C),KSE,Non-Energy Minerals,Construction Materials,454.0,454.0,444.0,444.0,-1.9867549668874174,149575964.0,596069,KWF
AINS,Al-Ahleia Insurance Co.,KSE,Finance,Property/Casualty Insurance,688.0,688.0,688.0,688.0,0.0,169383294.0,2910,KWF
ALAQARIA,Kuwait Real Estate Holding Co. KSHC,KSE,Finance,Real Estate Development,63.3,65.5,62.3,64.7,-0.4615384615384572,12228334.0,511650,KWF
ALDEERA,Al-Deera Holding Company,KSE,Finance,Financial Conglomerates,599.0,604.0,588.0,595.0,0.33726812816188867,67344679.0,987053,KWF
ALENMA,Al-Enmaa Real Estate Company KSCP,KSE,Finance,Real Estate Development,121.0,121.0,118.0,118.0,-2.479338842975207,42414698.0,782015,KWF
ALFTAQA,Action Energy Company K.S.C.C.,KSE,Industrial Services,Contract Drilling,270.0,270.0,268.0,269.0,-0.3703703703703704,152955000.0,220697,KWF
ALG,Ali Alghanim Sons Automotive Company,KSE,Distribution Services,Wholesale Distributors,918.0,938.0,903.0,904.0,-1.632208922742111,361460117.0,920981,KWF
ALIMTIAZ,Alimtiaz Group Holding Company (K.S.C.P),KSE,Finance,Investment Managers,76.7,77.1,75.0,76.8,0.7874015748031421,71274343.0,7494477,KWF
ALKOUT,Al-Kout Industrial Projects Co. KSC,KSE,Process Industries,Chemicals: Specialty,848.0,895.0,848.0,895.0,0.336322869955157,90306210.0,41,KWF
ALMANAR,Al Manar Financing & Leasing Company K.S.C.,KSE,Finance,Finance/Rental/Leasing,114.0,114.0,110.0,112.0,-1.7543859649122806,30067225.0,111816,KWF
ALOLA,First Investment Co. K.S.C.P.,KSE,Finance,Investment Managers,124.0,126.0,123.0,125.0,0.8064516129032258,55301365.0,2369531,KWF
ALSAFAT,Al Safat Investment Co. KSCC,KSE,Finance,Real Estate Development,179.0,179.0,173.0,175.0,-1.6853932584269662,53728286.0,1159953,KWF
ALTIJARIA,Commercial Real Estate Co.,KSE,Miscellaneous,Investment Trusts/Mutual Funds,192.0,193.0,191.0,192.0,0.5235602094240838,379666475.0,8779556,KWF
AMAR,Amar Finance & Leasing Co. KSCC,KSE,Finance,Real Estate Development,108.0,108.0,106.0,106.0,-0.9345794392523363,20889773.0,633844,KWF
AQAR,Aqar Real Estate Investments Company (K.S.C.P),KSE,Finance,Real Estate Development,96.6,96.6,93.7,95.0,0.0,20099574.0,108887,KWF
ARABREC,Al-Arabiya Real Estate Co.,KSE,Finance,Real Estate Development,184.0,192.0,180.0,180.0,-0.5524861878453038,69031375.0,10071016,KWF
AREEC,Ajial Real Estate Entertainment Co.(K.S.C.),KSE,Finance,Financial Conglomerates,297.0,309.0,297.0,309.0,0.0,64665574.00000001,325,KWF
ARGAN,Alargan International Real Estate Co.,KSE,Consumer Services,Hotels/Resorts/Cruise lines,129.0,130.0,127.0,127.0,-0.78125,36045349.0,1826689,KWF
ARKAN,Arkan Al-Kuwait Real Estate Co. (K.S.C.),KSE,Finance,Real Estate Development,271.0,278.0,270.0,275.0,-1.7857142857142856,87192246.0,86477,KWF
ARZAN,Arzan Financial Group for Financing and Investment (KPSC),KSE,Finance,Investment Managers,346.0,348.0,343.0,345.0,0.29069767441860467,323619712.0,1019800,KWF
ASC,Automated Systems Co. KSCC,KSE,Technology Services,Information Technology Services,679.0,703.0,674.0,701.0,4.005934718100891,67400002.0,1553786,KWF
ASIYA,Asiya Capital Investments Company (K.S.C.P),KSE,Finance,Financial Conglomerates,41.4,41.4,40.0,40.5,-0.9779951100244464,33392395.999999996,6287262,KWF
ATC,Advanced Technology Co.,KSE,Distribution Services,Medical Distributors,517.0,529.0,500.0,501.0,-7.904411764705882,107712006.0,9074,KWF
AZNOULA,Shamal Az-Zour Al-Oula Power and Water Company,KSE,Utilities,Electric Utilities,143.0,144.0,142.0,142.0,-0.6993006993006993,157300007.0,961626,KWF
BAYANINV,Bayan Investment Holding Company,KSE,Finance,Financial Conglomerates,76.8,76.8,75.7,76.5,0.5256241787122282,15644141.0,452630,KWF
BEYOUT,Beyout Holding Company K.S.C,KSE,Commercial Services,Miscellaneous Commercial Services,340.0,340.0,337.0,339.0,0.5934718100890208,101010025.0,841678,KWF
BOUBYAN,Boubyan Bank K.S.C.,KSE,Finance,Major Banks,644.0,644.0,637.0,640.0,-0.6211180124223602,3039139111.0,3219271,KWF
BOURSA,Boursa Kuwait Securities Company (K.P.S.C),KSE,Finance,Investment Banks/Brokers,3015.0,3015.0,2970.0,2972.0,-1.2624584717607974,604335026.0,159411,KWF
BPCC,Boubyan Petrochemical Co. (K.S.C.),KSE,Process Industries,Chemicals: Specialty,685.0,690.0,684.0,686.0,0.145985401459854,357191253.0,2173565,KWF
BURG,Burgan Bank,KSE,Finance,Major Banks,188.0,188.0,186.0,186.0,-0.53475935828877,746296481.0,2727054,KWF
