symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
2P,2PERFORMANT NETWORK S.A.,BVB,,,1.07,1.08,1.05,1.05,-0.9433962264150951,,16704,RON
4RT,Fort SA,BVB,,,1.62,1.62,1.62,1.62,-0.6134969325153244,,65,RON
AAB,Agroland Agribusiness S.A.,BVB,Distribution Services,Wholesale Distributors,3.96,3.96,3.7,3.96,0.0,,5458,RON
AAG,AAGES S.A,BVB,Producer Manufacturing,Industrial Machinery,4.14,4.14,4.04,4.05,-2.1739130434782576,41110200.0,1155,RON
ABN,ABN Systems International,BVB,,,0.266,0.28,0.266,0.28,-0.7092198581560094,,2563,RON
ADISS,Adiss SA,BVB,,,0.186,0.22,0.186,0.22,0.0,,9887,RON
ADMY,Admet SA Galati,BVB,Non-Energy Minerals,Other Metals/Minerals,19.8,19.8,19.8,19.8,-0.9999999999999963,,9,RON
ADS,adidas AG,BVB,Consumer Non-Durables,Apparel/Footwear,944.4,958.0,944.4,958.0,1.5906680805938493,168155027021.8272,37,RON
AG,Agroland Business System SA,BVB,Retail Trade,Specialty Stores,1.475,1.5,1.475,1.5,1.6949152542372818,132719010.25,46950,RON
ALB,Albapam S.A.,BVB,Consumer Non-Durables,Food: Specialty/Candy,3.08,3.4,3.08,3.3,-24.657534246575345,,133,RON
ALDANI,Aldani Master Capital SA,BVB,Finance,Real Estate Development,1.98,2.38,1.98,1.98,0.0,,858,RON
ALR,Alro S.A.,BVB,Non-Energy Minerals,Aluminum,1.41,1.42,1.4,1.4,-1.0600706713781005,1009997419.0,22613,RON
ALT,Altur SA,BVB,Producer Manufacturing,Auto Parts: OEM,0.0715,0.074,0.068,0.074,8.823529411764692,20811309.0,75225,RON
ALU,Alumil Rom Industry SA,BVB,Non-Energy Minerals,Aluminum,2.91,2.95,2.91,2.95,1.3745704467353963,90937503.0,22753,RON
ALV,Allianz SE,BVB,Finance,Multi-Line Insurance,2168.0,2168.0,2168.0,2168.0,8.4,823234504151.41,1,RON
ALW,Visual Fan SA,BVB,Electronic Technology,Telecommunications Equipment,23.0,23.0,22.1,22.8,-0.8695652173913012,,5066,RON
AMAL,International Caviar Corp. SA,BVB,Process Industries,Agricultural Commodities/Milling,0.0365,0.0365,0.0365,0.0365,-20.65217391304348,,3500,RON
APP,Appraisal & Valuation SA,BVB,,,1.32,1.39,1.3,1.39,-2.1126760563380302,,5001,RON
AQ,Aquila Part Prod Com SA,BVB,Distribution Services,Wholesale Distributors,1.45,1.505,1.43,1.495,3.103448275862079,1913742879.0,829704,RON
ARAX,Armax Gaz SA,BVB,Producer Manufacturing,Metal Fabrication,1.68,1.68,1.5,1.58,-5.952380952380945,10318224.0,2011,RON
ARCU,SIFI Cluj Retail SA,BVB,Finance,Real Estate Development,3.64,4.0,3.6,3.96,0.5076142131979701,,113,RON
ARCV,Imotrust SA,BVB,Consumer Durables,Homebuilding,0.166,0.166,0.166,0.166,0.0,,2500,RON
ARJI,Arteca Jilava S.A,BVB,Process Industries,Industrial Specialties,19.6,19.6,19.6,19.6,-29.999999999999993,,8,RON
ARM,Armatura SA,BVB,Producer Manufacturing,Industrial Machinery,0.298,0.3,0.298,0.3,0.671140939597316,,245,RON
ARMT,Caromet SA,BVB,Producer Manufacturing,Trucks/Construction/Farm Machinery,2.98,2.98,2.98,2.98,0.0,,1,RON
ARO,Aro-Palace SA,BVB,Consumer Services,Hotels/Resorts/Cruise lines,0.62,0.85,0.62,0.85,6.249999999999992,322561256.0,5891,RON
AROBS,Arobs Transilvania Software S.A.,BVB,Technology Services,Packaged Software,0.688,0.694,0.686,0.694,0.8720930232558148,736880779.0,256028,RON
ARS,Aerostar SA,BVB,Electronic Technology,Aerospace & Defense,12.8,13.15,12.7,13.15,3.5433070866141816,1933923593.0,2314,RON
ARTE,Artego SA,BVB,Producer Manufacturing,Industrial Machinery,10.6,10.6,10.6,10.6,0.0,86016312.0,10,RON
ASC,Ascendia SA,BVB,Technology Services,Packaged Software,12.45,12.45,12.1,12.35,-0.8032128514056196,,2776,RON
AST,Arctic Stream SA,BVB,,,20.7,20.7,20.7,20.7,0.0,,10,RON
ATB,Antibiotice SA,BVB,Health Technology,Pharmaceuticals: Major,2.165,2.17,2.14,2.15,-0.692840646651276,1453446904.0,82234,RON
ATRD,Atelierele CFR Grivita SA,BVB,Consumer Services,Other Consumer Services,41.0,44.8,40.2,44.8,1.818181818181812,,74,RON
AVIO,Avioane Craiova SA,BVB,Electronic Technology,Aerospace & Defense,2.44,2.55,2.44,2.55,0.0,,51,RON
BALN,Tratament Balnear Buzias SA,BVB,Consumer Services,Hotels/Resorts/Cruise lines,0.132,0.132,0.132,0.132,-2.222222222222224,,90,RON
BAYN,Bayer AG,BVB,Health Technology,Pharmaceuticals: Major,248.0,250.0,248.0,250.0,2.627257799671595,249668590768.31668,1670,RON
BBGA,Alum SA,BVB,Non-Energy Minerals,Aluminum,2.26,2.26,2.18,2.18,5.825242718446607,169097572.0,101,RON
BCM,Casa de Bucovina Club de Munte SA,BVB,Consumer Services,Hotels/Resorts/Cruise lines,0.146,0.149,0.145,0.149,3.472222222222226,,25012,RON
BENTO,2B Intelligent Soft S.A.,BVB,Technology Services,Information Technology Services,8.38,8.38,8.2,8.28,-1.1933174224343843,117320502.8,5295,RON
BIBU,Biroul de Turism pentru Tineret SA,BVB,Consumer Services,Hotels/Resorts/Cruise lines,11.8,11.8,11.8,11.8,15.686274509803935,,1,RON
BIO,Biofarm SA,BVB,Health Technology,Pharmaceuticals: Major,1.36,1.365,1.36,1.365,-0.3649635036496434,1349953135.0,200936,RON
BIOW,Vifrana SA,BVB,,,0.0825,0.0825,0.077,0.077,-7.228915662650609,,16000,RON
BKBETETF,BET BRK ETF Open-Ended Investment Fund,BVB,,,39.22,40.015,39.2,39.92,1.7848036715961315,,2294,RON
BMW,Bayerische Motoren Werke AG,BVB,Consumer Durables,Motor Vehicles,305.0,308.1,304.4,304.4,-0.7822685788787596,194887427610.85806,1143,RON
BNET,Bittnet Systems SA,BVB,Technology Services,Information Technology Services,0.0998,0.1015,0.0998,0.101,0.4975124378109457,63734760.0,272716,RON
BONA,Bonas Import Export S.A.,BVB,,,0.57,0.575,0.57,0.575,0.8771929824561412,,809,RON
BRCR,Braiconf SA,BVB,Consumer Non-Durables,Apparel/Footwear,0.33,0.33,0.33,0.33,-7.303370786516846,,500,RON
BRD,BRD Groupe Societe Generale SA (Romania),BVB,Finance,Major Banks,35.9,37.8,35.9,36.45,1.532033426183856,25018764528.0,37569,RON
BRK,SSIF BRK Financial Group SA,BVB,Finance,Investment Banks/Brokers,0.1065,0.1125,0.1065,0.1125,3.6866359447004644,36576432.0,2190703,RON
BRM,Bermas S.A.,BVB,Consumer Non-Durables,Beverages: Alcoholic,2.32,2.32,2.32,2.32,0.0,50003072.0,53,RON
BRNA,Romnav SA,BVB,Transportation,Marine Shipping,19.8,19.8,19.7,19.7,-0.5050505050505122,,51,RON
BTBETRETF,FDI BT Index Romania ETF BET-TR,BVB,,,11.4,11.594,11.398,11.59,2.1685472496473945,,983743,RON
BTF,BET-FI Index Invest Closed-End Investment Fund Units,BVB,,,1030.0,1030.0,1030.0,1030.0,-2.8301886792452833,,6,RON
BUCS,Bucovina SA Scheia,BVB,Consumer Services,Restaurants,0.298,0.298,0.296,0.296,23.333333333333332,,57,RON
BUCU,Bucur Obor SA,BVB,Finance,Real Estate Development,1.77,1.77,1.77,1.77,0.5681818181818187,195646880.0,760,RON
BUCV,Bucur SA,BVB,Finance,Real Estate Development,1.2,1.25,1.2,1.25,-0.7936507936507943,,1299,RON
BVB,Bursa de Valori Bucuresti,BVB,Finance,Investment Banks/Brokers,58.4,58.4,57.8,58.0,-1.0238907849829375,593914128.0,3906,RON
CACU,SIFI CJ LOGISTIC SA,BVB,Distribution Services,Wholesale Distributors,21.4,21.4,21.4,21.4,1.904761904761898,,2,RON
CAIN,Casa Alba-Independenta SA Sibiu,BVB,Finance,Real Estate Development,45.0,50.0,45.0,46.0,2.2222222222222223,,1567,RON
CAOR,SIF Hoteluri S.A.,BVB,Consumer Services,Hotels/Resorts/Cruise lines,1.9,1.9,1.9,1.9,11.764705882352938,61070637.0,103,RON
CBC,Carbochim SA,BVB,Producer Manufacturing,Industrial Machinery,27.0,27.0,25.0,25.0,-7.4074074074074066,132984764.00000001,249,RON
CBKN,Commerzbank AG,BVB,Finance,Regional Banks,194.45,194.45,194.45,194.45,-2.7750000000000057,220362635123.30017,1,RON
CC,CONNECTIONS CONSULT S.A.,BVB,Technology Services,Packaged Software,14.3,14.3,13.85,14.05,-0.35460992907800665,,1442,RON
CCOM,Cerealcom SA,BVB,Commercial Services,Miscellaneous Commercial Services,0.089,0.089,0.089,0.089,11.249999999999991,,12,RON
CFED,Constructii Feroviare Craiova SA Craiova,BVB,Industrial Services,Engineering & Construction,1.94,1.94,1.94,1.94,10.227272727272723,,82,RON
CFH,Cris-Tim Family Holding S.A.,BVB,Consumer Non-Durables,Food: Meat/Fish/Dairy,30.7,31.85,30.7,31.85,4.426229508196726,2458300000.0,15620,RON
