symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
ABSA,Absa Bank Kenya Plc,NSEKE,Finance,Regional Banks,33.0,33.4,32.9,33.4,1.5197568389057752,178697547057.0,282422,KES
AMAC,Africa Mega Agricorp PLC,NSEKE,Process Industries,Agricultural Commodities/Milling,109.25,111.0,102.0,111.0,1.6018306636155606,1415491000.0,326,KES
BAT,British American Tobacco Kenya PLC,NSEKE,Consumer Non-Durables,Tobacco,570.0,572.0,567.0,572.0,0.5272407732864675,56800000000.0,6058,KES
BKG,BK Group Plc,NSEKE,Finance,Major Banks,53.75,55.0,53.75,54.0,0.0,48649190796.0,8579,KES
BOC,B.O.C Kenya Ltd,NSEKE,Process Industries,Chemicals: Specialty,175.0,175.0,170.0,175.0,0.0,3421834401.0,449,KES
BRIT,Britam Holdings PLC,NSEKE,Finance,Multi-Line Insurance,13.2,13.8,13.1,13.5,0.7462686567164152,33688549961.999996,69821,KES
CARB,Carbacid Investments Ltd,NSEKE,Process Industries,Chemicals: Specialty,34.9,36.45,34.9,36.4,1.1111111111111072,9098216228.0,33508,KES
CGEN,Car & General (Kenya) PLC,NSEKE,Distribution Services,Wholesale Distributors,118.0,123.0,118.0,119.5,1.2711864406779663,9504484383.0,4931,KES
CIC,CIC Insurance Group PLC,NSEKE,Finance,Multi-Line Insurance,4.5,4.59,4.42,4.55,1.1111111111111072,12918144798.0,208740,KES
COOP,Co-operative Bank of Kenya Ltd.,NSEKE,Finance,Regional Banks,35.0,35.0,34.4,34.65,-0.5738880918221028,204471015974.0,1076945,KES
CRWN,Crown Paints Kenya PLC,NSEKE,Process Industries,Industrial Specialties,62.75,62.75,59.75,62.25,2.0491803278688523,8577310471.000001,786,KES
CTUM,Centum Investment Company PLC,NSEKE,Finance,Financial Conglomerates,14.95,15.0,14.5,14.5,-3.010033444816049,9915082156.0,30412,KES
DTK,Diamond Trust Bank Kenya Ltd.,NSEKE,Finance,Regional Banks,150.0,150.0,146.5,146.75,-0.8445945945945946,41101528381.0,649936,KES
EABL,East African Breweries Plc,NSEKE,Distribution Services,Food Distributors,268.5,269.75,264.0,266.75,0.28195488721804507,211557875610.0,24147,KES
EGAD,Eaagads Ltd,NSEKE,Consumer Non-Durables,Food: Specialty/Candy,31.0,31.0,29.5,30.95,-0.16129032258064746,979180720.0,1523,KES
EQTY,Equity Group Holdings Limited,NSEKE,Finance,Regional Banks,87.0,89.0,86.0,86.5,-0.5747126436781609,327366289307.0,1899651,KES
EVRD,Eveready East Africa PLC,NSEKE,Producer Manufacturing,Electrical Products,1.12,1.12,1.06,1.07,-2.7272727272727297,235200001.0,186881,KES
FMLY,Family Bank Limited,NSEKE,Finance,Regional Banks,25.0,25.0,24.25,24.5,0.0,40485644380.0,1837035,KES
FTGH,Flame Tree Group Holdings Ltd,NSEKE,Producer Manufacturing,Miscellaneous Manufacturing,1.9,1.9,1.82,1.86,-2.105263157894727,334740545.0,76404,KES
GLD,NEW GOLD ISSUER LTD.,NSEKE,Miscellaneous,Investment Trusts/Mutual Funds,5295.0,5295.0,4985.0,5010.0,-5.382436260623229,,393,KES
HAFR,Home Afrika Ltd.,NSEKE,Consumer Durables,Homebuilding,1.19,1.32,1.19,1.2,0.8403361344537823,490358941.0,1547316,KES
HFCK,HFCB Group Plc,NSEKE,Finance,Finance/Rental/Leasing,10.65,11.0,10.5,10.95,2.8169014084506943,19986173913.0,249638,KES
