symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
000001,Ping An Bank Co. Ltd. Class A,SZSE,Finance,Major Banks,10.5,10.51,10.4,10.45,-0.38131553860820705,203568075051.0,95795835,CNY
000002,"China Vanke Co., Ltd Class A",SZSE,Finance,Real Estate Development,2.99,3.14,2.95,3.11,4.362416107382547,33326399266.90779,216104613,CNY
000004,Shenzhen GuoHua Network Security Technology Co.Ltd. Class A,SZSE,Electronic Technology,Computer Processing Hardware,0.45,0.46,0.45,0.46,9.523809523809533,55599716.0,3630689,CNY
000006,Shenzhen Zhenye (Group) Co. Ltd. Class A,SZSE,Finance,Real Estate Development,6.86,7.39,6.83,7.08,3.5087719298245648,9233965973.0,32971944,CNY
000007,"Shenzhen Quanxinhao Co., Ltd Class A",SZSE,Consumer Services,Hotels/Resorts/Cruise lines,10.85,11.42,10.8,11.1,2.3041474654377883,3758961242.0,7132000,CNY
000008,China High-Speed Railway Technology Co. Ltd. Class A,SZSE,Transportation,Railroads,2.38,2.39,2.35,2.36,-0.421940928270052,6315431039.0,19927600,CNY
000009,"China Baoan Group Co., Ltd. Class A",SZSE,Producer Manufacturing,Industrial Machinery,6.06,6.25,6.0,6.17,1.3136288998357974,15557658575.0,20663188,CNY
000010,Shenzhen Ecobeauty Co. Ltd. Class A,SZSE,Non-Energy Minerals,Forest Products,1.78,1.8,1.7,1.76,-3.2967032967032996,2092366967.0,23072100,CNY
000011,Shenzhen Properties & Resources Development (Group) Co. Ltd. Class A,SZSE,Finance,Real Estate Development,6.23,6.56,6.18,6.43,2.5518341307815016,3449454697.0,5060757,CNY
000012,"CSG Holding Co., Ltd. Class A",SZSE,Consumer Durables,Home Furnishings,4.29,4.34,4.17,4.17,-3.248259860788856,9868501713.0,59122188,CNY
000014,"Shahe Industrial Co., Ltd. Class A",SZSE,Finance,Real Estate Development,8.88,9.43,8.76,9.2,3.370786516853921,2154211256.0,7728102,CNY
000016,"Konka Group Co., Ltd. Class A",SZSE,Consumer Durables,Electronics/Appliances,2.44,2.51,2.39,2.49,0.8097165991902842,4449991814.0,17036759,CNY
000017,"Shenzhen China Bicycle Company (Holdings) Co., Ltd. Class A",SZSE,Consumer Durables,Motor Vehicles,6.23,6.28,5.9,5.99,-8.549618320610682,3197415283.0,33222226,CNY
000019,"Shenzhen Cereals Holdings Co., Ltd. Class A",SZSE,Consumer Non-Durables,Beverages: Non-Alcoholic,5.81,5.95,5.73,5.9,1.5490533562822848,6535081061.0,4784074,CNY
000020,"Shenzhen Zhongheng Huafa Co., Ltd. Class A",SZSE,Electronic Technology,Computer Peripherals,10.55,10.9,10.36,10.6,0.09442870632672132,2111292008.0,4340200,CNY
000021,"Shenzhen Kaifa Technology Co., Ltd Class A",SZSE,Electronic Technology,Computer Peripherals,59.88,61.86,57.9,57.91,2.969416785206249,88934751588.0,303387040,CNY
000025,"Shenzhen Tellus Holding Co., Ltd. Class A",SZSE,Finance,Real Estate Development,13.15,13.54,13.03,13.34,1.213960546282247,5299599104.0,4477901,CNY
000026,"FIYTA Precision Technology Co., Ltd. Class A",SZSE,Retail Trade,Specialty Stores,18.86,20.49,18.68,19.54,4.2133333333333285,7120872160.0,14459759,CNY
000027,"Shenzhen Energy Group Co., Ltd. Class A",SZSE,Utilities,Electric Utilities,5.95,6.07,5.91,6.02,0.6688963210702198,28449193108.0,25146932,CNY
000028,China National Accord Medicines Corporation Ltd Class A,SZSE,Health Technology,Pharmaceuticals: Major,20.2,20.36,19.87,20.22,0.19821605550049132,11564097897.0,2782267,CNY
000029,"Shenzhen Special Economic Zone Real Estate and Properties (Group) Co., Ltd. Class A",SZSE,Finance,Real Estate Development,23.58,24.56,22.58,22.62,-5.434782608695655,21748769140.0,9044206,CNY
000030,FAWER Automotive Parts Ltd. Co. Class A,SZSE,Producer Manufacturing,Auto Parts: OEM,3.94,4.03,3.88,3.98,1.0152284263959401,6427240773.0,10621640,CNY
000031,"Grandjoy Holdings Group Co., Ltd. Class A",SZSE,Finance,Real Estate Development,2.11,2.24,2.07,2.18,3.31753554502371,9044119956.0,51177722,CNY
000032,"Shenzhen SED Industry Co., Ltd. Class A",SZSE,Electronic Technology,Electronic Production Equipment,22.1,23.5,21.66,21.68,-3.300624442462096,27244317739.0,69799967,CNY
000034,"Digital China Group Co., Ltd Class A",SZSE,Electronic Technology,Telecommunications Equipment,28.6,30.58,28.38,29.62,2.7402011793270993,28964074204.0,104246964,CNY
000035,China Tianying Inc,SZSE,Industrial Services,Environmental Services,4.52,4.63,4.45,4.58,1.3274336283185952,10793907826.0,33370549,CNY
000036,China Union Holdings Ltd Class A,SZSE,Finance,Real Estate Development,4.06,4.24,4.0,4.1,0.9852216748768483,5702904171.0,24877831,CNY
000037,"Shenzhen Nanshan Power Co., Ltd. Class A",SZSE,Utilities,Electric Utilities,8.15,8.55,8.08,8.4,2.4390243902439157,3279962876.0,15225499,CNY
000039,"China International Marine Containers (Group) Co., Ltd Class A",SZSE,Process Industries,Containers/Packaging,8.13,8.39,7.87,8.2,1.4851485148514756,36850497186.40772,41776186,CNY
000042,Shenzhen Centralcon Investment Holding Co. Ltd. Class A,SZSE,Consumer Durables,Homebuilding,7.63,7.93,7.57,7.78,1.1703511053315976,5118240080.0,5985522,CNY
000045,"Shenzhen Textile (Holdings) Co., Ltd Class A",SZSE,Consumer Durables,Electronics/Appliances,9.63,9.86,9.51,9.62,0.4175365344467552,4538948936.0,4596483,CNY
000048,"Shenzhen Kingkey Smart Agriculture Times Co., Ltd. Class A",SZSE,Finance,Real Estate Development,22.48,24.1,22.44,24.1,9.995435874030129,11702687625.0,22350305,CNY
000049,"Shenzhen Desay Battery Technology Co., Ltd. Class A",SZSE,Producer Manufacturing,Electrical Products,24.01,24.42,23.82,23.88,-0.6655574043261238,9175984274.0,5974437,CNY
000050,"Tianma Microelectronics Co., Ltd Class A",SZSE,Electronic Technology,Computer Peripherals,8.0,8.16,7.75,7.75,-3.606965174129343,19101484911.0,66008650,CNY
000055,"China Fangda Group Co., Ltd. Class A",SZSE,Producer Manufacturing,Building Products,3.18,3.35,3.13,3.26,2.839116719242898,2578389200.0,16533231,CNY
000056,"Shenzhen Wongtee International Enterprise Co., Ltd. Class A",SZSE,Finance,Real Estate Development,2.22,2.24,2.09,2.1,-4.977375565610854,2111900583.0,32129500,CNY
000058,"Shenzhen SEG Co., Ltd. Class A",SZSE,Electronic Technology,Electronic Components,5.97,6.25,5.91,6.12,2.170283806343905,6217475658.0,8447100,CNY
000059,"North Huajin Chemical Industries Co., Ltd. Class A",SZSE,Energy Minerals,Oil Refining/Marketing,4.01,4.12,3.91,4.06,0.9950248756218916,6429758839.0,28343060,CNY
000060,Shenzhen Zhongjin Lingnan Nonfemet Co. Ltd. Class A,SZSE,Non-Energy Minerals,Other Metals/Minerals,6.51,6.67,6.46,6.49,0.0,28823572684.0,132809138,CNY
000061,"Shenzhen Agricultural Products Group Co., Ltd. Class A",SZSE,Process Industries,Agricultural Commodities/Milling,5.53,5.77,5.45,5.65,1.9855595667870092,10996684836.0,21168900,CNY
000062,"Shenzhen Huaqiang Industry Co., Ltd Class A",SZSE,Distribution Services,Electronics Distributors,31.08,33.25,30.61,31.51,-1.9601742377100155,33615524319.999996,60171697,CNY
000063,ZTE Corporation Class A,SZSE,Electronic Technology,Telecommunications Equipment,39.8,43.0,39.63,40.53,0.4959087527894938,178643609451.0443,450607900,CNY
000065,Norinco International Cooperation Ltd. Class A,SZSE,Distribution Services,Wholesale Distributors,8.83,9.09,8.65,8.92,0.4504504504504408,10313606978.0,17657868,CNY
000066,China Greatwall Technology Group Co Ltd Class A,SZSE,Electronic Technology,Computer Processing Hardware,19.58,20.4,19.15,19.45,-2.162977867203218,62563201521.0,333115090,CNY
000068,Shenzhen Huakong Seg Co. Ltd. Class A,SZSE,Distribution Services,Wholesale Distributors,2.68,2.77,2.63,2.72,1.492537313432837,2697879711.0,17917229,CNY
000069,"Shenzhen Overseas Chinese Town Co., Ltd. Class A",SZSE,Consumer Services,Movies/Entertainment,1.62,1.72,1.6,1.69,4.3209876543209775,12755429950.0,85850600,CNY
