symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
A1CAP,A1 Capital Yatitim Menkul Degerler A.S.,BIST,Finance,Investment Managers,10.17,10.3,10.05,10.1,-0.590551181102367,6857999897.0,6906946,TRY
A1YEN,A1 Yenilenebilir Enerji Uretim AS,BIST,Utilities,Alternative Power Generation,2.86,2.97,2.86,2.95,3.5087719298245648,1709999943.0,18781593,TRY
AAGYO,Agaoglu Avrasya Gayrimenkul Yatirim Ortakligi AS,BIST,Finance,Real Estate Development,14.96,15.23,14.85,14.95,0.4704301075268717,,7803421,TRY
ACSEL,Aciselsan Acipayam Seluloz Sanayi ve Ticaret AS,BIST,Process Industries,Chemicals: Specialty,131.2,132.4,130.1,130.9,-0.15255530129671138,1402933950.0,101182,TRY
ADEL,Adel Kalemcilik Ticaret ve Sanayi A.S.,BIST,Consumer Durables,Recreational Products,29.94,30.46,29.94,30.2,0.8684034736138877,7780657639.0,1197219,TRY
ADESE,Adese Gayrimenkul Yatirim AS,BIST,Finance,Real Estate Development,0.92,0.93,0.91,0.92,1.0989010989010999,4586400132.0,58676858,TRY
ADGYO,Adra Gayrimenkul Yatirim Ortakligi A.S.,BIST,Finance,Financial Conglomerates,50.25,52.3,50.2,51.7,2.8855721393034885,27429185165.0,717592,TRY
AEFES,Anadolu Efes Biracilik ve Malt Sanayii A.S.,BIST,Consumer Non-Durables,Beverages: Non-Alcoholic,19.72,20.5,19.66,20.46,3.8051750380517504,116703943974.0,33490899,TRY
AFYON,Afyon Cimento Sanayii T.A.S.,BIST,Non-Energy Minerals,Construction Materials,12.7,13.45,12.68,13.15,3.5433070866141816,5079999924.0,3377291,TRY
AGESA,AgeSA Hayat ve Emeklilik A.S.,BIST,Finance,Life/Health Insurance,237.2,238.5,228.6,235.2,-0.5496828752642754,42570000000.0,186805,TRY
AGHOL,AG Anadolu Grubu Holding Anonim Sirketi,BIST,Consumer Non-Durables,Beverages: Non-Alcoholic,31.9,33.42,31.88,33.4,4.440275171982483,77882338856.0,3916673,TRY
AGROT,Agrotech Yuksek Teknoloji ve Yatirim AS,BIST,Technology Services,Packaged Software,2.45,2.52,2.45,2.5,1.6260162601626031,5904000092.0,23053929,TRY
AGYO,Atakule Gayrimenkul Yatirim Ortakligi A.S.,BIST,Finance,Real Estate Investment Trusts,7.85,7.9,7.61,7.69,-2.1628498727735357,2069852406.0,330472,TRY
AHGAZ,Ahlatci Dogal Gaz Dagitim Enerji ve Yatirim AS,BIST,Utilities,Gas Distributors,37.5,38.14,36.18,37.16,0.21574973031283254,96408004761.0,6503416,TRY
AHSGY,Ahes Gayrimenkul Yatirim Ortakligi AS,BIST,Finance,Real Estate Development,19.92,20.84,19.92,19.99,-0.050000000000007816,14430000000.0,1573796,TRY
