symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
ABI,Anheuser-Busch InBev SA/NV,EURONEXT,Consumer Non-Durables,Beverages: Alcoholic,72.18,73.56,71.86,72.52,1.4549524342473308,141804608594.0,1586319,EUR
ABO,ABO-Group Environment NV,EURONEXT,Commercial Services,Miscellaneous Commercial Services,3.9,3.9,3.9,3.9,0.0,41218068.0,260,EUR
ACCB,Accentis nv,EURONEXT,Finance,Real Estate Development,0.025,0.0255,0.025,0.0255,0.0,32202776.0,15129,EUR
ACKB,Ackermans & van Haaren NV,EURONEXT,Industrial Services,Engineering & Construction,268.4,271.0,267.2,269.8,0.44676098287415805,8813571927.0,23942,EUR
AED,Aedifica SA,EURONEXT,Finance,Real Estate Investment Trusts,69.65,70.9,69.35,70.4,0.7153075822603718,6474959607.0,63605,EUR
AGFB,Agfa-Gevaert NV,EURONEXT,Consumer Durables,Electronics/Appliances,0.386,0.4,0.3845,0.4,1.3941698352344751,61076696.0,114622,EUR
AGS,ageas SA/NV,EURONEXT,Finance,Multi-Line Insurance,70.8,72.5,70.8,72.05,1.765536723163842,14858603997.0,302622,EUR
ALEMS,European Medical Solutions.,EURONEXT,Health Technology,Biotechnology,4.0,4.16,4.0,4.16,-0.9523809523809532,17773722.0,66,EUR
ARGX,argenx SE,EURONEXT,Health Technology,Biotechnology,764.8,765.4,754.8,758.4,-0.23677979479085348,47558867790.0,52791,EUR
ASCE,Ascencio SA,EURONEXT,Finance,Real Estate Investment Trusts,51.7,52.2,51.5,51.6,0.19417475728155617,355720179.0,2689,EUR
ATEB,ATENOR S.A.,EURONEXT,Finance,Real Estate Development,1.555,1.6,1.555,1.56,0.6451612903225812,94110340.0,2140,EUR
AZE,Azelis Group N.V.,EURONEXT,Distribution Services,Wholesale Distributors,10.5,10.8,10.42,10.48,-0.28544243577544587,2562040762.0,262498,EUR
BANI,Banimmo SA,EURONEXT,Finance,Real Estate Development,2.96,2.96,2.96,2.96,0.0,33299774.999999996,50,EUR
BANQ,Banqup Group,EURONEXT,Technology Services,Packaged Software,1.86,2.09,1.86,2.09,3.9800995024875663,74654718.0,3904,EUR
BAR,Barco NV,EURONEXT,Electronic Technology,Electronic Production Equipment,7.775,8.07,7.695,8.0,2.6298909557408603,656195657.0,86332,EUR
BEKB,Bekaert SA,EURONEXT,Producer Manufacturing,Metal Fabrication,41.3,41.75,41.15,41.6,0.8484848484848518,1926829319.0,22773,EUR
