symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
2CC,2 Cheap Cars Group Limited,NZX,Retail Trade,Specialty Stores,0.81,0.82,0.81,0.82,1.8633540372670687,36671373.0,84640,NZD
AFI,Australian Foundation Investment Co. Ltd.,NZX,Miscellaneous,Investment Trusts/Mutual Funds,8.078,8.137,8.07,8.136,0.8178438661709907,9963980253.433558,3109,NZD
AFT,AFT Pharmaceuticals Ltd.,NZX,Health Technology,Pharmaceuticals: Major,4.59,4.6,4.53,4.53,-1.5217391304347696,492910866.0,11298,NZD
AGG,Smart Global Aggregate Bond ETF Units,NZX,Miscellaneous,Investment Trusts/Mutual Funds,1.206,1.206,1.193,1.193,-0.74875207986688,,28357,NZD
AGL,Accordant Group Limited,NZX,Commercial Services,Personnel Services,0.175,0.175,0.175,0.175,0.0,11567356.0,3301,NZD
AIA,Auckland International Airport Limited,NZX,Transportation,Other Transportation,8.9,8.94,8.76,8.76,-1.5730337078651748,14888528255.0,868146,NZD
AIR,Air New Zealand Limited,NZX,Transportation,Airlines,0.425,0.43,0.42,0.425,-1.1627906976744196,1374263894.0,450701,NZD
ALF,Allied Farmers Limited,NZX,Process Industries,Agricultural Commodities/Milling,0.615,0.615,0.615,0.615,0.8196721311475417,17283860.0,74,NZD
ANZ,ANZ Group Holdings Limited,NZX,Finance,Major Banks,44.5,44.84,44.0,44.05,-0.5643340857787811,136334968229.32237,6868,NZD
AOF,AoFrio Limited,NZX,Producer Manufacturing,Electrical Products,0.063,0.064,0.063,0.064,-3.030303030303033,36570223.0,72355,NZD
APA,Smart Asia Pacific ETF Units,NZX,Miscellaneous,Investment Trusts/Mutual Funds,3.812,3.813,3.77,3.77,-1.127720954628905,,140192,NZD
APL,Asset Plus Limited,NZX,Finance,Real Estate Development,0.163,0.165,0.163,0.165,1.8518518518518534,59848440.0,134714,NZD
ARB,ArborGen Holdings Limited,NZX,Non-Energy Minerals,Forest Products,0.066,0.066,0.066,0.066,0.0,33468860.999999996,125,NZD
ARG,Argosy Property Limited,NZX,Finance,Real Estate Development,1.045,1.05,1.035,1.04,-0.47846889952152094,908929181.0,531985,NZD
ASD,Smart Australian Dividend ETF Units,NZX,Miscellaneous,Investment Trusts/Mutual Funds,2.269,2.289,2.26,2.271,0.4422821760282966,,12341,NZD
