symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
A,"Agilent Technologies, Inc.",NYSE,Health Technology,Medical Specialties,153.69,159.94,152.115,157.83,1.5571713531947853,44576235055.94061,1170041,USD
AA,Alcoa Corporation,NYSE,Non-Energy Minerals,Aluminum,50.19,51.04,48.84,49.915,-3.1528909584788516,13173039124.652502,2433440,USD
AAA,Alternative Access First Priority CLO Bond ETF,AMEX,Miscellaneous,Investment Trusts/Mutual Funds,24.9598,24.96,24.945,24.945,-0.040072129833692696,,1321,USD
AAAA,Amplius Aggressive Asset Allocation ETF,CBOE,Miscellaneous,Investment Trusts/Mutual Funds,30.75,30.8,30.73,30.73,0.0977198697068441,,1769,USD
AAAC,Columbia AAA CLO ETF,AMEX,Miscellaneous,Investment Trusts/Mutual Funds,20.105,20.105,20.105,20.105,0.04976362279174702,,37,USD
AAAD,PGIM AAA CLO Aggregate Duration ETF,AMEX,Miscellaneous,Investment Trusts/Mutual Funds,49.6863,49.6863,49.6863,49.6863,0.446777842244975,,10,USD
AAAP,Pacer Barings CLO Market Flex ETF,NASDAQ,Miscellaneous,Investment Trusts/Mutual Funds,25.39,25.4,25.39,25.4,0.05909001378765812,,1002,USD
AAAU,Goldman Sachs Physical Gold ETF Shares,CBOE,Miscellaneous,Investment Trusts/Mutual Funds,44.08,44.75,44.06,44.43,-0.11241007194243967,,1178089,USD
AABB,"Asia Broadband, Inc.",OTC,Finance,Investment Banks/Brokers,0.0126,0.0127,0.012,0.01215,0.4132231404958653,50787153.63223141,1802076,USD
AABVF,Aberdeen International Inc.,OTC,Finance,Investment Managers,0.0166,0.0166,0.0166,0.0166,-9.289617486338798,2667557.75,160,USD
AAC.U,Ares Acquisition Corporation III,NYSE,Finance,Financial Conglomerates,10.08,10.19,10.08,10.19,0.0,402505000.0,869,USD
AACAF,AAC Technologies Holdings Inc,OTC,Electronic Technology,Electronic Production Equipment,5.17,5.17,5.17,5.17,-8.007117437722423,5879360329.984638,130,USD
AACAY,AAC Technologies Holdings Inc,OTC,Electronic Technology,Electronic Production Equipment,4.8,5.104,4.8,5.04,-4.545454545454549,6040445705.37,17452,USD
AACG,ATA Creativity Global,NASDAQ,Commercial Services,Miscellaneous Commercial Services,0.9473,0.99525,0.941,0.99525,-0.18553806037508958,42905210.0,7203,USD
AACI,Armada Acquisition Corp. III,NASDAQ,Finance,Financial Conglomerates,10.01,10.01,10.01,10.01,-0.3980099502487654,340638640.0,3021,USD
AACO,Abony Acquisition Corp. I,NASDAQ,Finance,Financial Conglomerates,9.97,9.97,9.97,9.97,0.0,312675828.6606517,994,USD
AACOU,Abony Acquisition Corp. I,NASDAQ,Finance,Financial Conglomerates,10.13,10.13,10.13,10.13,0.796019900497513,312832637.0,202,USD
AACP,Apogee Acquisition Corp,NASDAQ,Finance,Financial Conglomerates,10.03,10.03,10.03,10.03,0.0,235404100.00000003,1134,USD
AACPU,Apogee Acquisition Corp,NASDAQ,Finance,Financial Conglomerates,10.27,10.28,10.27,10.2799,0.0,240802200.0,300,USD
AACTF,Aurora Solar Technologies Inc.,OTC,Electronic Technology,Electronic Equipment/Instruments,0.005505,0.005505,0.005505,0.005505,44.86842105263159,1104993.327,200,USD
AADR,AdvisorShares Dorsey Wright,NASDAQ,Miscellaneous,Investment Trusts/Mutual Funds,84.74,84.74,83.6,83.6,-0.31004054376342133,,514,USD
AADX,"Applied Aerospace & Defense, Inc.",NYSE,Electronic Technology,Aerospace & Defense,17.24,17.45,15.54,15.63,-9.496236247828598,2694510615.8737698,1078957,USD
AAEQ,Alpha Architect US Equity 2 ETF,NASDAQ,Miscellaneous,Investment Trusts/Mutual Funds,54.8462,54.8462,54.8462,54.8462,0.20096389592263722,,14,USD
