symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
ALTR,"Altri, SGPS, S.A.",EURONEXT,Process Industries,Pulp & Paper,4.75,4.775,4.725,4.77,0.5268703898840773,973349742.0,236088,EUR
BCP,Banco Comercial Portugues S.A.,EURONEXT,Finance,Major Banks,1.097,1.109,1.0935,1.1085,1.0022779043280294,16248077587.0,29333318,EUR
COR,Corticeira Amorim SGPS SA,EURONEXT,Process Industries,Industrial Specialties,6.94,7.04,6.82,6.99,0.0,929669970.0,179186,EUR
CTT,CTT - Correios de Portugal SA,EURONEXT,Transportation,Air Freight/Couriers,6.41,6.53,6.41,6.475,1.014040561622457,857786227.0,268057,EUR
EDP,EDP S.A.,EURONEXT,Utilities,Electric Utilities,4.62,4.639,4.595,4.636,0.3897791251624035,19085686777.0,3953162,EUR
EDPR,EDP Renewables SA,EURONEXT,Utilities,Alternative Power Generation,13.45,13.64,13.4,13.5,0.22271714922048524,14274145471.0,637263,EUR
EGL,Mota-Engil SGPS SA,EURONEXT,Industrial Services,Engineering & Construction,4.5,4.544,4.5,4.504,-0.3098716246126657,1358492099.0,637016,EUR
ESON,"ESTORIL-SOL, SGPS, S.A.",EURONEXT,Consumer Services,Casinos/Gaming,3.0,3.0,3.0,3.0,-9.090909090909086,39579156.0,62,EUR
FCP,Futebol Clube do Porto SAD,EURONEXT,Consumer Services,Movies/Entertainment,2.84,2.9,2.84,2.9,-2.684563758389264,67049705.0,2735,EUR
GALP,"Galp Energia, SGPS S.A. Class B",EURONEXT,Energy Minerals,Integrated Oil,21.87,21.93,21.31,21.43,-2.279981760145919,16162911838.0,1283459,EUR
GFIBI,Fundiestamo SGOIC SA Units,EURONEXT,Miscellaneous,Investment Trusts/Mutual Funds,802.0,802.0,802.0,802.0,0.0,,10,EUR
GLINT,"GLINTT GLOBAL, S.A.",EURONEXT,Commercial Services,Miscellaneous Commercial Services,1.2,1.23,1.2,1.21,0.8333333333333341,104355445.0,12303,EUR
IBS,"Ibersol, SGPS S.A.",EURONEXT,Consumer Services,Restaurants,9.95,10.16,9.94,10.1,1.1011011011010954,394274283.0,43597,EUR
IPR,Impresa SGPS SA,EURONEXT,Consumer Services,Broadcasting,0.2145,0.215,0.2145,0.215,0.2331002331002333,36035999.0,46089,EUR
JMT,"Jeronimo Martins, SGPS S.A.",EURONEXT,Retail Trade,Food Retail,17.65,18.08,17.57,18.08,3.078677309007977,11037804601.0,1464663,EUR
MAR,Martifer SGPS,EURONEXT,Industrial Services,Engineering & Construction,2.31,2.31,2.27,2.28,0.0,227999997.0,39620,EUR
MLFMV,Farminveste - SGPS SA Class B,EURONEXT,Finance,Financial Conglomerates,5.25,5.25,5.25,5.25,0.0,107916428.0,60,EUR
MLRZE,Raize-Instituicao De Pagamentos SA,EURONEXT,Commercial Services,Miscellaneous Commercial Services,1.46,1.46,1.46,1.46,8.14814814814814,7300000.0,250,EUR
MRL,"MERLIN Properties SOCIMI, S.A.",EURONEXT,Finance,Real Estate Investment Trusts,14.02,14.72,14.0,14.72,-1.8666666666666623,8723463865.0,578,EUR
NBA,Novabase SGPS SA,EURONEXT,Technology Services,Information Technology Services,7.2,7.38,7.2,7.22,0.27777777777777185,271875689.0,1121,EUR
NOS,NOS SGPS SA,EURONEXT,Communications,Major Telecommunications,4.86,4.894,4.86,4.89,0.3282724661469022,2510896589.0,213244,EUR
NVG,Navigator Company SA,EURONEXT,Process Industries,Pulp & Paper,3.27,3.306,3.252,3.296,0.6105006105006111,2329835670.0,1103151,EUR
PHR,"Pharol, SA",EURONEXT,Communications,Wireless Telecommunications,0.0894,0.0903,0.0888,0.0903,0.0,74210612.0,866098,EUR
RAM,"Ramada Investimentos e Industria,S.A.",EURONEXT,Non-Energy Minerals,Steel,6.82,6.86,6.82,6.86,-0.29069767441859845,176413251.0,169,EUR
RENE,Redes Energeticas Nacionais SA,EURONEXT,Utilities,Electric Utilities,3.53,3.55,3.525,3.54,-0.28169014084506444,2354750026.0,479349,EUR
SCB,Sporting Clube de Braga-Futebol Sad,EURONEXT,Consumer Services,Movies/Entertainment,23.0,23.0,23.0,23.0,0.0,27600001.0,4,EUR
SCP,Sporting Clube de Portugal Futebol SAD,EURONEXT,Consumer Services,Movies/Entertainment,0.97,0.97,0.97,0.97,-2.5125628140703538,200980482.0,156,EUR
SCT,TOYOTA CAETANO PORTUGAL,EURONEXT,Retail Trade,Specialty Stores,7.2,7.2,7.2,7.2,0.0,251999993.0,66,EUR
SEM,Semapa Sociedade de Investimento e Gestao SGPS SA,EURONEXT,Process Industries,Pulp & Paper,20.9,21.0,20.65,20.75,0.24154589371981022,1682288993.0,12670,EUR
SLBEN,Sport Lisboa e Benfica-Futebol SA,EURONEXT,Consumer Services,Movies/Entertainment,6.88,6.9,6.76,6.76,-1.7441860465116297,158240003.0,799,EUR
SNC,Sonaecom SGPS SA,EURONEXT,Technology Services,Information Technology Services,2.98,2.98,2.92,2.96,-0.671140939597316,911191754.0,3987,EUR
SON,Sonae SGPS SA,EURONEXT,Technology Services,Information Technology Services,2.0,2.025,1.998,2.02,0.7481296758104801,4010000229.0,741071,EUR
TDSA,"Teixeira Duarte, S.A.",EURONEXT,Industrial Services,Engineering & Construction,0.4805,0.486,0.4745,0.4805,0.10416666666666677,201599995.0,4149012,EUR
VAF,VAA Vista Alegre Atlantis SGPS SA,EURONEXT,Consumer Durables,Home Furnishings,1.08,1.08,1.08,1.08,-0.9174311926605512,181061951.0,2700,EUR
