symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
1AST,Asta Energy Solutions AG,VIE,Distribution Services,Wholesale Distributors,60.8,61.4,60.8,60.8,0.9966777408637779,874169534.0,103,EUR
1COV,Covestro AG,VIE,Process Industries,Chemicals: Specialty,60.0,60.0,60.0,60.0,0.0,12458420105.0,0,EUR
1SXP,SCHOTT Pharma AG & Co. KGaA,VIE,Health Technology,Medical Specialties,23.0,23.25,23.0,23.25,-1.0638297872340425,3486728135.0,0,EUR
2B5,BAIC Motor Corporation Limited Class H,VIE,Consumer Durables,Motor Vehicles,0.0808,0.0808,0.0799,0.0801,-5.207100591715977,714105628.919763,0,EUR
2HRA,H&R GmbH & Co. KGaA,VIE,Process Industries,Chemicals: Specialty,7.0,7.04,6.94,6.94,-0.28735632183907434,253107844.0,0,EUR
4X0,Steyr Motors AG,VIE,Producer Manufacturing,Trucks/Construction/Farm Machinery,28.8,29.0,28.5,28.96,-0.6177076183939592,150921247.0,2428,EUR
690D,"Haier Smart Home Co., Ltd. Class D",VIE,Consumer Durables,Electronics/Appliances,1.81,1.81,1.79,1.8,-0.5524861878453043,23607493746.486717,10233,EUR
8TRA,TRATON SE,VIE,Consumer Durables,Motor Vehicles,37.54,37.54,36.84,36.84,-3.4084950183534275,19209999084.0,0,EUR
A1OS,All for One Group SE,VIE,Commercial Services,Miscellaneous Commercial Services,67.6,67.6,67.6,67.6,0.0,335786799.0,0,EUR
A2A,A2A S.p.A.,VIE,Utilities,Electric Utilities,2.312,2.312,2.262,2.262,-3.415883859948764,7337264174.0,0,EUR
AAD,Amadeus FiRe AG,VIE,Commercial Services,Personnel Services,20.2,20.4,19.84,20.4,0.7407407407407337,110816002.0,0,EUR
AAGG,Aumann AG,VIE,Producer Manufacturing,Industrial Machinery,13.6,13.6,13.45,13.6,-1.0909090909090935,157888546.0,0,EUR
AAL,American Airlines Group Inc.,VIE,Transportation,Airlines,11.222,11.408,11.186,11.384,-0.03512469265893537,7669369205.220887,645,EUR
AALB,Aalberts N.V.,VIE,Commercial Services,Miscellaneous Commercial Services,42.5,42.5,42.2,42.34,-2.171903881700549,4736284345.0,0,EUR
AAPL,Apple Inc.,VIE,Electronic Technology,Telecommunications Equipment,281.0,282.65,280.15,282.05,0.804145818441744,3989135450668.139,259,EUR
ABBN,ABB Ltd.,VIE,Producer Manufacturing,Electrical Products,82.76,82.76,81.82,82.3,-1.3898873711957784,150856074265.45682,30,EUR
ABBV,"AbbVie, Inc.",VIE,Health Technology,Pharmaceuticals: Major,225.0,225.9,222.9,222.9,-0.7126948775055655,390897302640.637,0,EUR
ABC,"Cencora, Inc.",VIE,Distribution Services,Medical Distributors,286.6,290.8,285.7,290.8,2.5387870239774286,53271401819.37387,0,EUR
ABIN,Anheuser-Busch InBev SA/NV,VIE,Consumer Non-Durables,Beverages: Alcoholic,68.14,68.18,67.52,67.84,-0.41103934233705386,135456324105.0,240,EUR
ABNB,"Airbnb, Inc. Class A",VIE,Consumer Services,Hotels/Resorts/Cruise lines,157.0,157.18,156.78,156.78,-0.5329272934906759,94643256267.73868,0,EUR
ABT,Abbott Laboratories,VIE,Health Technology,Medical Specialties,94.16,96.62,94.1,96.62,2.113718030014796,164740122093.8759,0,EUR
ABVX,Abivax SA,VIE,Health Technology,Pharmaceuticals: Other,98.0,99.7,96.7,96.7,-1.0741687979539611,8511608402.0,914,EUR
AC,Accor SA,VIE,Consumer Services,Hotels/Resorts/Cruise lines,46.1,46.82,45.94,46.27,1.3803680981595148,10756236729.0,728,EUR
ACA,Credit Agricole SA,VIE,Finance,Regional Banks,18.69,18.69,18.46,18.6,0.4319654427645888,56596167370.0,400,EUR
ACA2,AUSTRIACARD HOLDINGS AG TEMP,VIE,Finance,Finance/Rental/Leasing,9.8,9.8,9.8,9.8,,356316487.0,0,EUR
ACAG,AUSTRIACARD HOLDINGS AG,VIE,Finance,Finance/Rental/Leasing,9.85,9.85,9.85,9.85,-0.5050505050505122,356316487.0,11,EUR
ACKB,Ackermans & van Haaren NV,VIE,Industrial Services,Engineering & Construction,271.4,271.4,269.8,270.0,-0.07401924500369676,8971073925.0,0,EUR
ACLN,Accelleron Industries AG,VIE,Producer Manufacturing,Trucks/Construction/Farm Machinery,76.6,78.2,76.6,78.2,1.033591731266146,7247038989.09316,0,EUR
ACS,"ACS, Actividades de Construccion y Servicios SA",VIE,Industrial Services,Engineering & Construction,101.5,102.0,99.85,99.85,-2.585365853658542,27162631497.0,40,EUR
ACT1,Alzchem Group AG,VIE,Process Industries,Chemicals: Major Diversified,161.5,163.7,161.2,163.7,0.8626001232285749,1675024858.0,0,EUR
ACX,Acerinox SA,VIE,Non-Energy Minerals,Steel,17.46,17.72,17.42,17.72,0.6246450880181682,4273712753.0,0,EUR
AD,Koninklijke Ahold Delhaize N.V.,VIE,Retail Trade,Food Retail,30.87,30.87,30.58,30.66,-0.5514109633473829,26797284939.0,0,EUR
AD2,Air China Limited Class H,VIE,Transportation,Airlines,0.4085,0.4085,0.407,0.4075,-2.3952095808383254,15294342333.924982,0,EUR
ADBE,Adobe Inc.,VIE,Technology Services,Packaged Software,245.95,246.2,243.0,243.0,-2.6832198638365994,100401166674.14316,210,EUR
ADE,Bitcoin Group SE,VIE,Finance,Investment Managers,26.26,26.26,25.48,25.74,-2.7210884353741585,133400002.0,444,EUR
ADEN,Adecco Group AG,VIE,Commercial Services,Personnel Services,25.2,25.2,25.0,25.0,-1.9607843137254901,4430977263.56266,0,EUR
