symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
ALVO,Alvotech,OMXICE,Health Technology,Biotechnology,650.0,658.0,638.0,650.0,1.2461059190031152,253083763413.44983,151805,ISK
AMRQ,Amaroq Ltd.,OMXICE,Non-Energy Minerals,Precious Metals,175.0,180.0,174.0,177.0,4.117647058823529,79261498718.0,1280862,ISK
ARION,Arion Banki hf,OMXICE,Finance,Major Banks,186.0,187.5,186.0,187.5,0.267379679144385,239173000000.0,195777,ISK
ASAR,Asar hf.,OMXICE,Communications,Major Telecommunications,12.0,12.0,12.0,12.0,0.0,28429678711.0,355,ISK
BERA,Bera hf,OMXICE,Consumer Non-Durables,Beverages: Alcoholic,14.9,14.9,14.9,14.9,-0.6666666666666643,43260911865.0,436241,ISK
BRIM,Brim hf.,OMXICE,Process Industries,Agricultural Commodities/Milling,90.0,91.0,90.0,90.5,0.5555555555555556,172888165283.0,77119,ISK
EIK,EIK Fasteignafelag HF,OMXICE,Finance,Real Estate Development,14.7,14.7,14.7,14.7,0.0,49882977917.0,32000,ISK
EIM,Eimskipafelag Islands hf.,OMXICE,Transportation,Marine Shipping,272.0,272.0,272.0,272.0,-0.7299270072992701,44762626099.0,11206,ISK
FESTI,Festi hf.,OMXICE,Retail Trade,Specialty Stores,302.0,306.0,302.0,306.0,0.49261083743842365,93861688248.0,241335,ISK
HAGA,Hagar hf.,OMXICE,Retail Trade,Food Retail,121.0,122.0,121.0,122.0,0.411522633744856,134431103210.0,365905,ISK
HAMP,Hampiajan hf,OMXICE,Producer Manufacturing,Industrial Conglomerates,90.5,90.5,90.0,90.25,-0.2762430939226519,56611738098.0,266273,ISK
HEIMAR,Heimar hf.,OMXICE,Finance,Real Estate Development,34.8,34.8,34.5,34.5,-0.28901734104046656,67109332587.0,823125,ISK
ICEAIR,Icelandair Group hf,OMXICE,Transportation,Airlines,0.7,0.708,0.68,0.708,-0.2816901408450707,29195373844.0,26993204,ISK
ICESEA,Iceland Seafood International hf,OMXICE,Distribution Services,Food Distributors,4.02,4.02,3.92,3.92,-2.4875621890547177,12319209463.0,3497512,ISK
ISB,Islandsbanki hf,OMXICE,Finance,Regional Banks,141.6,142.0,140.6,142.0,0.0,248950908936.0,1677341,ISK
ISF,Isfelag hf.,OMXICE,Consumer Non-Durables,Food: Specialty/Candy,165.0,166.0,165.0,165.5,-0.30120481927710846,135889642578.0,41414,ISK
ISLAX,Icelandic Salmon AS,OMXICE,Process Industries,Agricultural Commodities/Milling,760.0,760.0,760.0,760.0,-2.564102564102564,24593110437.269966,1500,ISK
JBTM,JBT Marel Corporation,OMXICE,Producer Manufacturing,Industrial Machinery,14200.0,14200.0,14000.0,14100.0,-1.3986013986013985,730670899854.3335,49,ISK
KALD,Kaldalon hf,OMXICE,Finance,Real Estate Development,26.2,26.2,25.8,25.8,-2.272727272727265,33806420897.999996,1031503,ISK
KLDVK,Kaldvik AS,OMXICE,Process Industries,Agricultural Commodities/Milling,80.0,80.0,80.0,80.0,0.628930817610063,12708282915.870356,1250,ISK
KVIKA,Kvika banki hf,OMXICE,Finance,Investment Banks/Brokers,13.1,13.1,13.1,13.1,-0.5692599620493439,57047667196.0,88047,ISK
NOVA,Nova Klubburinn hf.,OMXICE,Retail Trade,Electronics/Appliance Stores,3.52,3.52,3.52,3.52,0.571428571428572,11727011475.0,34090,ISK
OCS,Oculis Holding AG,OMXICE,Commercial Services,Miscellaneous Commercial Services,1475.0,1475.0,1450.0,1450.0,-1.8612521150592216,98915036416.60596,2871,ISK
REITIR,Reitir fasteignafelag hf,OMXICE,Finance,Real Estate Investment Trusts,114.0,115.0,114.0,115.0,0.43668122270742354,78318000000.0,218966,ISK
SFS_B,Slaturfelag Suaurlands Svf,OMXICE,Distribution Services,Food Distributors,2.56,2.56,2.56,2.56,1.5873015873015885,1887664611.0,140540,ISK
SJOVA,Sjova-Almennar tryggingar hf,OMXICE,Finance,Multi-Line Insurance,43.4,43.4,43.2,43.2,-1.3698630136986172,49016663624.0,1349194,ISK
SKAGI,Skagi hf,OMXICE,Finance,Multi-Line Insurance,18.7,18.8,18.6,18.6,-0.5347593582887586,36283831534.0,382827,ISK
SKEL,Skel fjarfestingafelag hf.,OMXICE,Distribution Services,Wholesale Distributors,17.0,17.0,17.0,17.0,0.0,29106089722.0,404727,ISK
SOLID,Solid Cloud hf,OMXICE,Technology Services,Packaged Software,0.17,0.17,0.17,0.17,0.0,121897462.0,4800,ISK
SVN,Sildarvinnslan hf.,OMXICE,Consumer Non-Durables,Food: Meat/Fish/Dairy,120.0,121.0,119.0,120.5,0.4166666666666667,221499814453.0,105716,ISK
SYN,Syn hf,OMXICE,Communications,Major Telecommunications,19.8,19.8,19.8,19.8,0.0,4903449146.0,54673,ISK
