symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
2020,2020 Bulkers Ltd.,OSL,Transportation,Marine Shipping,4.12,4.384,4.048,4.06,-1.2165450121654673,82774342.0,118341,NOK
5PG,5th Planet Games A/S,OSL,Technology Services,Packaged Software,1.255,1.295,1.255,1.285,-1.1538461538461635,349542169.0,68752,NOK
AASB,Aasen Sparebank,OSL,Finance,Savings Banks,136.0,136.0,130.34,130.34,-1.9999999999999973,230058610.0,375,NOK
ABG,ABG Sundal Collier Holding ASA,OSL,Finance,Investment Banks/Brokers,7.49,7.49,7.28,7.28,-2.5435073627844647,3899832298.0,190423,NOK
ABS,Arctic Bioscience AS,OSL,Health Technology,Pharmaceuticals: Major,2.66,2.79,2.65,2.79,1.4545454545454557,74129701.0,4904,NOK
ABTEC,Aqua Bio Technology ASA,OSL,Process Industries,Chemicals: Major Diversified,5.2,5.2,5.2,5.2,0.0,80529196.0,1,NOK
ACED,Ace Digital AS,OSL,Technology Services,Packaged Software,0.494,0.494,0.412,0.46,-4.166666666666659,60405599.0,69911,NOK
ACR,Axactor ASA,OSL,Commercial Services,Miscellaneous Commercial Services,5.25,5.25,5.16,5.23,0.19157088122606658,4205619762.9999995,146208,NOK
ADS,ADS Maritime Holding Plc,OSL,Transportation,Marine Shipping,2.44,2.5,2.44,2.5,3.305785123966945,171842641.0,5658,NOK
AFG,AF Gruppen ASA Class A,OSL,Industrial Services,Engineering & Construction,190.0,190.8,188.2,188.2,-1.2591815320042004,21650067862.0,22449,NOK
AFISH,Arctic Fish Holding AS,OSL,Process Industries,Agricultural Commodities/Milling,26.6,26.6,24.0,26.0,-3.7037037037037033,1215133690.0,3155,NOK
AFK,Arendals Fossekompani ASA,OSL,Utilities,Electric Utilities,184.0,191.5,183.0,189.0,2.717391304347826,10099520538.0,14394,NOK
AGLX,Agilyx ASA,OSL,Industrial Services,Engineering & Construction,16.95,16.95,16.7,16.75,-2.3323615160349775,2158525524.0,18610,NOK
AIX,Ayfie International AS,OSL,Technology Services,Information Technology Services,3.4,3.4,2.98,3.38,-1.4577259475218736,101161378.0,1691,NOK
AKAST,Akastor ASA,OSL,Industrial Services,Contract Drilling,13.34,13.54,13.2,13.36,0.6024096385542175,3606977696.0,500606,NOK
AKBM,Aker BioMarine ASA,OSL,Process Industries,Agricultural Commodities/Milling,135.4,136.2,133.6,133.6,-1.3293943870014855,11877764885.0,4972,NOK
AKER,Aker ASA Class A,OSL,Finance,Financial Conglomerates,1620.0,1638.0,1614.0,1622.0,0.7453416149068323,119602577744.0,64685,NOK
AKOBO,Akobo Minerals AB,OSL,Non-Energy Minerals,Precious Metals,1.84,1.895,1.795,1.795,-2.9729729729729817,424608287.0,155568,NOK
AKRBP,Aker BP ASA,OSL,Energy Minerals,Integrated Oil,355.0,359.4,354.5,354.5,0.6530380465644553,222598232471.0,565936,NOK
AKSO,Aker Solutions ASA,OSL,Utilities,Alternative Power Generation,42.5,42.82,42.16,42.16,-0.5660377358490614,20701175769.0,165542,NOK
AKVA,AKVA Group ASA,OSL,Producer Manufacturing,Metal Fabrication,144.5,144.5,142.5,143.5,0.34965034965034963,5194452198.0,1201,NOK
ALNG,ALNG ASA,OSL,Energy Minerals,Oil & Gas Production,3.36,3.44,3.36,3.4,1.4925373134328304,733497753.0,59214,NOK
ANDF,Andfjord Salmon Group AS,OSL,Process Industries,Agricultural Commodities/Milling,28.5,28.6,28.2,28.5,1.0638297872340452,3417465432.0,12780,NOK
APR,Appear ASA,OSL,Consumer Services,Movies/Entertainment,38.0,38.7,37.5,37.6,-2.083333333333326,1558878724.0,177493,NOK
AQUA,Aqualis ASA,OSL,Commercial Services,Miscellaneous Commercial Services,8.74,8.86,8.7,8.8,0.686498855835246,1166137563.0,63080,NOK
ARCH,Archer Limited,OSL,Industrial Services,Contract Drilling,24.75,24.75,23.75,23.8,-0.8333333333333304,2387168152.0,156071,NOK
