symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
1TECH,OneTech Solutions Holdings Bhd.,MYX,Technology Services,Packaged Software,0.02,0.02,0.02,0.02,0.0,3847500.0,0,MYR
3A,Three-A Resources Bhd.,MYX,Consumer Non-Durables,Food: Specialty/Candy,0.755,0.77,0.755,0.77,1.986754966887419,370124578.0,151900,MYR
3REN,3Ren Bhd,MYX,Producer Manufacturing,Industrial Machinery,0.375,0.385,0.375,0.385,2.6666666666666687,244367020.0,1635900,MYR
5ER,5E Resources Holdings Berhad,MYX,Industrial Services,Environmental Services,0.215,0.215,0.205,0.205,-2.380952380952383,,2251000,MYR
99SMART,99 Speed Mart Retail Holdings Bhd,MYX,Retail Trade,Food Retail,3.45,3.48,3.45,3.47,0.5797101449275368,28980000401.0,430700,MYR
A1AKK,A1 A.K. Koh Group Bhd.,MYX,Distribution Services,Food Distributors,0.15,0.15,0.15,0.15,-3.2258064516129057,130200000.99999999,176000,MYR
AAGB,AirAsia Group Bhd.,MYX,Transportation,Airlines,0.67,0.68,0.655,0.66,-1.492537313432837,2251762261.0,14465100,MYR
AAI,Associated Air-Pak Industries Berhad,MYX,Process Industries,Containers/Packaging,0.23,0.23,0.23,0.23,0.0,,0,MYR
AASIA,Astral Asia Bhd.,MYX,Process Industries,Agricultural Commodities/Milling,0.1,0.1,0.1,0.1,0.0,69236000.0,0,MYR
ABFMY1,ABF Malaysia Bond Index Fund,MYX,Miscellaneous,Investment Trusts/Mutual Funds,1.206,1.206,1.205,1.205,-0.08291873963514843,,41000,MYR
ABLEGLOB,Able Global Bhd,MYX,Process Industries,Containers/Packaging,1.66,1.66,1.63,1.64,-1.204819277108435,510554232.0,242400,MYR
ABLEGRP,AbleGroup Bhd.,MYX,Non-Energy Minerals,Forest Products,0.09,0.1,0.09,0.1,-9.090909090909086,29028982.0,65900,MYR
ABMB,Alliance Bank Malaysia Bhd.,MYX,Finance,Regional Banks,4.96,5.0,4.88,4.95,-0.20161290322580216,8581906257.000001,1230200,MYR
ACO,ACO Group Bhd,MYX,Distribution Services,Wholesale Distributors,0.155,0.155,0.155,0.155,-3.1250000000000027,55579408.0,149900,MYR
ADB,Autocount Dotcom Bhd,MYX,Technology Services,Packaged Software,0.48,0.48,0.465,0.465,-3.124999999999991,264239994.00000003,248100,MYR
ADNEX,Adnex Group Berhad,MYX,Commercial Services,Miscellaneous Commercial Services,0.425,0.425,0.415,0.42,-1.176470588235295,,108900,MYR
ADVCON,Advancecon Holdings Bhd.,MYX,Industrial Services,Engineering & Construction,0.18,0.18,0.175,0.175,0.0,100686362.0,1003100,MYR
ADVENTA,Adventa Bhd.,MYX,Distribution Services,Medical Distributors,0.135,0.135,0.13,0.135,3.8461538461538494,39724302.0,26000,MYR
