symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
AAAK,Wool Industry Tria Alfa SA,ATHEX,Process Industries,Textiles,4.5,4.5,4.26,4.26,0.0,4306860.0,50,EUR
ACAG,AUSTRIACARD HOLDINGS AG,ATHEX,Finance,Finance/Rental/Leasing,9.77,9.8,9.77,9.8,0.30706243602867084,351637613.0,1296,EUR
ADMIE,Admie Holdings SA,ATHEX,Utilities,Electric Utilities,4.44,4.475,4.35,4.475,0.7882882882882714,1610604872.0,312731,EUR
ADPS,Attica Department Stores Single Member S.A.,ATHEX,Retail Trade,Apparel/Footwear Retail,2.8,2.835,2.77,2.8,0.17889087656529135,168151682.0,25297,EUR
AEGN,Aegean Airlines SA,ATHEX,Transportation,Airlines,11.48,11.5,11.2,11.39,3.170289855072477,995444770.0,82407,EUR
AEM,Alter Ego Media S.A.,ATHEX,Consumer Services,Broadcasting,6.39,6.45,6.38,6.4,0.15649452269171635,375215047.0,126396,EUR
AETF,ALPHA ETF FTSE Athex Large Cap EQUITY UCITS,ATHEX,Miscellaneous,Investment Trusts/Mutual Funds,68.0,69.44,67.84,69.28,1.0944112067707572,,2902,EUR
AIA,Athens International Airport S.A,ATHEX,Transportation,Other Transportation,11.92,11.92,11.46,11.57,-5.704971475142619,3904287335.0,912966,EUR
AKTR,Aktor Societe Anonyme Holding Company Technical and Energy Projects,ATHEX,Industrial Services,Engineering & Construction,10.1,10.2,10.04,10.12,0.39682539682538837,2638442441.0,451857,EUR
ALMY,Alumil Aluminium Industry S.A.,ATHEX,Non-Energy Minerals,Aluminum,5.38,5.8,5.38,5.76,7.063197026022302,174385608.0,34848,EUR
ALPHA,Alpha Bank S.A.,ATHEX,Finance,Major Banks,4.716,4.82,4.651,4.745,0.40203131612357446,10458780701.0,6002791,EUR
ALWN,Allwyn AG,ATHEX,Consumer Services,Movies/Entertainment,12.4,12.47,12.205,12.29,-0.08130081300814279,9511514924.0,1069902,EUR
ANDRO,Alpha Trust Andromeda Investment Trust SA,ATHEX,Miscellaneous,Investment Trusts/Mutual Funds,8.38,8.46,8.32,8.36,0.0,31156114.0,13608,EUR
ASCO,AS Company S.A.,ATHEX,Consumer Durables,Recreational Products,4.35,4.465,4.35,4.45,1.7142857142857182,57426335.0,9051,EUR
ASTAK,ALPHA REAL ESTATE S.A.,ATHEX,Finance,Real Estate Development,7.65,7.65,7.0,7.0,0.0,98000000.0,3,EUR
ATEK,Attica Publications SA,ATHEX,Consumer Services,Publishing: Newspapers,0.94,1.02,0.94,0.94,0.0,14382000.0,370,EUR
ATTICA,Attica Holdings SA,ATHEX,Transportation,Marine Shipping,1.48,1.49,1.48,1.49,0.0,362314637.0,21047,EUR
AVAX,Avax S.A.,ATHEX,Industrial Services,Engineering & Construction,3.2,3.25,3.155,3.2,0.0,474628864.0,193076,EUR
AVE,AVE S.A.,ATHEX,Distribution Services,Electronics Distributors,0.462,0.463,0.452,0.462,0.43478260869565255,81952585.0,33629,EUR
BELA,Jumbo S.A.,ATHEX,Retail Trade,Specialty Stores,25.24,25.5,25.04,25.06,-0.23885350318472243,3375263233.0,469511,EUR
