symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
1JANATAMF,First Janata Bank Mutual Fund Units,DSEBD,,,2.6,2.6,2.5,2.5,-3.8461538461538494,,167169,BDT
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,DSEBD,,,18.8,18.8,18.2,18.3,-2.1390374331550728,,226379,BDT
AAMRANET,aamra networks ltd,DSEBD,Communications,Specialty Telecommunications,18.3,18.3,17.1,17.4,-1.1363636363636525,1655042359.0,51137,BDT
AAMRATECH,Aamra Technologies Limited,DSEBD,Technology Services,Information Technology Services,11.4,11.4,10.6,10.6,-4.504504504504505,718252645.0,33302,BDT
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,DSEBD,Miscellaneous,Investment Trusts/Mutual Funds,2.6,2.8,2.6,2.7,0.0,,1060777,BDT
ABBANK,AB Bank PLC,DSEBD,Finance,Regional Banks,4.4,4.4,4.2,4.2,-4.545454545454549,4209765216.0,875775,BDT
ACFL,Aman Cotton Fibrous PLC,DSEBD,Process Industries,Textiles,20.4,20.5,19.8,19.9,-1.4851485148514887,2036833462.0,348081,BDT
ACI,Advanced Chemical Industries PLC,DSEBD,Health Technology,Pharmaceuticals: Major,180.4,181.1,178.4,178.8,-1.5418502202643078,15643109356.0,48998,BDT
ACIFORMULA,ACI Formulations PLC,DSEBD,Process Industries,Chemicals: Agricultural,130.9,130.9,128.6,129.2,-1.449275362318845,6218100288.0,36207,BDT
ACMELAB,ACME Laboratories Ltd.,DSEBD,Health Technology,Pharmaceuticals: Major,73.0,73.3,71.6,71.8,-2.046384720327422,15722006943.0,116764,BDT
ACMEPL,ACME Pesticides Ltd,DSEBD,Process Industries,Chemicals: Agricultural,17.4,17.8,17.0,17.7,3.5087719298245488,2295000000.0,4279874,BDT
ACTIVEFINE,Active Fine Chemicals Ltd.,DSEBD,Health Technology,Pharmaceuticals: Major,6.5,6.6,6.0,6.1,-4.687500000000011,1607575070.0,110283,BDT
ADNTEL,ADN Telecom Ltd.,DSEBD,Communications,Specialty Telecommunications,61.4,61.4,58.8,59.0,-2.8006589785832006,4014868281.0,175959,BDT
ADVENT,Advent Pharma Ltd.,DSEBD,Health Technology,Pharmaceuticals: Major,13.7,13.8,13.4,13.5,-1.459854014598535,1285231777.0,150070,BDT
AFCAGRO,AFC Agro Biotech Ltd.,DSEBD,Health Technology,Biotechnology,5.5,5.5,5.3,5.4,-1.818181818181812,633689110.0,24263,BDT
AFTABAUTO,Aftab Automobiles Ltd.,DSEBD,Consumer Durables,Motor Vehicles,36.3,36.9,35.5,35.7,-1.6528925619834556,3968491483.0,1162671,BDT
AGNISYSL,Agni Systems PLC,DSEBD,Communications,Major Telecommunications,21.6,21.9,21.1,21.2,-1.8518518518518614,1603492006.0,549371,BDT
AGRANINS,Agrani Insurance PLC,DSEBD,Finance,Property/Casualty Insurance,21.4,21.6,21.0,21.1,-2.314814814814815,788809509.0,73394,BDT
AIBL1STIMF,AIBL 1st ISLAMIC Mutual Fund 2010- Units,DSEBD,Miscellaneous,Investment Trusts/Mutual Funds,3.4,3.5,3.3,3.4,0.0,,162828,BDT
AIL,Alif Industries Ltd.,DSEBD,Consumer Non-Durables,Apparel/Footwear,45.7,45.7,44.0,44.1,-3.5010940919037226,2273208147.8,525210,BDT
AL-HAJTEX,Alhaj Textile Mills Limited,DSEBD,Process Industries,Textiles,136.7,138.7,132.1,132.6,-2.999268471104605,,280948,BDT
ALARABANK,Al-Arafah Islami Bank PLC,DSEBD,Finance,Regional Banks,16.5,17.0,16.3,16.4,-1.796407185628747,19463590515.0,21849,BDT
ALIF,Alif Manufacturing Company Ltd.,DSEBD,Process Industries,Textiles,4.3,4.3,4.1,4.1,-4.651162790697678,1117686158.0,211525,BDT
ALLTEX,Alltex Industries Limited,DSEBD,Process Industries,Textiles,13.1,13.8,13.1,13.3,-0.7462686567164152,761164800.0,42231,BDT
AMANFEED,Aman Feed PLC,DSEBD,Consumer Non-Durables,Food: Specialty/Candy,26.4,26.5,25.8,25.9,-1.5209125475285252,3444521366.0,1179826,BDT
AMBEEPHA,Ambee Pharmaceuticals PLC,DSEBD,Health Technology,Pharmaceuticals: Major,767.2,782.7,765.0,765.2,-1.0218600439787837,2252736125.0,183,BDT
AMCLPRAN,Agricultural Marketing Co. Ltd.,DSEBD,Consumer Non-Durables,Food: Specialty/Candy,208.0,208.0,205.0,205.1,-1.9598470363288694,1699199951.0,2253,BDT
ANLIMAYARN,Anlima Yarn Dyeing Ltd.,DSEBD,Process Industries,Textiles,19.0,19.0,19.0,19.0,-1.041666666666663,,3743,BDT
ANWARGALV,Anwar Galvanizing Ltd.,DSEBD,Non-Energy Minerals,Steel,94.9,94.9,87.1,88.0,-6.581740976645438,2919090581.0,1085251,BDT
AOL,Associated Oxygen Ltd,DSEBD,Process Industries,Chemicals: Specialty,14.5,14.5,14.2,14.3,-2.054794520547938,1613795345.0,102250,BDT
APEXFOODS,Apex Foods Limited,DSEBD,Consumer Non-Durables,Food: Meat/Fish/Dairy,217.9,218.6,212.0,212.3,-2.748511223087494,1229437417.0,22138,BDT
APEXFOOT,Apex Footwear Ltd.,DSEBD,Consumer Non-Durables,Apparel/Footwear,190.1,190.8,189.3,190.0,-0.26246719160104987,3736044461.0,65899,BDT
APEXSPINN,Apex Spinning and Knitting Mills Ltd.,DSEBD,Consumer Non-Durables,Apparel/Footwear,161.1,161.1,154.0,155.7,-2.382445141065838,1371720000.0,78266,BDT
APEXTANRY,Apex Tannery Limited.,DSEBD,Process Industries,Industrial Specialties,57.8,57.8,56.3,56.3,-1.5734265734265833,873251975.0,502,BDT
APOLOISPAT,Appollo Ispat Complex Ltd.,DSEBD,Non-Energy Minerals,Steel,2.2,2.3,2.1,2.1,-4.545454545454549,963140663.0,315136,BDT
ARAMIT,Aramit Limited,DSEBD,Non-Energy Minerals,Construction Materials,189.0,192.9,185.7,187.6,-1.3150973172014728,1142399963.0,4868,BDT
ARAMITCEM,Aramit Cement Limited,DSEBD,Non-Energy Minerals,Construction Materials,8.9,8.9,8.9,8.9,1.1363636363636322,321860000.0,3500,BDT
ARGONDENIM,Argon Denims Ltd.,DSEBD,Consumer Non-Durables,Apparel/Footwear,18.4,18.4,17.5,17.6,-3.296703296703285,2555550386.0,316919,BDT
ASIAINS,Asia Insurance PLC,DSEBD,Finance,Property/Casualty Insurance,26.6,26.8,26.0,26.1,-2.61194029850746,1303835012.0,90980,BDT
ASIAPACINS,Asia Pacific General Insurance PLC,DSEBD,Finance,Property/Casualty Insurance,31.8,31.8,29.3,30.2,-0.657894736842103,1312849953.0,86655,BDT
ASIATICLAB,Asiatic Laboratories Ltd,DSEBD,Health Technology,Pharmaceuticals: Major,53.5,53.5,50.2,50.6,-5.065666041275789,,819551,BDT
ATLASBANG,Atlas Bangladesh Limited,DSEBD,Consumer Durables,Motor Vehicles,51.1,51.7,50.1,50.2,-5.461393596986815,1745798697.0,6263,BDT
AZIZPIPES,Aziz Pipes Limited.,DSEBD,Producer Manufacturing,Miscellaneous Manufacturing,46.9,46.9,42.5,42.8,-6.140350877192992,,5207,BDT
BANGAS,Bangas Limited,DSEBD,Consumer Non-Durables,Food: Specialty/Candy,107.1,109.0,106.1,106.4,-1.9354838709677369,805924448.0,63161,BDT
BANKASIA,Bank Asia PLC,DSEBD,Finance,Major Banks,18.4,18.5,18.2,18.4,-1.0752688172043163,23982705324.0,851134,BDT
BARKAPOWER,Baraka Power Ltd.,DSEBD,Utilities,Electric Utilities,7.5,7.5,7.1,7.2,-3.9999999999999973,1813085479.0,390444,BDT
BATASHOE,Bata Shoe Co. (Bangladesh) Ltd.,DSEBD,Consumer Non-Durables,Apparel/Footwear,818.0,818.0,805.0,806.1,-1.2858192505510653,11132784081.0,127,BDT
BATBC,British American Tobacco Bangladesh Co Ltd,DSEBD,Consumer Non-Durables,Tobacco,251.0,251.4,249.8,250.2,-0.3980891719745223,137160000000.0,48258,BDT
BAYLEASING,Bay Leasing and Investment Ltd.,DSEBD,Finance,Finance/Rental/Leasing,3.3,3.3,3.0,3.1,0.0,488178435.0,41687,BDT
BBS,Bangladesh Building Systems PLC,DSEBD,Producer Manufacturing,Building Products,8.5,9.0,8.5,8.8,2.32558139534885,1417488648.0,741613,BDT
BBSCABLES,BBS Cables PLC,DSEBD,Producer Manufacturing,Electrical Products,14.2,14.4,14.0,14.1,-0.7042253521126736,3069791557.0,195716,BDT
BDAUTOCA,Bangladesh Autocars Limited,DSEBD,Energy Minerals,Oil & Gas Production,122.1,127.0,116.7,117.4,-3.770491803278684,,103801,BDT
BDCOM,BDCOM Online Ltd.,DSEBD,Technology Services,Information Technology Services,26.7,27.0,25.3,26.0,0.3861003861003916,1618402210.0,901969,BDT
BDFINANCE,Bangladesh Finance PLC,DSEBD,Finance,Finance/Rental/Leasing,14.2,14.3,13.4,13.7,-3.5211267605633805,2729425873.0,366746,BDT
BDLAMPS,Bangladesh Lamps PLC,DSEBD,Producer Manufacturing,Electrical Products,120.0,132.0,120.0,124.9,-3.923076923076919,1365465596.0,20644,BDT
BDTHAI,Bangladesh Thai Aluminium Ltd.,DSEBD,Non-Energy Minerals,Aluminum,10.2,11.2,10.2,11.2,9.803921568627452,1328862586.0,2450034,BDT
BDTHAIFOOD,BD Thai Food & Beverage Ltd.,DSEBD,Consumer Non-Durables,Beverages: Non-Alcoholic,11.6,12.7,11.6,12.7,9.482758620689651,,727329,BDT
BDWELDING,Bangladesh Welding Electrodes Ltd.,DSEBD,Producer Manufacturing,Industrial Machinery,10.5,10.8,9.9,10.8,9.090909090909093,,644067,BDT
BEACHHATCH,Beach Hatchery Ltd,DSEBD,Process Industries,Agricultural Commodities/Milling,51.4,51.4,49.5,49.7,-3.307392996108941,2210814534.0,1329938,BDT
BEACONPHAR,Beacon Pharmaceuticals PLC,DSEBD,Health Technology,Pharmaceuticals: Major,108.9,108.9,105.0,105.6,-2.2222222222222276,25386900352.0,127143,BDT
BENGALWTL,Bengal Windsor Thermoplastics PLC,DSEBD,Producer Manufacturing,Miscellaneous Manufacturing,17.8,17.9,17.1,17.2,-2.2727272727272845,1646567963.0,151579,BDT
BERGERPBL,Berger Paints Bangladesh Ltd.,DSEBD,Process Industries,Industrial Specialties,1424.6,1424.6,1418.1,1418.8,-0.24608029248400481,70059515481.0,1012,BDT
BESTHLDNG,Best Holdings PLC,DSEBD,Industrial Services,Engineering & Construction,14.4,14.4,14.0,14.1,-2.083333333333338,15358840027.0,464569,BDT
BEXIMCO,Bangladesh Export Import Company Ltd.,DSEBD,Process Industries,Textiles,110.1,110.1,110.1,110.1,0.0,103850264528.0,181,BDT
BGIC,Bangladesh General Insurance Company PLC,DSEBD,Finance,Property/Casualty Insurance,32.0,32.0,30.6,31.0,-2.2082018927444773,1755885820.0,48545,BDT
BIFC,Bangladesh Industrial Finance Company Ltd.,DSEBD,Finance,Finance/Rental/Leasing,2.4,2.5,2.3,2.3,-8.000000000000007,271835861.0,77524,BDT
BNICL,Bangladesh National Insurance Company Ltd,DSEBD,Finance,Multi-Line Insurance,44.1,44.7,43.3,43.6,-1.5801354401805772,2053200068.0,83369,BDT
BPML,Bashundhara Paper Mill Ltd.,DSEBD,Process Industries,Pulp & Paper,27.2,27.2,24.8,24.9,-6.0377358490566095,4744506258.0,82451,BDT
BPPL,Baraka Patenga Power Ltd.,DSEBD,Utilities,Electric Utilities,16.3,16.3,15.5,15.6,-3.7037037037037015,2889024705.0,4258664,BDT
BRACBANK,BRAC Bank PLC,DSEBD,Finance,Regional Banks,65.7,66.1,65.2,66.0,0.30395136778115933,131002946579.0,287462,BDT
BSC,Bangladesh Shipping Corporation,DSEBD,Transportation,Marine Shipping,105.8,106.7,104.7,105.5,-0.8458646616541406,16443278794.999998,370244,BDT
BSCPLC,Bangladesh Submarine Cables PLC,DSEBD,Communications,Specialty Telecommunications,129.8,129.9,127.4,129.0,-0.3861003861003861,24614313654.0,73131,BDT
BSRMLTD,Bangladesh Steel Re-Rolling Mills Ltd.,DSEBD,Non-Energy Minerals,Steel,78.0,78.0,76.7,76.8,-0.518134715025914,23379177068.0,11374,BDT
